Accept Payment,பணம் ஏற்க,
After payment completion redirect user to selected page.,கட்டணம் முடிந்த பிறகு தேர்ந்தெடுக்கப்பட்ட பக்கம் பயனர் திருப்பி.,
All,எல்லாம்,
Allow items not in stock to be added to cart,கையிருப்பில் இல்லாத உருப்படிகளை வண்டியில் சேர்க்க அனுமதிக்கவும்,
Amount,தொகை,
Amount Based On Field,தொகை துறையில் அடிப்படையில்,
Amount Field,தொகை களம்,
Attributes,கற்பிதங்கள்,
Brand,பிராண்ட்,
Button Help,பட்டன் - உதவி,
Button Label,பட்டன் - லேபில்,
Category Name,வகை பெயர்,
Checkout Settings,வெளியேறுதல்  அமைப்புகள்,
Comment,கருத்து,
Compact Item Print,காம்பாக்ட் பொருள் அச்சு,
Company,நிறுவனம்,
Content,உள்ளடக்கம்,
Copy From Item Group,பொருள் குழு நகல்,
Currency,நாணய,
Customer,வாடிக்கையாளர்,
Default Customer Group,இயல்புநிலை வாடிக்கையாளர் குழு,
Description,விளக்கம்,
Display Settings,அமைப்புகள் காட்ட,
Enable Attribute Filters,பண்பு வடிப்பான்களை இயக்கு,
Enable Checkout,வெளியேறுதல் இயக்கு,
Enable Shopping Cart,வண்டியில் இயக்கு,
HTML / Banner that will show on the top of product list.,தயாரிப்பு பட்டியலில் காண்பிக்கும் என்று HTML / பதாகை.,
Has Variants,வகைகள் உண்டு,
Hide Variants,மாறுபாடுகளை மறைக்க,
Homepage Featured Product,முகப்பு இடம்பெற்றிருந்தது தயாரிப்பு,
Image,படம்,
Image Description,பட விளக்கம்,
Image View,பட காட்சி,
Invoices,பொருள்,
Is Active,செயலில் உள்ளது,
Is Billing Contact,பில்லிங் தொடர்பு,
Is Your Company Address,உங்கள் நிறுவனத்தின் முகவரி,
Item,பொருள்,
Item Code,பொருள்  குறியீடு,
Item Description,பொருள் விளக்கம்,
Item Details,உருப்படியை விவரம்,
Item Fields,பொருள் புலங்கள்,
Item Group,பொருள் குழு,
Item Image (if not slideshow),பொருள் படம் (இல்லையென்றால் ஸ்லைடுஷோ),
Item Name,பொருளின் பெயர்,
Items,பொருட்கள்,
Keyboard Shortcuts,விசைப்பலகை குறுக்குவழிகள்,
Label,சிட்டை,
List this Item in multiple groups on the website.,வலைத்தளத்தில் பல குழுக்கள் இந்த உருப்படி பட்டியல்.,
More Information,மேலும் தகவல்,
My Account,எனது கணக்கு,
Naming Series,தொடர் பெயரிடும்,
Orders,ஆணைகள்,
Payment Gateway,பணம் நுழைவாயில்,
Payment Gateway Account,பணம் நுழைவாயில் கணக்கு,
Payment Success Url,கட்டணம் வெற்றி URL ஐ,
Payments,பணம்,
Price List,விலை பட்டியல்,
Prices will not be shown if Price List is not set,விலை பட்டியல் அமைக்கப்படவில்லை எனில் காண்பிக்கப்படும் விலைகளில் முடியாது,
Print UOM after Quantity,அளவுக்குப் பிறகு UOM ஐ அச்சிடுக,
Print taxes with zero amount,பூஜ்யம் அளவு கொண்ட வரிகளை அச்சிடு,
Products,தயாரிப்புகள்,
Products per Page,பக்கத்திற்கு தயாரிப்புகள்,
Published,வெளியிடப்பட்ட,
Published on,அன்று வெளியிடப்பட்டது,
Quotation Series,மேற்கோள் தொடர்,
Rating,மதிப்பீடு,
Reload,Reload,
Reviews,விமர்சனங்கள்,
Route,பாதை,
Sales Manager,விற்பனை மேலாளர்,
Save Quotations as Draft,மேற்கோள்களை வரைவாகச் சேமிக்கவும்,
Session Defaults,அமர்வு இயல்புநிலைகள்,
Set Meta Tags,மெட்டா குறிச்சொற்களை அமைக்கவும்,
Shopping Cart,வணிக வண்டி,
Show Apply Coupon Code,கூப்பன் குறியீட்டைப் பயன்படுத்து என்பதைக் காட்டு,
Show Contact Us Button,எங்களை தொடர்பு பொத்தானைக் காட்டு,
Show Price,விலை காட்டு,
Show Public Attachments,பொது இணைப்புகள் காட்டு,
Show Stock Availability,பங்கு கிடைக்கும் என்பதைக் காட்டு,
Show Stock Quantity,பங்கு அளவு காட்டு,
Show a slideshow at the top of the page,பக்கம் மேலே ஒரு ஸ்லைடு ஷோ,
Show in Website,இணையதளத்தில் காட்டு,
Show this slideshow at the top of the page,பக்கத்தின் மேல் இந்த காட்சியை காட்ட,
Slideshow,ஸ்லைடுஷோ,
Sort Order,வரிசையை,
Stock Manager,பங்கு மேலாளர்,
Stock UOM,பங்கு மொறட்டுவ பல்கலைகழகம்,
Stock User,பங்கு பயனர்,
System Manager,கணினி மேலாளர்,
Tax Category,வரி வகை,
Thumbnail,சிறு,
Title,தலைப்பு,
User,பயனர்,
Variant Of,மாறுபாடு,
View,காண்க,
View Website,இணையத்தளம் பார்வையிட,
Warehouse,கிடங்கு,
Website Content,வலைத்தள உள்ளடக்கம்,
Website Description,இணையதளத்தில் விளக்கம்,
Website Image,வலைத்தள படம்,
Website Item Groups,இணைய தகவல்கள் குழுக்கள்,
Website Manager,இணைய மேலாளர்,
Website Settings,இணைய அமைப்புகள்,
Website Specifications,இணையத்தளம் விருப்பம்,
Website Warehouse,இணைய கிடங்கு,
Weightage,Weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,இந்த புலத்தில் நீங்கள் செல்லுபடியாகும் பூட்ஸ்டார்ப் 4 மார்க்அப்பை பயன்படுத்தலாம். இது உங்கள் உருப்படி பக்கத்தில் காண்பிக்கப்படும்.,
