About,درباره,
After payment completion redirect user to selected page.,پس از اتمام پرداخت هدایت کاربر به صفحه انتخاب شده است.,
All,همه,
Allow items not in stock to be added to cart,اجازه دهید مواردی که موجود نیستند به سبد خرید اضافه شوند,
Amount,مقدار,
Apps,برنامه ها,
Attributes,ویژگی های,
Brand,مارک,
Category Name,نام بخش,
Checkout Settings,تنظیمات پرداخت,
Comment,اظهار نظر,
Compact Item Print,مورد جمع و جور چاپ,
Company,شرکت,
Content,مقدار,
Copy From Item Group,کپی برداری از مورد گروه,
Currency,پول,
Customer,مشتری,
Default Customer Group,گروه مشتری پیش فرض,
Description,شرح,
Display Settings,تنظیمات نمایشگر,
Enable Attribute Filters,فیلترهای ویژگی را فعال کنید,
Enable Checkout,فعال کردن پرداخت,
Enable Shopping Cart,فعال سبد خرید,
Frappe Support,پشتیبانی Frappe,
HTML / Banner that will show on the top of product list.,HTML / بنر که در بالای لیست محصولات نشان خواهد داد.,
Has Variants,دارای انواع,
Hide Variants,مخفی کردن انواع مختلف,
Homepage Featured Product,صفحه خانگی محصول ویژه,
Image,تصویر,
Image Description,توضیحات تصویر,
Image View,تصویر مشخصات,
Invoices,فاکتورها,
Is Active,فعال است,
Item,بخش,
Item Code,کد مورد,
Item Description,مورد توضیحات,
Item Details,جزئیات مورد,
Item Fields,زمینه های مورد,
Item Group,مورد گروه,
Item Image (if not slideshow),مورد تصویر (در صورت اسلاید نمی شود),
Item Name,نام آیتم,
Items,اقلام,
Keyboard Shortcuts,میانبرهای صفحه کلید,
Label,برچسب,
List this Item in multiple groups on the website.,فهرست این مورد در گروه های متعدد بر روی وب سایت.,
Log out,خروج,
More Information,اطلاعات بیشتر,
My Account,حساب من,
My Profile,نمایه من,
My Settings,تنظیمات من,
Naming Series,نامگذاری سری,
Orders,سفارشات,
Payment Gateway,دروازه پرداخت,
Payment Gateway Account,پرداخت حساب دروازه,
Payment Success Url,پرداخت موفقیت URL,
Payments,پرداخت,
Price List,لیست قیمت,
Prices will not be shown if Price List is not set,قیمت نشان داده نخواهد شد اگر لیست قیمت تنظیم نشده است,
Print UOM after Quantity,UOM را بعد از Quantity چاپ کنید,
Print taxes with zero amount,مالیات را با مقدار صفر چاپ کنید,
Products,محصولات,
Products per Page,محصولات در هر صفحه,
Published,منتشر,
Published on,منتشر شده در,
Quotation Series,نقل قول سری,
Rating,رتبه,
Reload,بارگذاری مجدد,
Reviews,بررسی ها,
Route,مسیر,
Sales Manager,مدیر فروش,
Save Quotations as Draft,نقل قول ها را به عنوان پیش نویس ذخیره کنید,
Session Defaults,پیش‌فرض‌های نشست,
Set Meta Tags,برچسب های متا را تنظیم کنید,
Shopping Cart,سبد خرید,
Show Apply Coupon Code,نمایش درخواست کد کوپن,
Show Contact Us Button,دکمه تماس با ما,
Show Price,نمایش قیمت,
Show Public Attachments,نمایش فایل های پیوست عمومی,
Show Stock Availability,نمایش موجودی,
Show Stock Quantity,نمایش تعداد سهام,
Show a slideshow at the top of the page,نمایش تصاویر به صورت خودکار در بالای صفحه,
Show in Website,نمایش در وب سایت,
Show this slideshow at the top of the page,نمایش تصاویر به صورت خودکار در این بازگشت به بالای صفحه,
Slideshow,نمایش به صورت اسلاید,
Sort Order,ترتیب مرتب‌سازی,
Stock Manager,سهام مدیر,
Stock UOM,سهام UOM,
Stock User,سهام کاربر,
System Manager,سیستم مدیریت,
Tax Category,دسته مالیات,
Thumbnail,بند انگشتی,
Title,عنوان,
Toggle Full Width,تغییر وضعیت عرض کامل,
Toggle Theme,تغییر تم,
User,کاربر,
Variant Of,نوع,
View,چشم انداز,
View Website,مشاهده وب سایت,
Warehouse,مخزن,
Website Content,محتوای وب سایت,
Website Description,وب سایت توضیحات,
Website Image,تصویر وب سایت,
Website Item Groups,گروه مورد وب سایت,
Website Manager,مدیر وب سایت,
Website Settings,تنظیمات وب سایت,
Website Specifications,مشخصات وب سایت,
Website Warehouse,انبار وب سایت,
Weightage,بین وزنها,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,در این زمینه می توانید از هر نشانه معتبر Bootstrap 4 استفاده کنید. در صفحه مورد شما نشان داده خواهد شد,
