Accept Payment,peredayînê,
After payment completion redirect user to selected page.,Piştî encamdayîna peredana beralî bike user ji bo rûpel hilbijartin.,
All,Gişt,
Allow items not in stock to be added to cart,Destûr bidin tiştên ku ne di stûyê xwe de ne ku bi zorê werin zêdekirin,
Amount,Biha,
Amount Based On Field,Şêwaz li ser Field,
Amount Field,Şêwaz Field,
Attributes,taybetmendiyên xwe,
Brand,Şanika şewatê,
Button Help,Button Alîkarî,
Button Label,Label Button,
Category Name,Category Name,
Checkout Settings,Settings Checkout,
Comment,Agahkişîn,
Compact Item Print,Babetê Compact bo çapkirinê,
Company,Şîrket,
Content,Dilşad,
Copy From Item Group,Copy Ji babetî Pula,
Currency,Diravcins,
Customer,Miştirî,
Default Customer Group,Default Mişterî Group,
Description,Terîf,
Display Settings,Settings Settings,
Enable Attribute Filters,Filtersên Attribute çalak bikin,
Enable Checkout,çalak Checkout,
Enable Shopping Cart,Çalak Têxe selikê,
HTML / Banner that will show on the top of product list.,HTML / Banner ku li ser lîsteya berheman dê nîşan bide.,
Has Variants,has Variants,
Hide Variants,Variant veşêrin,
Homepage Featured Product,Homepage Product Dawiyê,
Image,Wêne,
Image Description,Danasîna Wêne,
Image View,Wêne View,
Invoices,fatûreyên,
Is Active,çalak e,
Is Billing Contact,Têkiliya Billing e,
Is Your Company Address,E Company te Address,
Item,Şanî,
Item Code,Code babetî,
Item Description,Babetê Description,
Item Details,Agahdarî,
Item Fields,Kevirên Tête,
Item Group,Babetê Group,
Item Image (if not slideshow),Wêne Babetê (eger Mîhrîcana ne),
Item Name,Navê Navekî,
Items,Nawy,
Keyboard Shortcuts,Kurtikên Pêl,
Label,Awanasî,
List this Item in multiple groups on the website.,Lîsteya ev babet di koman li ser malpera me.,
More Information,Information More,
My Account,My Account,
Naming Series,Series Bidin,
Orders,ordênên,
Payment Gateway,Gateway Payment,
Payment Gateway Account,Account Gateway Payment,
Payment Success Url,Payment URL bi serket,
Payments,Payments,
Price List,Lîsteya bihayan,
Prices will not be shown if Price List is not set,Bihayê wê li banî tê ne bê eger List Price is set ne,
Print UOM after Quantity,Li dû Hêmanê UOM çap bikin,
Print taxes with zero amount,Bacê bi mûzek zûtirîn çap bikin,
Products,Products,
Products per Page,Products per Page,
Published,Published,
Published on,Li ser hate weşandin,
Quotation Series,quotation Series,
Rating,Rating,
Reload,Rûpelê,
Reviews,Nirxandin,
Route,Rêk,
Sales Manager,Manager Sales,
Save Quotations as Draft,Gotaran wekî Pêşnûme Bidarînin,
Session Defaults,Session Defaults,
Set Meta Tags,Tagên Meta Set,
Shopping Cart,Têxe selikê,
Show Apply Coupon Code,Afirandin Koda Coupon,
Show Contact Us Button,Bişkok Têkilî Têkilî me,
Show Price,Bihêjin,
Show Public Attachments,Nîşan Attachments Public,
Show Stock Availability,Hilbijêre Stock Stock,
Show Stock Quantity,Qanûna Stock Stock Show,
Show a slideshow at the top of the page,Nîşan a slideshow li jor li ser vê rûpelê,
Show in Website,Di Malperê de Nîşan bidin,
Show this slideshow at the top of the page,Nîşan bide vî slideshow li jor li ser vê rûpelê,
Slideshow,Slideshow,
Sort Order,Sort Order,
Stock Manager,Stock Manager,
Stock UOM,Stock UOM,
Stock User,Stock Bikarhêner,
System Manager,sîstema Manager,
Tax Category,Kategoriya Bacê,
Thumbnail,Thumbnail,
Title,Nav,
User,Bikaranîvan,
Variant Of,Variant Of,
View,Dîtinî,
View Website,View Website,
Warehouse,Embar,
Website Content,Naveroka malperê,
Website Description,Website Description,
Website Image,Wêneyê Malperê,
Website Item Groups,Groups babet Website,
Website Manager,Manager Website,
Website Settings,Settings Website,
Website Specifications,Specifications Website,
Website Warehouse,Warehouse Website,
Weightage,Weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Di vê qadê de hûn dikarin her nîşana Bootstrap 4 bikar bînin. Ew ê li ser rûpela xwe ya xuyangê were xuyandin.,
