About,Informazioni,
Accept Payment,Accetta pagamento,
After payment completion redirect user to selected page.,Dopo il completamento del pagamento reindirizza l'utente alla pagina selezionata.,
All,Tutti,
Allow items not in stock to be added to cart,Consenti agli articoli non disponibili di essere aggiunti al carrello,
Amount,Importo,
Amount Based On Field,Importo basato sul Campo,
Amount Field,Campo importo,
Apps,Applicazioni,
Attributes,Attributi,
Brand,Marca,
Button Help,pulsante Guida,
Button Label,Etichetta pulsante,
Category Name,Nome Categoria,
Checkout Settings,Impostazioni Acquista,
Comment,Commento,
Compact Item Print,Compact elemento di stampa,
Company,Azienda,
Content,Contenuto,
Copy From Item Group,Copia da Gruppo Articoli,
Currency,Valuta,
Customer,Cliente,
Default Customer Group,Gruppo Clienti Predefinito,
Description,Descrizione,
Display Settings,Impostazioni Visualizzazione,
Enable Attribute Filters,Abilita filtri attributi,
Enable Checkout,Abilita Checkout,
Enable Shopping Cart,Abilita Carrello,
Frappe Support,Supporto Frappe,
HTML / Banner that will show on the top of product list.,HTML / Banner che verrà mostrato nella parte superiore della lista dei prodotti.,
Has Variants,Ha varianti,
Hide Variants,Nascondi varianti,
Homepage Featured Product,Home page per prodotti in vetrina,
Image,Immagine,
Image Description,Descrizione dell&#39;immagine,
Image View,Visualizza immagine,
Invoices,Fatture,
Is Active,È attivo,
Is Billing Contact,È il contatto per la fatturazione,
Is Your Company Address,È il vostro indirizzo azienda,
Item,Articolo,
Item Code,Codice articolo,
Item Description,Descrizione Articolo,
Item Details,Dettagli articolo,
Item Fields,Campi oggetto,
Item Group,Gruppo Articoli,
Item Image (if not slideshow),Immagine Articolo (se non slideshow),
Item Name,Nome dell&#39;elemento,
Items,Articoli,
Keyboard Shortcuts,Scorciatoie Tastiera,
Label,Etichetta,
List this Item in multiple groups on the website.,Elenco questo articolo a più gruppi sul sito.,
Log out,Esci,
More Information,Maggiori informazioni,
My Account,Il Mio Account,
Naming Series,Denominazione Serie,
Orders,Ordini,
Payment Gateway,Gateway di pagamento,
Payment Gateway Account,Pagamento Conto Gateway,
Payment Success Url,Pagamento Successo URL,
Payments,pagamenti,
Price List,Listino prezzi,
Prices will not be shown if Price List is not set,I prezzi non verranno visualizzati se listino non è impostata,
Print UOM after Quantity,Stampa UOM dopo la quantità,
Print taxes with zero amount,Stampa le tasse con importo zero,
Products,Prodotti,
Products per Page,Prodotti per pagina,
Published,Pubblicato,
Published on,pubblicato su,
Quotation Series,Serie Preventivi,
Rating,Valutazione,
Reload,Ricarica,
Reviews,Recensioni,
Route,Itinerario,
Sales Manager,Sales Manager,
Save Quotations as Draft,Salva offerte come bozza,
Session Defaults,Predefiniti Sessione,
Set Meta Tags,Imposta meta tag,
Shopping Cart,Carrello spesa,
Show Apply Coupon Code,Mostra Applica codice coupon,
