About,Om,
Accept Payment,Godkend betaling,
After payment completion redirect user to selected page.,Efter betaling afslutning omdirigere brugeren til valgte side.,
All,Alle,
Allow items not in stock to be added to cart,"Tillad, at varer, der ikke er på lager, lægges i indkøbskurven",
Amount,Beløb,
Amount Based On Field,Antal baseret på felt,
Amount Field,Antal felt,
Apps,Apps,
Attributes,Attributter,
Brand,Mærke,
Button Help,Knappen Hjælp,
Button Label,Button Label,
Category Name,Kategori Navn,
Checkout Settings,Kassen Indstillinger,
Comment,Kommentar,
Compact Item Print,Kompakt Item Print,
Company,Firma,
Content,Indhold,
Copy From Item Group,Kopier fra varegruppe,
Currency,Valuta,
Customer,Kunde,
Default Customer Group,Standard kundegruppe,
Description,Beskrivelse,
Display Settings,Skærmindstillinger,
Enable Attribute Filters,Aktivér attributfiltre,
Enable Checkout,Aktiver bestilling,
Enable Shopping Cart,Aktiver Indkøbskurv,
HTML / Banner that will show on the top of product list.,"HTML / Banner, der vil vise på toppen af produktliste.",
Has Variants,Har Varianter,
Hide Variants,Skjul varianter,
Homepage Featured Product,Hjemmeside Featured Product,
Image,Billede,
Image Description,Billedbeskrivelse,
Image View,Billede View,
Invoices,Fakturaer,
Is Active,Er Aktiv,
Is Billing Contact,Er faktureringskontakt,
Is Your Company Address,Er din virksomhedsadresse,
Item,Vare,
Item Code,Varenr.,
Item Description,Varebeskrivelse,
Item Details,Elementdetaljer,
Item Fields,Varefelter,
Item Group,Varegruppe,
Item Image (if not slideshow),Varebillede (hvis ikke lysbilledshow),
Item Name,Varenavn,
Items,Varer,
Keyboard Shortcuts,Tastaturgenveje,
Label,Label,
List this Item in multiple groups on the website.,Liste denne vare i flere grupper på hjemmesiden.,
More Information,Mere information,
My Account,Min konto,
Naming Series,Navngivningsnummerserie,
Orders,ordrer,
Payment Gateway,Betaling Gateway,
Payment Gateway Account,Betaling Gateway konto,
Payment Success Url,Betaling gennemført URL,
Payments,Betalinger,
Price List,Prisliste,
Prices will not be shown if Price List is not set,"Priserne vil ikke blive vist, hvis prisliste ikke er indstillet",
Print UOM after Quantity,Udskriv UOM efter antal,
Print taxes with zero amount,Udskriv skatter med nul beløb,
Products,Produkter,
Products per Page,Produkter pr. Side,
Published,Udgivet,
Published on,Udgivet den,
Quotation Series,Tilbudsnummer,
Rating,Bedømmelse,
Reload,Genindlæs,
Reviews,Anmeldelser,
Route,Rute,
Sales Manager,Salgschef,
Save Quotations as Draft,Gem tilbud som kladde,
Session Defaults,Standard for session,
Set Meta Tags,Indstil metatags,
Shopping Cart,Indkøbskurv,
Show Apply Coupon Code,Vis Anvend kuponkode,
Show Contact Us Button,Vis Kontakt os-knap,
Show Price,Vis pris,
Show Public Attachments,Vis offentlige vedhæftede filer,
Show Stock Availability,Vis lager tilgængelighed,
Show Stock Quantity,Vis lager Antal,
Show a slideshow at the top of the page,Vis et diasshow på toppen af siden,
Show in Website,Vis på webstedet,
Show this slideshow at the top of the page,Vis denne slideshow øverst på siden,
Slideshow,Slideshow,
Sort Order,Sorteringsrækkefølge,
Stock Manager,Stock manager,
Stock UOM,Lagerenhed,
Stock User,Lagerbruger,
System Manager,System Manager,
Tax Category,Skatskategori,
Thumbnail,Thumbnail,
Title,Titel,
User,Bruger,
Variant Of,Variant af,
View,Visning,
View Website,Se hjemmeside,
Warehouse,Lager,
Website Content,Indhold på webstedet,
Website Description,Hjemmesidebeskrivelse,
Website Image,Webstedets billede,
Website Item Groups,Hjemmeside-varegrupper,
Website Manager,Webmaster,
Website Settings,Opsætning af hjemmeside,
Website Specifications,Website Specifikationer,
Website Warehouse,Hjemmeside-lager,
Weightage,Vægtning,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Du kan bruge enhver gyldig Bootstrap 4-markering i dette felt. Det vises på din vareside.,
