Accept Payment,Zaakceptuj płatność,
After payment completion redirect user to selected page.,Po dokonaniu płatności przekierować użytkownika do wybranej strony.,
All,Wszystko,
Allow items not in stock to be added to cart,Zezwól na dodanie produktów niedostępnych w magazynie do koszyka,
Amount,Wartość,
Amount Based On Field,Kwota wg Polu,
Amount Field,kwota Pole,
Attributes,Atrybuty,
Brand,Marka,
Button Help,Przycisk Pomocy,
Button Label,Przycisk Etykiety,
Category Name,Nazwa kategorii,
Checkout Settings,Zamówienie Ustawienia,
Comment,Komentarz,
Compact Item Print,Compact Element Drukuj,
Company,Firma,
Content,Zawartość,
Copy From Item Group,Skopiuj z Grupy Przedmiotów,
Currency,Waluta,
Customer,Klient,
Default Customer Group,Domyślna grupa klientów,
Description,Opis,
Enable Attribute Filters,Włącz filtry atrybutów,
Enable Checkout,Włącz kasę,
Enable Shopping Cart,Włącz Koszyk,
HTML / Banner that will show on the top of product list.,"HTML / Banner, który pokaże się na górze listy produktów.",
Has Variants,Ma Warianty,
Hide Variants,Ukryj warianty,
Homepage Featured Product,Ciekawa Strona produktu,
Image,Obrazek,
Image Description,Opis obrazu,
Image View,Widok obrazka,
Invoices,Faktury,
Is Active,Jest aktywny,
Is Billing Contact,Jest kontaktem ds. Rozliczeń,
Is Your Company Address,Czy Twój adres firmy,
Item,Asortyment,
Item Code,Kod identyfikacyjny,
Item Description,Opis produktu,
Item Details,Szczegóły produktu,
Item Fields,Pola przedmiotów,
Item Group,Kategoria,
Item Image (if not slideshow),Element Obrazek (jeśli nie slideshow),
Item Name,Nazwa przedmiotu,
Items,Produkty,
Keyboard Shortcuts,Skróty klawiszowe,
Label,etykieta,
List this Item in multiple groups on the website.,Pokaż ten produkt w wielu grupach na stronie internetowej.,
More Information,Więcej informacji,
My Account,Moje Konto,
Naming Series,Seria nazw,
Orders,Zamówienia,
Payment Gateway,Bramki płatności,
Payment Gateway Account,Płatność konto Brama,
Payment Success Url,Płatność Sukces URL,
Payments,Płatności,
Price List,Cennik,
Prices will not be shown if Price List is not set,"Ceny nie będą wyświetlane, jeśli Cennik nie jest ustawiony",
Print UOM after Quantity,Drukuj UOM po Quantity,
Print taxes with zero amount,Drukowanie podatków z zerową kwotą,
Products,Produkty,
Products per Page,Produkty na stronę,
Published,Opublikowany,
Published on,Opublikowano,
Quotation Series,Serie Wyeceny,
Rating,Ocena,
Reload,Przeładuj,
Reviews,Recenzje,
Route,Trasa,
Sales Manager,Menadżer Sprzedaży,
Save Quotations as Draft,Zapisz oferty jako wersję roboczą,
Session Defaults,Domyślne ustawienia sesji,
Set Meta Tags,Ustaw meta tagi,
Shopping Cart,Koszyk,
Show Apply Coupon Code,Pokaż zastosuj kod kuponu,
Show Contact Us Button,Pokaż przycisk Skontaktuj się z nami,
Show Price,Pokaż cenę,
Show Public Attachments,Pokaż załączniki publiczne,
Show Stock Availability,Pokaż dostępność zapasów,
Show Stock Quantity,Pokaż ilość zapasów,
Show a slideshow at the top of the page,Pokazuj slideshow na górze strony,
Show in Website,Pokaż w witrynie,
Show this slideshow at the top of the page,Pokaż slideshow na górze strony,
Slideshow,Pokaz slajdów,
Sort Order,Kolejność,
Stock Manager,Kierownik magazynu,
Stock UOM,Jednostka,
Stock User,Użytkownik magazynu,
System Manager,System Manager,
Tax Category,Kategoria podatku,
Thumbnail,Miniaturka,
Title,Tytuł,
User,Użytkownik,
Variant Of,Wariant,
View,Widok,
View Website,Zobacz stronę WWW,
Warehouse,Magazyn,
Website Content,Zawartość strony internetowej,
Website Description,Opis strony WWW,
Website Image,Obraz strony internetowej,
Website Item Groups,Grupy przedmiotów strony WWW,
Website Manager,Manager strony WWW,
Website Settings,Ustawienia witryny,
Website Specifications,Specyfikacja strony WWW,
Website Warehouse,Magazyn strony WWW,
Weightage,Waga/wiek,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Możesz użyć dowolnego poprawnego znacznika Bootstrap 4 w tym polu. Zostanie on wyświetlony na Twojej stronie przedmiotu.,
