About,Om,
Accept Payment,Acceptera betalning,
After payment completion redirect user to selected page.,Efter betalning avslutad omdirigera användare till valda sidan.,
All,Allt,
Allow items not in stock to be added to cart,Låt varor som inte finns i lagret läggas till i kundvagnen,
Amount,Mängd,
Amount Based On Field,Belopp som baseras på Field,
Amount Field,belopp Field,
Apps,Appar,
Attributes,Attributer,
Brand,Märke,
Button Help,KNAPPHJÄLP,
Button Label,Button Label,
Category Name,Kategorinamn,
Checkout Settings,kassa Inställningar,
Comment,Kommentar,
Compact Item Print,Kompakt Produkttryck,
Company,Företaget,
Content,Innehåll,
Copy From Item Group,Kopiera från artikelgrupp,
Currency,Valuta,
Customer,Kunden,
Default Customer Group,Standard Kundgrupp,
Description,Beskrivning,
Display Settings,Bildskärmsinställningar,
Enable Attribute Filters,Aktivera attributfilter,
Enable Checkout,göra det möjligt för kassan,
Enable Shopping Cart,Aktivera Varukorgen,
Frappe Support,Frappe Support,
HTML / Banner that will show on the top of product list.,HTML / Banner som visar på toppen av produktlista.,
Has Variants,Har Varianter,
Hide Variants,Dölj varianter,
Homepage Featured Product,Hemsida Aktuell produkt,
Image,Bild,
Image Description,Bildbeskrivning,
Image View,Visa bild,
Invoices,fakturor,
Is Active,Är Aktiv,
Is Billing Contact,Är faktureringskontakt,
Is Your Company Address,Är ditt Företag Adress,
Item,Objekt,
Item Code,Produktkod,
Item Description,Produktbeskrivning,
Item Details,Artikel detaljer,
Item Fields,Objektfält,
Item Group,Produkt Grupp,
Item Image (if not slideshow),Produktbild (om inte bildspel),
Item Name,Föremålsnamn,
Items,Produkter,
Keyboard Shortcuts,Kort Kommando,
Label,Etikett,
List this Item in multiple groups on the website.,Lista detta objekt i flera grupper på webbplatsen.,
Log out,Logga Ut,
More Information,Mer information,
My Account,Mitt Konto,
My Profile,Min Profil,
My Settings,Mina Inställningar,
Naming Series,Namge Serien,
Orders,Beställningar,
Payment Gateway,Payment Gateway,
Payment Gateway Account,Betalning Gateway konto,
Payment Success Url,Betalning Framgång URL,
Payments,Betalningar,
Price List,Prislista,
Prices will not be shown if Price List is not set,Priserna kommer inte att visas om prislista inte är inställd,
Print UOM after Quantity,Skriv UOM efter kvantitet,
Print taxes with zero amount,Skriv ut skatter med nollbelopp,
Products,Produkter,
Products per Page,Produkter per sida,
Published,Publicerad,
Published on,Publicerad,
Quotation Series,Offert Serie,
Rating,Betyg,
Reload,Ladda om,
Reviews,recensioner,
Route,Rutt,
Sales Manager,FÖRSÄLJNINGSCHEF,
Save Quotations as Draft,Spara offert som utkast,
Session Defaults,Session Inställningar,
Set Meta Tags,Ställ in metataggar,
Shopping Cart,Kundvagn,
Show Apply Coupon Code,Visa Använd kupongkod,
Show Contact Us Button,Visa Kontakta oss-knappen,
Show Price,Visa pris,
Show Public Attachments,Visa offentliga bilagor,
Show Stock Availability,Visa lager tillgänglighet,
Show Stock Quantity,Visa lager Antal,
Show a slideshow at the top of the page,Visa ett bildspel på toppen av sidan,
Show in Website,Visa på webbplatsen,
Show this slideshow at the top of the page,Visa denna bildspel längst upp på sidan,
Slideshow,Bildspel,
Sort Order,Sortering Order,
Stock Manager,Lagrets direktör,
Stock UOM,Lager UOM,
Stock User,Lager Användar,
System Manager,System Manager,
Tax Category,Skatt kategori,
Thumbnail,Miniatyr,
Title,Titel,
Toggle Full Width,Växla Full Bredd,
Toggle Theme,Växla Tema,
User,Användare,
Variant Of,Variant av,
View,Se,
View Website,Visa Webbplats,
Warehouse,lager,
Website Content,Webbplatsinnehåll,
Website Description,Webbplats Beskrivning,
Website Image,Webbplatsbild,
Website Item Groups,Webbplats artikelgrupper,
Website Manager,Webbplats ägare,
Website Settings,Webbplatsinställningar,
Website Specifications,Webbplats Specifikationer,
Website Warehouse,Webbplatslager,
Weightage,Vikt,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Du kan använda valfri Bootstrap 4-markering i det här fältet. Det kommer att visas på din artikelsida.,
