Accept Payment,priimame mokėjimus,
After payment completion redirect user to selected page.,Po mokėjimo pabaigos nukreipti vartotoją į pasirinktame puslapyje.,
All,VISOS,
Allow items not in stock to be added to cart,"Leiskite prekėms, kurių nėra sandėlyje, dėti į krepšelį",
Amount,Suma,
Amount Based On Field,Suma pagal lauko,
Amount Field,suma laukas,
Attributes,atributai,
Brand,markė,
Button Help,mygtukas Pagalba,
Button Label,mygtukas Etiketė,
Category Name,Kategorijos pavadinimas,
Checkout Settings,Vykdyti Nustatymai,
Comment,Komentuok,
Compact Item Print,Kompaktiškas punktas Spausdinti,
Company,Bendrovė,
Content,Turinys,
Copy From Item Group,Kopijuoti Nuo punktas grupės,
Currency,valiuta,
Customer,Klientas,
Default Customer Group,Pagal nutylėjimą klientų grupei,
Description,Prekės ir paslaugos pavadinimas,
Display Settings,Ekrano nustatymai,
Enable Attribute Filters,Įgalinti atributų filtrus,
Enable Checkout,Įjungti Checkout,
Enable Shopping Cart,Įjungti Prekių krepšelis,
HTML / Banner that will show on the top of product list.,"HTML / reklama, kuri parodys ant produkto sąrašo viršuje.",
Has Variants,turi variantams,
Hide Variants,Slėpti variantus,
Homepage Featured Product,Pagrindinis puslapis Teminiai Prekės,
Image,Vaizdas,
Image Description,Vaizdo aprašymas,
Image View,Vaizdo Peržiūrėti,
Invoices,Sąskaitos,
Is Active,yra aktyvus,
Is Billing Contact,Ar yra atsiskaitymo kontaktas,
Is Your Company Address,Ar Jūsų įmonė Adresas,
Item,Prekė,
Item Code,Prekės kodas,
Item Description,Prekės Aprašymas,
Item Details,Prekės informacija,
Item Fields,Prekės laukai,
Item Group,Prekė grupė,
Item Image (if not slideshow),Prekė vaizdas (jei ne skaidrių),
Item Name,Daikto pavadinimas,
Items,Daiktai,
Keyboard Shortcuts,Klaviatūros nuorodos,
Label,Etiketė,
List this Item in multiple groups on the website.,Sąrašas šį Elementą keliomis grupėmis svetainėje.,
More Information,Daugiau informacijos,
My Account,Mano sąskaita,
Naming Series,Pavadinimų serija,
Orders,Užsakymai,
Payment Gateway,Mokėjimo šliuzai,
Payment Gateway Account,Mokėjimo šliuzai paskyra,
Payment Success Url,Mokėjimo Sėkmės adresas,
Payments,Mokėjimai,
Price List,Kainoraštis,
Prices will not be shown if Price List is not set,"Kainos nebus rodomas, jei Kainų sąrašas nenustatytas",
Print UOM after Quantity,Spausdinkite UOM po kiekio,
Print taxes with zero amount,Spausdinti mokesčius su nuline suma,
Products,Produktai,
Products per Page,Produktai puslapyje,
Published,paskelbta,
Published on,Paskelbta,
Quotation Series,citata serija,
Rating,Reitingas,
Reload,Perkrauti,
Reviews,Atsiliepimai,
Route,Maršrutas,
Sales Manager,Pardavimų vadybininkas,
Save Quotations as Draft,Išsaugoti citatas kaip juodraštį,
Session Defaults,Sesijos numatytieji nustatymai,
Set Meta Tags,Nustatykite metažymas,
Shopping Cart,Prekių krepšelis,
Show Apply Coupon Code,Rodyti pritaikyti kupono kodą,
Show Contact Us Button,Rodyti mygtuką Susisiekite su mumis,
Show Price,Rodyti kainą,
Show Public Attachments,Rodyti Viešieji Priedai,
Show Stock Availability,Rodyti sandėlyje,
Show Stock Quantity,Rodyti prekių kiekį,
Show a slideshow at the top of the page,Rodyti skaidrių peržiūrą į puslapio viršuje,
Show in Website,Rodyti svetainėje,
Show this slideshow at the top of the page,Parodyti šią demonstraciją prie puslapio viršuje,
Slideshow,Skaidrės,
Sort Order,Rikiuoti,
Stock Manager,akcijų direktorius,
Stock UOM,akcijų UOM,
Stock User,akcijų Vartotojas,
System Manager,sistemos direktorius,
Tax Category,Mokesčių kategorija,
Thumbnail,Miniatiūra,
Title,Pavadinimas,
User,Vartotojas,
Variant Of,Variantas,
View,vaizdas,
View Website,Peržiūrėti svetainė,
Warehouse,sandėlis,
Website Content,Svetainės turinys,
Website Description,Interneto svetainė Aprašymas,
Website Image,Svetainės vaizdas,
Website Item Groups,Interneto svetainė punktas Grupės,
Website Manager,Interneto svetainė direktorius,
Website Settings,Svetainės nustatymai,
Website Specifications,Interneto svetainė duomenys,
Website Warehouse,Interneto svetainė sandėlis,
Weightage,weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Šiame lauke galite naudoti bet kokį galiojantį „Bootstrap 4“ žymėjimą. Jis bus rodomas jūsų prekės puslapyje.,
