Accept Payment,Chấp nhận thanh toán,
After payment completion redirect user to selected page.,Sau khi hoàn thành thanh toán chuyển hướng người dùng đến trang lựa chọn.,
All,Tất cả,
Allow items not in stock to be added to cart,Cho phép các mặt hàng không có trong kho được thêm vào giỏ hàng,
Amount,Giá trị,
Amount Based On Field,Số tiền Dựa Trên Dòng,
Amount Field,Số tiền Dòng,
Attributes,Thuộc tính,
Brand,Nhãn,
Button Help,nút Trợ giúp,
Button Label,Nút Nhãn,
Category Name,Category Name,
Checkout Settings,Thiết lập Checkout,
Comment,Bình luận,
Compact Item Print,Nhỏ gọn mục Print,
Company,Công ty,
Content,Lọc nội dung,
Copy From Item Group,Sao chép Từ mục Nhóm,
Currency,Tiền tệ,
Customer,Khách Hàng,
Default Customer Group,Nhóm khách hàng mặc định,
Description,Mô tả,
Display Settings,Thiết lập hiển thị,
Enable Attribute Filters,Bật bộ lọc thuộc tính,
Enable Checkout,Kích hoạt tính năng Thanh toán,
Enable Shopping Cart,Kích hoạt Giỏ hàng,
HTML / Banner that will show on the top of product list.,HTML / Tiêu đề đó sẽ hiển thị trên đầu danh sách sản phẩm.,
Has Variants,Có biến thể,
Hide Variants,Ẩn các biến thể,
Homepage Featured Product,Sản phẩm nổi bật trên trang chủ,
Image,Hình,
Image Description,Mô tả hình ảnh,
Image View,Xem hình ảnh,
Invoices,Hóa đơn,
Is Active,Là hoạt động,
Is Billing Contact,Là liên hệ thanh toán,
Is Your Company Address,Là Địa chỉ công ty của bạn,
Item,Hạng mục,
Item Code,Mã hàng,
Item Description,Mô tả hạng mục,
Item Details,Chi Tiết Sản Phẩm,
Item Fields,Lĩnh vực mục,
Item Group,Nhóm hàng,
Item Image (if not slideshow),Hình ảnh mẫu hàng (nếu không phải là slideshow),
Item Name,Tên mục,
Items,Khoản mục,
Keyboard Shortcuts,Các phím tắt bàn phím,
Label,Nhãn,
List this Item in multiple groups on the website.,Danh sách sản phẩm này trong nhiều nhóm trên trang web.,
More Information,Thêm thông tin,
My Account,Tài Khoản Của Tôi,
Naming Series,Đặt tên series,
Orders,Đơn đặt hàng,
Payment Gateway,Cổng thanh toán,
Payment Gateway Account,Tài khoản của Cổng thanh toán,
Payment Success Url,Thanh toán thành công URL,
Payments,Thanh toán,
Price List,Bảng giá,
Prices will not be shown if Price List is not set,Giá sẽ không được hiển thị nếu thực Giá liệt kê không được thiết lập,
Print UOM after Quantity,In UOM sau số lượng,
Print taxes with zero amount,In thuế với số tiền bằng không,
Products,Sản phẩm,
Products per Page,Sản phẩm trên mỗi trang,
Published,Công bố,
Published on,Được xuất bản trên,
Quotation Series,Báo giá seri,
Rating,Đánh giá,
Reload,Nạp lại,
Reviews,Nhận xét,
Route,Tuyến đường,
Sales Manager,Quản lý bán hàng,
Save Quotations as Draft,Lưu báo giá dưới dạng bản nháp,
Session Defaults,Mặc định phiên,
Set Meta Tags,Đặt thẻ Meta,
Shopping Cart,Giỏ hàng,
Show Apply Coupon Code,Hiển thị áp dụng mã phiếu giảm giá,
Show Contact Us Button,Hiển thị nút liên hệ,
Show Price,Hiển thị giá,
Show Public Attachments,Hiển thị các tệp đính kèm công khai,
Show Stock Availability,Hiển thị tình trạng sẵn có,
Show Stock Quantity,Hiển thị số lượng cổ phiếu,
Show a slideshow at the top of the page,Hiển thị một slideshow ở trên cùng của trang,
Show in Website,Hiển thị trong Trang web,
Show this slideshow at the top of the page,Hiển thị slideshow này ở trên cùng của trang,
Slideshow,Ảnh Slideshow,
Sort Order,Thứ tự sắp xếp,
Stock Manager,Quản lý kho hàng,
Stock UOM,Đơn vị tính Hàng tồn kho,
Stock User,Cổ khoản,
System Manager,Hệ thống quản lý,
Tax Category,Danh mục thuế,
Thumbnail,Hình đại diện,
Title,Tiêu đề,
User,Người dùng,
Variant Of,Biến thể của,
View,Xem,
View Website,Xem trang web,
Warehouse,Kho hàng,
Website Content,Nội dung trang web,
Website Description,Mô tả Website,
Website Image,Hình ảnh trang web,
Website Item Groups,Các Nhóm mục website,
Website Manager,Quản trị viên Website,
Website Settings,Thiết lập website,
Website Specifications,Thông số kỹ thuật website,
Website Warehouse,Trang web kho,
Weightage,Trọng lượng,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Bạn có thể sử dụng bất kỳ đánh dấu Bootstrap 4 hợp lệ trong trường này. Nó sẽ được hiển thị trên Trang Mục của bạn.,
