Accept Payment,terima Pembayaran,
After payment completion redirect user to selected page.,Setelah selesai pembayaran mengarahkan pengguna ke halaman yang dipilih.,
All,Semua,
Allow items not in stock to be added to cart,Benarkan item yang tidak ada dalam stok untuk dimasukkan ke dalam troli,
Amount,Jumlah,
Amount Based On Field,Jumlah Berasaskan Field,
Amount Field,jumlah Field,
Attributes,Sifat-sifat,
Brand,Jenama,
Button Help,butang Bantuan,
Button Label,Button Label,
Category Name,Kategori Nama,
Checkout Settings,Tetapan Checkout,
Comment,Komen,
Compact Item Print,Compact Perkara Cetak,
Company,Syarikat,
Content,Kandungan,
Copy From Item Group,Salinan Dari Perkara Kumpulan,
Currency,Mata Wang,
Customer,Pelanggan,
Default Customer Group,Default Pelanggan Kumpulan,
Description,Penerangan,
Display Settings,Tetapan Paparan,
Enable Attribute Filters,Membolehkan Penapis Atribut,
Enable Checkout,membolehkan Checkout,
Enable Shopping Cart,Membolehkan Troli,
HTML / Banner that will show on the top of product list.,HTML / Banner yang akan muncul di bahagian atas senarai produk.,
Has Variants,Mempunyai Kelainan,
Hide Variants,Sembunyikan Variasi,
Homepage Featured Product,Homepage produk yang ditampilkan,
Image,Image,
Image Description,Penerangan Gambar,
Image View,Lihat imej,
Invoices,Invois,
Is Active,Adalah aktif,
Is Billing Contact,Adakah Kenalan Pengebilan,
Is Your Company Address,Adakah anda Alamat Syarikat,
Item,Perkara,
Item Code,Kod Item,
Item Description,Perkara Penerangan,
Item Details,Butiran Item,
Item Fields,Bidang Perkara,
Item Group,Perkara Kumpulan,
Item Image (if not slideshow),Perkara imej (jika tidak menayang),
Item Name,Nama barang,
Items,Item,
Keyboard Shortcuts,Pintasan papan kekunci,
Label,Label,
List this Item in multiple groups on the website.,Senarai Item ini dalam pelbagai kumpulan di laman web.,
More Information,Maklumat lanjut,
My Account,Akaun Saya,
Naming Series,Menamakan Siri,
Orders,Pesanan,
Payment Gateway,Gateway Pembayaran,
Payment Gateway Account,Akaun Gateway Pembayaran,
Payment Success Url,Pembayaran URL Kejayaan,
Payments,Pembayaran,
Price List,Senarai harga,
Prices will not be shown if Price List is not set,Harga tidak akan dipaparkan jika Senarai Harga tidak ditetapkan,
Print UOM after Quantity,Cetak UOM selepas Kuantiti,
Print taxes with zero amount,Cetak cukai dengan jumlah sifar,
Products,Produk,
Products per Page,Produk setiap halaman,
Published,Diterbitkan,
Published on,Diterbitkan pada,
Quotation Series,Sebutharga Siri,
Rating,Rating,
Reload,Muat semula,
Reviews,Ulasan,
Route,Route,
Sales Manager,Pengurus Jualan,
Save Quotations as Draft,Simpan Sebutharga sebagai Draf,
Session Defaults,Default Sesi,
Set Meta Tags,Tetapkan Tag Meta,
Shopping Cart,Troli Membeli-belah,
Show Apply Coupon Code,Paparkan Memohon Kod Kupon,
Show Contact Us Button,Tunjukkan Butang Hubungi Kami,
Show Price,Tunjukkan Harga,
Show Public Attachments,Tunjuk Lampiran Awam,
Show Stock Availability,Tunjukkan Ketersediaan Saham,
Show Stock Quantity,Tunjukkan Kuantiti Stok,
Show a slideshow at the top of the page,Menunjukkan tayangan slaid di bahagian atas halaman,
Show in Website,Tunjukkan di Laman Web,
Show this slideshow at the top of the page,Menunjukkan tayangan gambar ini di bahagian atas halaman,
Slideshow,Slideshow,
Sort Order,Sort Order,
Stock Manager,Pengurus saham,
Stock UOM,Saham UOM,
Stock User,Saham pengguna,
System Manager,Pengurus Sistem,
Tax Category,Kategori Cukai,
Thumbnail,Thumbnail,
Title,Tajuk,
User,Pengguna,
Variant Of,Varian Dari,
View,Lihat,
View Website,Lihat Laman Web,
Warehouse,Gudang,
Website Content,Kandungan Laman Web,
Website Description,Laman Web Penerangan,
Website Image,Imej Laman Web,
Website Item Groups,Kumpulan Website Perkara,
Website Manager,Laman Web Pengurus,
Website Settings,Tetapan laman web,
Website Specifications,Laman Web Spesifikasi,
Website Warehouse,Laman Web Gudang,
Weightage,Wajaran,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Anda boleh menggunakan markup Bootstrap 4 yang sah dalam medan ini. Ia akan ditunjukkan pada Halaman Item anda.,
