Accept Payment,ಪಾವತಿ ಸ್ವೀಕರಿಸಿ,
After payment completion redirect user to selected page.,ಪಾವತಿ ನಂತರ ಆಯ್ಕೆ ಪುಟ ಬಳಕೆದಾರ ಮರುನಿರ್ದೇಶನ.,
All,ಎಲ್ಲಾ,
Allow items not in stock to be added to cart,ಸ್ಟಾಕ್‌ನಲ್ಲಿರದ ವಸ್ತುಗಳನ್ನು ಕಾರ್ಟ್‌ಗೆ ಸೇರಿಸಲು ಅನುಮತಿಸಿ,
Amount,ಪ್ರಮಾಣ,
Amount Based On Field,ಪ್ರಮಾಣ ಫೀಲ್ಡ್ ರಂದು ಆಧರಿಸಿ,
Amount Field,ಪ್ರಮಾಣ ಫೀಲ್ಡ್,
Attributes,ಗುಣಲಕ್ಷಣಗಳು,
Brand,ಬೆಂಕಿ,
Button Help,ಬಟನ್ ಸಹಾಯ,
Button Label,ಬಟನ್ ಲೇಬಲ್,
Category Name,ವರ್ಗ ಹೆಸರು,
Checkout Settings,ಚೆಕ್ಔಟ್ ಸೆಟ್ಟಿಂಗ್ಗಳು,
Comment,ಕಾಮೆಂಟ್ ಮಾಡಿ,
Compact Item Print,ಕಾಂಪ್ಯಾಕ್ಟ್ ಐಟಂ ಪ್ರಿಂಟ್,
Company,ಕಂಪನಿ,
Content,ವಿಷಯ,
Copy From Item Group,ಐಟಂ ಗುಂಪಿನಿಂದ ನಕಲಿಸಿ,
Currency,ಕರೆನ್ಸಿ,
Customer,ಗಿರಾಕಿ,
Default Customer Group,ಡೀಫಾಲ್ಟ್ ಗ್ರಾಹಕ ಗುಂಪಿನ,
Description,ವಿವರಣೆ,
Display Settings,ಪ್ರದರ್ಶನ ಸೆಟ್ಟಿಂಗ್ಗಳನ್ನು,
Enable Attribute Filters,ಗುಣಲಕ್ಷಣ ಫಿಲ್ಟರ್‌ಗಳನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ,
Enable Checkout,ಚೆಕ್ಔಟ್ ಸಕ್ರಿಯಗೊಳಿಸಿ,
Enable Shopping Cart,ಶಾಪಿಂಗ್ ಕಾರ್ಟ್ ಸಕ್ರಿಯಗೊಳಿಸಿ,
HTML / Banner that will show on the top of product list.,ಉತ್ಪನ್ನದ ಪಟ್ಟಿ ಮೇಲೆ ತೋರಿಸಿ thatwill ಎಚ್ಟಿಎಮ್ಎಲ್ / ಬ್ಯಾನರ್ .,
Has Variants,ವೇರಿಯಂಟ್,
Hide Variants,ರೂಪಾಂತರಗಳನ್ನು ಮರೆಮಾಡಿ,
Homepage Featured Product,ಮುಖಪುಟ ಉತ್ಪನ್ನ,
Image,ಚಿತ್ರ,
Image Description,ಚಿತ್ರ ವಿವರಣೆ,
Image View,ImageView,
Invoices,ಇನ್ವಾಯ್ಸ್ಗಳು,
Is Active,ಸಕ್ರಿಯವಾಗಿದೆ,
Is Billing Contact,ಬಿಲ್ಲಿಂಗ್ ಸಂಪರ್ಕ,
Is Your Company Address,ನಿಮ್ಮ ಕಂಪನಿ ವಿಳಾಸ,
Item,ವಸ್ತು,
Item Code,ಐಟಂ ಕೋಡ್,
Item Description,ಐಟಂ ವಿವರಣೆ,
Item Details,ಐಟಂ ವಿವರಗಳು,
Item Fields,ಐಟಂ ಕ್ಷೇತ್ರಗಳು,
Item Group,ಐಟಂ ಗುಂಪು,
Item Image (if not slideshow),ಐಟಂ ಚಿತ್ರ (ಇಲ್ಲದಿದ್ದರೆ ಸ್ಲೈಡ್ಶೋ ),
Item Name,ವಸ್ತುವಿನ ಹೆಸರು,
Items,ಐಟಂಗಳನ್ನು,
Keyboard Shortcuts,ಕೀಬೋರ್ಡ್ ಶಾರ್ಟ್‌ಕಟ್‌ಗಳು,
Label,ಚೀಟಿ,
List this Item in multiple groups on the website.,ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ಅನೇಕ ಗುಂಪುಗಳಲ್ಲಿ ಈ ಐಟಂ ಪಟ್ಟಿ .,
More Information,ಹೆಚ್ಚಿನ ಮಾಹಿತಿ,
My Account,ನನ್ನ ಖಾತೆ,
Naming Series,ಸರಣಿ ಹೆಸರಿಸುವ,
Orders,ಆರ್ಡರ್ಸ್,
Payment Gateway,ಪೇಮೆಂಟ್ ಗೇಟ್ ವೇ,
Payment Gateway Account,ಪಾವತಿ ಗೇಟ್ವೇ ಖಾತೆ,
Payment Success Url,ಪಾವತಿ ಯಶಸ್ಸು URL,
Payments,ಪಾವತಿಗಳು,
Price List,ಬೆಲೆ ಪಟ್ಟಿ,
Prices will not be shown if Price List is not set,ದರ ಪಟ್ಟಿ ಹೊಂದಿಸದೆ ವೇಳೆ ಬೆಲೆಗಳು ತೋರಿಸಲಾಗುವುದಿಲ್ಲ,
Print UOM after Quantity,ಪ್ರಮಾಣದ ನಂತರ UOM ಅನ್ನು ಮುದ್ರಿಸಿ,
Print taxes with zero amount,ಶೂನ್ಯ ಮೊತ್ತದೊಂದಿಗೆ ಪ್ರಿಂಟ್ ತೆರಿಗೆಗಳು,
Products,ಉತ್ಪನ್ನಗಳು,
Products per Page,ಪ್ರತಿ ಪುಟಕ್ಕೆ ಉತ್ಪನ್ನಗಳು,
Published,ಪ್ರಕಟಣೆ,
Published on,ಪ್ರಕಟಿಸಲಾಗಿದೆ,
Quotation Series,ಉದ್ಧರಣ ಸರಣಿ,
Rating,ರೇಟಿಂಗ್,
Reload,ರೀಲೋಡ್,
Reviews,ವಿಮರ್ಶೆಗಳು,
Route,ಮಾರ್ಗ,
Sales Manager,ಸೇಲ್ಸ್ ಮ್ಯಾನೇಜರ್,
Save Quotations as Draft,ಉಲ್ಲೇಖಗಳನ್ನು ಡ್ರಾಫ್ಟ್ ಆಗಿ ಉಳಿಸಿ,
Session Defaults,ಸೆಷನ್ ಡೀಫಾಲ್ಟ್‌ಗಳು,
Set Meta Tags,ಮೆಟಾ ಟ್ಯಾಗ್‌ಗಳನ್ನು ಹೊಂದಿಸಿ,
Shopping Cart,ಶಾಪಿಂಗ್ ಕಾರ್ಟ್,
Show Apply Coupon Code,ಅನ್ವಯಿಸು ಕೂಪನ್ ಕೋಡ್ ತೋರಿಸಿ,
Show Contact Us Button,ನಮ್ಮನ್ನು ಸಂಪರ್ಕಿಸಿ ಬಟನ್ ತೋರಿಸಿ,
Show Price,ಬೆಲೆ ತೋರಿಸಿ,
Show Public Attachments,ಸಾರ್ವಜನಿಕ ಲಗತ್ತುಗಳು ತೋರಿಸಿ,
Show Stock Availability,ಸ್ಟಾಕ್ ಲಭ್ಯತೆ ತೋರಿಸಿ,
Show Stock Quantity,ಸ್ಟಾಕ್ ಪ್ರಮಾಣವನ್ನು ತೋರಿಸಿ,
Show a slideshow at the top of the page,ಪುಟದ ಮೇಲಿರುವ ಒಂದು ಸ್ಲೈಡ್ಶೋ ತೋರಿಸು,
Show in Website,ವೆಬ್‌ಸೈಟ್‌ನಲ್ಲಿ ತೋರಿಸಿ,
Show this slideshow at the top of the page,ಪುಟದ ಮೇಲಿರುವ ಈ ಸ್ಲೈಡ್ಶೋ ತೋರಿಸು,
Slideshow,ಸ್ಲೈಡ್ಶೋ,
Sort Order,ವಿಂಗಡಣಾ ಕ್ರಮ,
Stock Manager,ಸ್ಟಾಕ್ ಮ್ಯಾನೇಜರ್,
Stock UOM,ಸ್ಟಾಕ್ UOM,
Stock User,ಸ್ಟಾಕ್ ಬಳಕೆದಾರ,
System Manager,ವ್ಯವಸ್ಥೆ ಮ್ಯಾನೇಜರ್,
Tax Category,ತೆರಿಗೆ ವರ್ಗ,
Thumbnail,ಥಂಬ್ನೇಲ್,
Title,ಶೀರ್ಷಿಕೆ,
User,ಬಳಕೆದಾರ,
Variant Of,ರೂಪಾಂತರ,
View,ವೀಕ್ಷಿಸಿ,
View Website,ವೀಕ್ಷಿಸಿ ವೆಬ್ಸೈಟ್,
Warehouse,ಮಳಿಗೆ,
Website Content,ವೆಬ್‌ಸೈಟ್ ವಿಷಯ,
Website Description,ವೆಬ್ಸೈಟ್ ವಿವರಣೆ,
Website Image,ವೆಬ್‌ಸೈಟ್ ಚಿತ್ರ,
Website Item Groups,ವೆಬ್ಸೈಟ್ ಐಟಂ ಗುಂಪುಗಳು,
Website Manager,ವೆಬ್ಸೈಟ್ ಮ್ಯಾನೇಜರ್,
Website Settings,ಸೈಟ್ ಸೆಟ್ಟಿಂಗ್ಗಳು,
Website Specifications,ವೆಬ್ಸೈಟ್ ವಿಶೇಷಣಗಳು,
Website Warehouse,ವೆಬ್ಸೈಟ್ ವೇರ್ಹೌಸ್,
Weightage,weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,ಈ ಕ್ಷೇತ್ರದಲ್ಲಿ ನೀವು ಯಾವುದೇ ಮಾನ್ಯ ಬೂಟ್ ಸ್ಟ್ರಾಪ್ 4 ಮಾರ್ಕ್ಅಪ್ ಅನ್ನು ಬಳಸಬಹುದು. ಇದನ್ನು ನಿಮ್ಮ ಐಟಂ ಪುಟದಲ್ಲಿ ತೋರಿಸಲಾಗುತ್ತದೆ.,
