Accept Payment,Aanvaar betaling,
After payment completion redirect user to selected page.,Na betaling voltooiing herlei gebruiker na geselekteerde bladsy.,
All,Almal,
Allow items not in stock to be added to cart,"Laat toe dat items wat nie op voorraad is nie, in die mandjie gevoeg word",
Amount,bedrag,
Amount Based On Field,Bedrag gebaseer op veld,
Amount Field,Bedrag Veld,
Attributes,eienskappe,
Brand,Brand,
Button Help,Knoppie Hulp,
Button Label,Knoppie,
Category Name,Kategorie Naam,
Checkout Settings,Checkout instellings,
Comment,kommentaar,
Compact Item Print,Kompakte Item Druk,
Company,maatskappy,
Content,inhoud,
Copy From Item Group,Kopieer vanaf itemgroep,
Currency,geldeenheid,
Customer,kliënt,
Default Customer Group,Verstek kliënt groep,
Description,beskrywing,
Display Settings,Vertoon opsies,
Enable Attribute Filters,Aktiveer kenmerkfilters,
Enable Checkout,Aktiveer Checkout,
Enable Shopping Cart,Aktiveer inkopiesentrum,
HTML / Banner that will show on the top of product list.,HTML / Banner wat op die top van die produklys verskyn.,
Has Variants,Het Varianten,
Hide Variants,Versteek variante,
Homepage Featured Product,Tuisblad Voorgestelde Produk,
Image,Image,
Image Description,Beeldbeskrywing,
Image View,Beeld vertoning,
Invoices,fakture,
Is Active,Is aktief,
Is Billing Contact,Is faktureringskontak,
Is Your Company Address,Is u maatskappy se adres,
Item,item,
Item Code,Itemkode,
Item Description,Item Beskrywing,
Item Details,Itembesonderhede,
Item Fields,Itemvelde,
Item Group,Itemgroep,
Item Image (if not slideshow),Item Image (indien nie skyfievertoning nie),
Item Name,Item naam,
Items,items,
Keyboard Shortcuts,Sleutelbord kortpaaie,
Label,Etiket,
List this Item in multiple groups on the website.,Lys hierdie item in verskeie groepe op die webwerf.,
More Information,Meer inligting,
My Account,My rekening,
Naming Series,Naming Series,
Orders,bestellings,
Payment Gateway,Betaling Gateway,
Payment Gateway Account,Betaling Gateway rekening,
Payment Success Url,Betaal Sukses-URL,
Payments,betalings,
Price List,Pryslys,
Prices will not be shown if Price List is not set,Pryse sal nie getoon word indien Pryslys nie vasgestel is nie,
Print UOM after Quantity,Druk UOM na hoeveelheid uit,
Print taxes with zero amount,Druk belasting met nul bedrag,
Products,produkte,
Products per Page,Produkte per bladsy,
Published,gepubliseer,
Published on,Gepubliseer op,
Quotation Series,Kwotasie Reeks,
Rating,gradering,
Reload,Reload,
Reviews,resensies,
Route,roete,
Sales Manager,Verkoopsbestuurder,
Save Quotations as Draft,Stoor kwotasies as konsep,
Session Defaults,Sessie verstek,
Set Meta Tags,Stel metatags,
Shopping Cart,Winkelwagen,
Show Apply Coupon Code,Toon Pas koeponkode toe,
Show Contact Us Button,Wys Kontak ons-knoppie,
Show Price,Wys prys,
Show Public Attachments,Wys publieke aanhangsels,
Show Stock Availability,Toon voorraad beskikbaarheid,
Show Stock Quantity,Toon Voorraad Hoeveelheid,
Show a slideshow at the top of the page,Wys &#39;n skyfievertoning bo-aan die bladsy,
Show in Website,Vertoon in webwerf,
Show this slideshow at the top of the page,Wys hierdie skyfievertoning bo-aan die bladsy,
Slideshow,skyfievertoning,
Sort Order,Sorteervolgorde,
Stock Manager,Voorraadbestuurder,
Stock UOM,Voorraad UOM,
Stock User,Voorraad gebruiker,
System Manager,Stelselbestuurder,
Tax Category,Belastingkategorie,
Thumbnail,Duimnaelskets,
Title,Titel,
User,gebruiker,
Variant Of,Variant van,
View,Beskou,
View Website,Besigtig webwerf,
Warehouse,Warehouse,
Website Content,Inhoud van die webwerf,
Website Description,Webwerf beskrywing,
Website Image,Webwerfbeeld,
Website Item Groups,Webtuiste Item Groepe,
Website Manager,Webwerf Bestuurder,
Website Settings,Webwerf-instellings,
Website Specifications,Webwerf spesifikasies,
Website Warehouse,Website Warehouse,
Weightage,weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,U kan enige geldige Bootstrap 4-opmerking in hierdie veld gebruik. Dit sal op u artikelbladsy gewys word.,
