Accept Payment,ຍອມຮັບການຊໍາລະເງິນ,
After payment completion redirect user to selected page.,ຫຼັງຈາກສໍາເລັດການຊໍາລະເງິນໂອນຜູ້ໃຊ້ຫນ້າທີ່ເລືອກ.,
All,ທັງ ໝົດ,
Allow items not in stock to be added to cart,ອະນຸຍາດໃຫ້ເອົາສິນຄ້າທີ່ບໍ່ຢູ່ໃນສິນຄ້າເຂົ້າໄປໃນກະຕ່າ,
Amount,ຈໍານວນ,
Amount Based On Field,ຈໍານວນທີ່ກ່ຽວກັບພາກສະຫນາມ,
Amount Field,ຈໍານວນພາກສະຫນາມ,
Attributes,ຄຸນລັກສະນະ,
Brand,ຍີ່ຫໍ້,
Button Help,ປຸ່ມ Help,
Button Label,ປຸ່ມ Label,
Category Name,ປະເພດຂອງຊື່,
Checkout Settings,ການຕັ້ງຄ່າການຊໍາລະເງິນ,
Comment,ຄຳ ເຫັນ,
Compact Item Print,Compact Item Print,
Company,ບໍລິສັດ,
Content,ເນື້ອໃນ,
Copy From Item Group,ຄັດລອກຈາກກຸ່ມສິນຄ້າ,
Currency,ສະກຸນເງິນ,
Customer,ລູກຄ້າ,
Default Customer Group,ມາດຕະຖານກຸ່ມລູກຄ້າ,
Description,ລາຍລະອຽດ,
Display Settings,Display Settings,
Enable Attribute Filters,ເປີດໃຊ້ຕົວກັ່ນຕອງຄຸນລັກສະນະ,
Enable Checkout,ເຮັດໃຫ້ສາມາດຊໍາລະເງິນ,
Enable Shopping Cart,ເຮັດໃຫ້ໂຄງຮ່າງການຊື້,
HTML / Banner that will show on the top of product list.,HTML / ປ້າຍໂຄສະນາທີ່ຈະສະແດງໃຫ້ເຫັນກ່ຽວກັບການເທິງຂອງບັນຊີລາຍຊື່ຜະລິດຕະພັນ.,
Has Variants,ມີ Variants,
Hide Variants,ເຊື່ອງ Variants,
Homepage Featured Product,ຫນ້າທໍາອິດຜະລິດຕະພັນທີ່ແນະນໍາ,
Image,ຮູບພາບ,
Image Description,ລາຍລະອຽດຮູບພາບ,
Image View,ຮູບພາບເບິ່ງ,
Invoices,ໃບແຈ້ງການ,
Is Active,ເປັນກິດຈະກໍາ,
Is Billing Contact,ແມ່ນຕິດຕໍ່ໃບບິນ,
Is Your Company Address,ທີ່ຢູ່ຂອງບໍລິສັດ,
Item,ລາຍການ,
Item Code,ລະຫັດສິນຄ້າ,
Item Description,ລາຍລະອຽດສິນຄ້າ,
Item Details,ລາຍະລະອຽດຂອງສິນຄ້າ,
Item Fields,ລາຍການລາຍການ,
Item Group,ກຸ່ມສິນຄ້າ,
Item Image (if not slideshow),ລາຍການຮູບພາບ (ຖ້າຫາກວ່າບໍ່ໂຊ),
Item Name,ຊື່ສິນຄ້າ,
Items,ລາຍການ,
Keyboard Shortcuts,ຄີບອດ,
Label,Label,
List this Item in multiple groups on the website.,ລາຍຊື່ສິນຄ້ານີ້ຢູ່ໃນກຸ່ມຫຼາກຫຼາຍກ່ຽວກັບເວັບໄຊທ໌.,
More Information,ຂໍ້ມູນເພີ່ມເຕີມ,
My Account,ບັນຊີຂອງຂ້ອຍ,
Naming Series,ການຕັ້ງຊື່ Series,
Orders,ຄໍາສັ່ງ,
Payment Gateway,Gateway ຊໍາລະເງິນ,
Payment Gateway Account,ການຊໍາລະເງິນບັນຊີ Gateway,
Payment Success Url,ການຊໍາລະເງິນ URL ສົບຜົນສໍາເລັດ,
Payments,ການຊໍາລະເງິນ,
Price List,ລາຍການລາຄາ,
Prices will not be shown if Price List is not set,ລາຄາຈະບໍ່ໄດ້ຮັບການສະແດງໃຫ້ເຫັນວ່າລາຄາບໍ່ໄດ້ຕັ້ງ,
Print UOM after Quantity,ພິມ UOM ຫຼັງຈາກປະລິມານ,
Print taxes with zero amount,Print taxes with zero amount,
Products,ຜະລິດຕະພັນ,
Products per Page,ຜະລິດຕະພັນຕໍ່ຫນ້າ,
Published,ຈັດພີມມາ,
Published on,ເຜີຍແຜ່ເມື່ອ,
Quotation Series,ວົງຢືມ Series,
Rating,ການຈັດອັນດັບ,
Reload,ໂຫລດ,
Reviews,ການທົບທວນຄືນ,
Route,ເສັ້ນທາງ,
Sales Manager,ຜູ້ຈັດການຝ່າຍຂາຍ,
Save Quotations as Draft,ປະຫຍັດເອກະສານອ້າງອີງເປັນຮ່າງ,
Session Defaults,ຄ່າເລີ່ມຕົ້ນຂອງກອງປະຊຸມ,
Set Meta Tags,ຕັ້ງແທັກ Meta,
Shopping Cart,ໂຄງຮ່າງການໄປຊື້ເຄື່ອງ,
Show Apply Coupon Code,ສະແດງລະຫັດຄູປອງ,
Show Contact Us Button,ສະແດງປຸ່ມຕິດຕໍ່ພວກເຮົາ,
Show Price,ສະແດງລາຄາ,
Show Public Attachments,ສະແດງ Attachments ສາທາລະນະ,
Show Stock Availability,Show Availability Availability,
Show Stock Quantity,Show Quantity Quantity,
Show a slideshow at the top of the page,ສະແດງໃຫ້ເຫັນ slideshow ເປັນຢູ່ປາຍສຸດຂອງຫນ້າ,
Show in Website,ສະແດງໃນເວບໄຊທ໌,
Show this slideshow at the top of the page,ສະແດງໃຫ້ເຫັນ slideshow ນີ້ຢູ່ສົ້ນເທິງຂອງຫນ້າ,
Slideshow,slideshow,
Sort Order,ຮຽງ,
Stock Manager,Manager Stock,
Stock UOM,Stock UOM,
Stock User,User Stock,
System Manager,ຈັດການລະບົບ,
Tax Category,ໝວດ ພາສີ,
Thumbnail,Thumbnail,
Title,Title,
User,ຜູ້ໃຊ້,
Variant Of,Variant ຂອງ,
View,View,
View Website,ເບິ່ງເວັບໄຊທ໌,
