About,Über,
After payment completion redirect user to selected page.,"Nach Abschluss der Zahlung, Benutzer auf ausgewählte Seite weiterleiten.",
All,Alle,
Allow items not in stock to be added to cart,"Artikel, die nicht auf Lager sind, können in den Warenkorb gelegt werden",
Amount,Betrag,
Apps,Apps,
Attributes,Attribute,
Brand,Marke,
Category Name,Kategoriename,
Checkout Settings,Kasse Einstellungen,
Comment,Kommentar,
Compact Item Print,Artikel kompakt drucken,
Company,Unternehmen,
Content,Inhalt,
Copy From Item Group,Von Artikelgruppe kopieren,
Currency,Währung,
Customer,Kunde,
Default Customer Group,Standardkundengruppe,
Description,Beschreibung,
Display Settings,Einstellungen anzeigen,
Enable Attribute Filters,Attributfilter aktivieren,
Enable Checkout,Aktivieren Kasse,
Enable Shopping Cart,Warenkorb aktivieren,
Frappe Support,Frappe Support,
HTML / Banner that will show on the top of product list.,"HTML/Banner, das oben auf der Produktliste angezeigt wird.",
Has Variants,Hat Varianten,
Hide Variants,Varianten ausblenden,
Homepage Featured Product,auf Webseite vorgestelltes Produkt,
Image,Bild,
Image Description,Bildbeschreibung,
Image View,Bildansicht,
Invoices,Eingangsrechnungen,
Is Active,Ist aktiv(iert),
Item,Artikel,
Item Code,Artikel-Code,
Item Description,Artikelbeschreibung,
Item Details,Artikeldetails,
Item Fields,Artikelfelder,
Item Group,Artikelgruppe,
Item Image (if not slideshow),Artikelbild (wenn keine Diashow),
Item Name,Artikelname,
Items,Artikel,
Keyboard Shortcuts,Tastaturkürzel,
Label,Bezeichnung,
List this Item in multiple groups on the website.,Diesen Artikel in mehreren Gruppen auf der Webseite auflisten.,
Log out,Abmelden,
More Information,Mehr Informationen,
My Account,Mein Konto,
My Profile,Mein Profil,
My Settings,Meine Einstellungen,
Naming Series,Nummernkreis,
Orders,Bestellungen,
Payment Gateway,Zahlungs-Gateways,
Payment Gateway Account,Payment Gateway Konto,
Payment Success Url,Payment Success URL,
Payments,Zahlungen,
Price List,Preisliste,
Prices will not be shown if Price List is not set,"Die Preise werden nicht angezeigt, wenn Preisliste nicht gesetzt",
Print UOM after Quantity,UOM nach Menge drucken,
Print taxes with zero amount,Steuern mit null Betrag drucken,
Product Categories,Produktkategorien,
Products,Produkte,
Products per Page,Produkte pro Seite,
Published,Veröffentlicht,
Published on,Veröffentlicht auf,
Quotation Series,Nummernkreis für Angebote,
Rating,Wertung,
Reload,Neu laden,
Report an Issue,Ein Problem melden,
Reviews,Bewertungen,
Route,Route,
Sales Manager,Vertriebsleiter,
Save Quotations as Draft,Angebote als Entwurf speichern,
Session Defaults,Sitzungsstandards,
Set Meta Tags,Festlegen von Meta-Tags,
Shopping Cart,Warenkorb,
Show Apply Coupon Code,Gutscheincode anwenden anzeigen,
Show Contact Us Button,Schaltfläche Kontakt anzeigen,
Show Price,Preis anzeigen,
Show Public Attachments,Öffentliche Anhänge anzeigen,
Show Stock Availability,Bestandsverfügbarkeit anzeigen,
Show Stock Quantity,Bestandsmenge anzeigen,
Show a slideshow at the top of the page,Diaschau oben auf der Seite anzeigen,
Show in Website,In der Website anzeigen,
Show this slideshow at the top of the page,Diese Diaschau oben auf der Seite anzeigen,
