Accept Payment,Emera Kwishura,
After payment completion redirect user to selected page.,Nyuma yo kwishyura wongeye kohereza umukoresha kurupapuro rwatoranijwe.,
All,Byose,
Allow items not in stock to be added to cart,Emerera ibintu bitari mububiko kongerwaho igare,
Amount,Umubare,
Amount Based On Field,Amafaranga ashingiye kumurima,
Amount Field,Umubare w&#39;amafaranga,
Attributes,Ibiranga,
Brand,Ikirango,
Button Help,Ubufasha bwa Button,
Button Label,Akarango,
Category Name,Izina ry&#39;icyiciro,
Checkout Settings,Igenamiterere rya cheque,
Comment,Igitekerezo,
Compact Item Print,Icapa Ikintu Cyuzuye,
Company,Isosiyete,
Content,Ibirimo,
Copy From Item Group,Gukoporora Kuva Ikintu,
Currency,Ifaranga,
Customer,Umukiriya,
Default Customer Group,Itsinda ryabakiriya risanzwe,
Description,Ibisobanuro,
Display Settings,Erekana Igenamiterere,
Enable Attribute Filters,Gushoboza Ikiranga Muyunguruzi,
Enable Checkout,Gushoboza Kugenzura,
Enable Shopping Cart,Gushoboza Ikarita,
HTML / Banner that will show on the top of product list.,HTML / Ibendera ryerekana hejuru kurutonde rwibicuruzwa.,
Has Variants,Ifite Ibihinduka,
Hide Variants,Hisha Ibihinduka,
Homepage Featured Product,Urupapuro rwibanze Ibicuruzwa,
Image,Ishusho,
Image Description,Ishusho Ibisobanuro,
Image View,Ishusho Reba,
Invoices,Inyemezabuguzi,
Is Active,Nibikorwa,
Is Billing Contact,Nukwishyuza,
Is Your Company Address,Ese Aderesi Yawe,
Item,Ingingo,
Item Code,Kode y&#39;Ikintu,
Item Description,Ikintu Ibisobanuro,
Item Details,Ingingo irambuye,
Item Fields,Ikibanza,
Item Group,Itsinda ryikintu,
Item Image (if not slideshow),Ishusho yikintu (niba atari slide),
Item Name,Izina ryikintu,
Items,Ibintu,
Keyboard Shortcuts,Amahinanzira ya Mwandikisho,
Label,Ikirango,
List this Item in multiple groups on the website.,Andika iki kintu mumatsinda menshi kurubuga.,
More Information,Ibisobanuro byinshi,
My Account,Konti yanjye,
Naming Series,Urukurikirane rw&#39;izina,
Orders,Amabwiriza,
Payment Gateway,Irembo ryo Kwishura,
Payment Gateway Account,Konti yo Kwishura,
Payment Success Url,Intsinzi yo Kwishura Url,
Payments,Kwishura,
Price List,Urutonde rwibiciro,
Prices will not be shown if Price List is not set,Ibiciro ntabwo bizerekanwa niba Urutonde rwibiciro rutashyizweho,
Print UOM after Quantity,Shira UOM nyuma yumubare,
Print taxes with zero amount,Shira imisoro hamwe na zeru,
Products,Ibicuruzwa,
Products per Page,Ibicuruzwa kurupapuro,
Published,Byatangajwe,
Published on,Byatangajwe kuri,
Quotation Series,Urutonde,
Rating,Urutonde,
Reload,Ongera usubiremo,
Reviews,Isubiramo,
Route,Inzira,
Sales Manager,Umuyobozi ushinzwe kugurisha,
Save Quotations as Draft,Bika Amagambo nkumushinga,
Session Defaults,Isomo risanzwe,
Set Meta Tags,Shiraho Meta Tagi,
Shopping Cart,Ikarita,
Show Apply Coupon Code,Erekana Koresha Kode ya Kode,
Show Contact Us Button,Erekana Twandikire Buto,
Show Price,Erekana Igiciro,
Show Public Attachments,Erekana Umugereka rusange,
Show Stock Availability,Erekana ububiko buboneka,
Show Stock Quantity,Erekana Umubare,
Show a slideshow at the top of the page,Erekana igishusho hejuru yurupapuro,
Show in Website,Erekana kurubuga,
Show this slideshow at the top of the page,Erekana iyi shusho hejuru yurupapuro,
Slideshow,Igicapo,
Sort Order,Itondekanya,
Stock Manager,Umuyobozi wimigabane,
Stock UOM,Ubike UOM,
Stock User,Umukoresha,
System Manager,Umuyobozi wa sisitemu,
Tax Category,Icyiciro cy&#39;Imisoro,
Thumbnail,Thumbnail,
Title,Umutwe,
User,Umukoresha,
Variant Of,Ibinyuranye,
View,Reba,
View Website,Reba Urubuga,
Warehouse,Ububiko,
Website Content,Ibirimo Urubuga,
Website Description,Urubuga Ibisobanuro,
Website Image,Urubuga Ishusho,
Website Item Groups,Amatsinda Yurubuga,
Website Manager,Umuyobozi w&#39;urubuga,
Website Settings,Igenamiterere ryurubuga,
Website Specifications,Urubuga Ibisobanuro,
Website Warehouse,Ububiko bwurubuga,
Weightage,Uburemere,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Urashobora gukoresha ikimenyetso cyemewe cya Bootstrap 4 muriki gice. Bizerekanwa kurupapuro rwawe.,
