Accept Payment,Fizetés fogadása,
After payment completion redirect user to selected page.,A fizetés befejezése után a felhasználót átirányítja a kiválasztott oldalra.,
All,Összes,
Allow items not in stock to be added to cart,"Hagyja, hogy a készletben nem lévő tételek kosárba kerüljenek",
Amount,Összeg,
Amount Based On Field,Összeg a mező alapján,
Amount Field,Összeg mező,
Attributes,Jellemzők,
Brand,Márka,
Button Help,Gomb Súgó,
Button Label,Gomb felirat,
Category Name,Kategória neve,
Checkout Settings,Kijelentkezés beállítások,
Comment,Megjegyzés,
Compact Item Print,Kompakt tétel Nyomtatás,
Company,Vállalkozás,
Content,Tartalom,
Copy From Item Group,Másolás tétel csoportból,
Currency,Pénznem,
Customer,Vevő,
Default Customer Group,Alapértelmezett Vevői csoport,
Description,Leírás,
Display Settings,Képernyő beállításai,
Enable Attribute Filters,Engedélyezze az attribútumszűrőket,
Enable Checkout,Engedélyezze Pénztárat,
Enable Shopping Cart,Bevásárló kosár engedélyezése,
HTML / Banner that will show on the top of product list.,HTML / Szalagcím a tételek listájának tetején fog megjelenni.,
Has Variants,Rrendelkezik változatokkal,
Hide Variants,Variánsok elrejtése,
Homepage Featured Product,Kezdőlap Ajánlott termék,
Image,Kép,
Image Description,Képleírás,
Image View,Kép megtekintése,
Invoices,számlák,
Is Active,Ez aktív,
Is Billing Contact,Számlázási kapcsolattartó,
Is Your Company Address,Az Ön cége címe,
Item,Tétel,
Item Code,Tételkód,
Item Description,Tétel leírása,
Item Details,Elem Részletek,
Item Fields,Elem mezők,
Item Group,Tételcsoport,
Item Image (if not slideshow),Tétel Kép (ha nem slideshow),
Item Name,Termék név,
Items,Tételek,
Keyboard Shortcuts,Gyorsbillentyűket,
Label,Felirat,
List this Item in multiple groups on the website.,Sorolja ezeket a tételeket több csoportba a weboldalon.,
More Information,Több információ,
My Account,Fiókom,
Naming Series,Elnevezési sorozatok,
Orders,Rendelések,
Payment Gateway,Fizetési átjáró,
Payment Gateway Account,Fizetési átjáró számla fiókja,
Payment Success Url,Fizetési sikeres URL,
Payments,Kifizetések,
Price List,Árlista,
Prices will not be shown if Price List is not set,"Az árak nem jelennek meg, ha Árlista nincs megadva",
Print UOM after Quantity,Az UOM nyomtatása a mennyiség után,
Print taxes with zero amount,Adja meg az adókat nulla összeggel,
Products,Termékek,
Products per Page,Termékek oldalanként,
Published,Közzétett,
Published on,Megjelent,
Quotation Series,Árajánlat szériák,
Rating,Értékelés,
Reload,Reload,
Reviews,Vélemények,
Route,Útvonal,
Sales Manager,Értékesítési manager,
Save Quotations as Draft,Idézetek mentése vázlatként,
Session Defaults,Munkamenet alapértelmezései,
Set Meta Tags,Metacímkék beállítása,
Shopping Cart,Bevásárló kosár,
Show Apply Coupon Code,A kuponkód alkalmazása,
Show Contact Us Button,Mutasd a Kapcsolat gombot,
Show Price,Árak megjelenítése,
Show Public Attachments,Itt találhatóak a nyilvános mellékletek,
Show Stock Availability,Raktárkészlet elérhetőségének megjelenítése,
Show Stock Quantity,Készlet mennyiség megjelenítése,
Show a slideshow at the top of the page,Mutass egy diavetítést  a lap tetején,
Show in Website,Megjelenítés a Weboldalon,
Show this slideshow at the top of the page,Jelenítse meg ezt a diavetatést a lap tetején,
Slideshow,Diavetítés,
Sort Order,Rendezési sorrend,
Stock Manager,Készlet menedzser,
Stock UOM,Készlet mértékegysége,
Stock User,Készlet Felhasználó,
System Manager,Rendszer menedzser,
Tax Category,Adókategória,
Thumbnail,Miniatűr,
Title,Cím,
User,használó,
Variant Of,Változata,
View,Nézet,
View Website,Weboldal megtekintése,
Warehouse,Raktár,
Website Content,Weboldal tartalma,
Website Description,Weboldal leírása,
Website Image,Weboldal kép,
Website Item Groups,Weboldal tétel Csoportok,
Website Manager,Weboldal kezelő,
Website Settings,Weboldal beállítások,
Website Specifications,Weboldal részletek,
Website Warehouse,Weboldal Raktár,
Weightage,Súlyozás,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Bármely érvényes Bootstrap 4 jelölést felhasználhat ebben a mezőben. Ez a cikk oldalán jelenik meg.,
