Accept Payment,ငွေပေးချေမှုရမည့် Accept,
After payment completion redirect user to selected page.,ငွေပေးချေမှုပြီးစီးပြီးနောက်ရွေးချယ်ထားသည့်စာမျက်နှာအသုံးပြုသူ redirect ။,
All,အားလုံး,
Allow items not in stock to be added to cart,ကုန်ပစ္စည်းမရှိသောပစ္စည်းများကိုလှည်းထဲသို့ထည့်ရန်ခွင့်ပြုပါ,
Amount,ငွေပမာဏ,
Amount Based On Field,ဖျော်ဖြေမှုတွင် အခြေခံ. ပမာဏ,
Amount Field,ငွေပမာဏဖျော်ဖြေမှု,
Attributes,Attribute တွေ,
Brand,ကုန်အမှတ်တံဆိပ်,
Button Help,button ကိုအကူအညီ,
Button Label,button ကိုတံဆိပ်တပ်ရန်,
Category Name,Category: အမည်,
Checkout Settings,Checkout ချိန်ညှိ,
Comment,မှတ်ချက်,
Compact Item Print,ကျစ်လစ်သိပ်သည်း Item ပုံနှိပ်ပါ,
Company,ကုမ္ပဏီ,
Content,content,
Copy From Item Group,Item အုပ်စု မှစ. မိတ္တူ,
Currency,ငှေကွေး,
Customer,ဝယ်သူ,
Default Customer Group,default ဖောက်သည်အုပ်စု,
Description,ဖေါ်ပြချက်,
Display Settings,display Settings,
Enable Attribute Filters,Attribute စိစစ်မှုများ Enable,
Enable Checkout,Checkout Enable,
Enable Shopping Cart,စျေးဝယ်ခြင်းတွန်းလှည်းကို Enable,
HTML / Banner that will show on the top of product list.,ထုတ်ကုန်စာရင်း၏ထိပ်ပေါ်မှာပြလတံ့သောက HTML / Banner ။,
Has Variants,မူကွဲရှိပါတယ်,
Hide Variants,မူကွဲ Hide,
Homepage Featured Product,မူလစာမျက်နှာ Featured ကုန်ပစ္စည်း,
Image,image,
Image Description,ပုံဖော်ပြချက်,
Image View,image ကိုကြည့်ရန်,
Invoices,ငွေတောင်းခံလွှာ,
Is Active,Active ဖြစ်ပါတယ်,
Is Billing Contact,ငွေတောင်းခံမှုဖြစ်သည်,
Is Your Company Address,သင့်ရဲ့ကုမ္ပဏီလိပ်စာဖြစ်ပါသည်,
Item,အချက်,
Item Code,item Code ကို,
Item Description,item ဖော်ပြချက်များ,
Item Details,item အသေးစိတ်,
Item Fields,item Fields,
Item Group,item Group က,
Item Image (if not slideshow),item ပုံရိပ် (Slideshow မလျှင်),
Item Name,item အမည်,
Items,items,
