Accept Payment,Accept Plata,
After payment completion redirect user to selected page.,După finalizarea plății redirecționați utilizatorul la pagina selectată.,
All,Toate,
Allow items not in stock to be added to cart,Permiteți adăugarea în coș a articolelor care nu sunt în stoc,
Amount,Sumă,
Amount Based On Field,Suma bazată pe câmp,
Amount Field,suma de câmp,
Attributes,Atribute,
Brand,Marca,
Button Help,butonul Ajutor,
Button Label,butonul Label,
Category Name,Nume Categorie,
Checkout Settings,setările checkout pentru,
Comment,cometariu,
Compact Item Print,Compact Postul de imprimare,
Company,Compania,
Content,Continut,
Copy From Item Group,Copiere din Grupul de Articole,
Currency,Valută,
Customer,Client,
Default Customer Group,Grup Clienți Implicit,
Description,Descriere,
Display Settings,Display Settings,
Enable Attribute Filters,Activați filtrele de atribute,
Enable Checkout,activaţi Checkout,
Enable Shopping Cart,Activați cosul de cumparaturi,
HTML / Banner that will show on the top of product list.,"HTML / Banner, care va arăta pe partea de sus a listei de produse.",
Has Variants,Are variante,
Hide Variants,Ascundeți variantele,
Homepage Featured Product,Pagina de intrare de produse recomandate,
Image,Imagine,
Image Description,Descrierea imaginii,
Image View,Imagine Vizualizare,
Invoices,Facturi,
Is Active,Este activ,
Is Billing Contact,Este contactul de facturare,
Is Your Company Address,Este Adresa companie,
Item,Obiect,
Item Code,Cod articol,
Item Description,Descriere Articol,
Item Details,Detalii despre articol,
Item Fields,Câmpurile articolului,
Item Group,Grup Articol,
Item Image (if not slideshow),Imagine Articol (dacă nu exista prezentare),
Item Name,Numele articolului,
Items,Articole,
Keyboard Shortcuts,Comenzile rapide de la tastatură,
Label,Eticheta,
List this Item in multiple groups on the website.,Listeaza acest articol in grupuri multiple de pe site-ul.\,
More Information,Mai multe informatii,
My Account,Contul Meu,
Naming Series,Naming Series,
Orders,Comenzi,
Payment Gateway,Gateway de plată,
Payment Gateway Account,Plata cont Gateway,
Payment Success Url,Plată de succes URL,
Payments,Plăți,
Price List,Lista Prețuri,
Prices will not be shown if Price List is not set,Prețurile nu vor fi afișate în cazul în care Prețul de listă nu este setat,
Print UOM after Quantity,Imprimați UOM după Cantitate,
Print taxes with zero amount,Imprimă taxele cu suma zero,
Products,Instrumente,
Products per Page,Produse pe Pagină,
Published,Data publicării,
Published on,publicat pe,
Quotation Series,Ofertă Series,
Rating,evaluare,
Reload,Reîncarcă,
Reviews,opinii,
Route,Traseu,
Sales Manager,Director De Vânzări,
Save Quotations as Draft,Salvați ofertele ca schiță,
Session Defaults,Valorile implicite ale sesiunii,
Set Meta Tags,Setați etichete meta,
Shopping Cart,Cosul de cumparaturi,
Show Apply Coupon Code,Afișați Aplicați codul de cupon,
Show Contact Us Button,Afișați butonul de contactare,
Show Price,Afișați prețul,
Show Public Attachments,Afișați atașamentele publice,
Show Stock Availability,Afișați disponibilitatea stocului,
Show Stock Quantity,Afișați cantitatea stocului,
Show a slideshow at the top of the page,Arata un slideshow din partea de sus a paginii,
Show in Website,Afișați pe site,
Show this slideshow at the top of the page,Arată această prezentare în partea de sus a paginii,
Slideshow,Slideshow,
Sort Order,Ordine de sortare,
Stock Manager,Stock Manager,
Stock UOM,Stoc UOM,
Stock User,Stoc de utilizare,
System Manager,System Manager,
Tax Category,Categoria fiscală,
Thumbnail,Miniatură,
Title,Titlu,
User,Utilizator,
Variant Of,Varianta de,
View,Vedere,
View Website,Vezi site-ul,
Warehouse,Depozit,
Website Content,Conținutul site-ului web,
Website Description,Site-ul Descriere,
Website Image,Imagine Web,
Website Item Groups,Site-ul Articol Grupuri,
Website Manager,Site-ul Manager de,
Website Settings,Setarile site-ului,
Website Specifications,Site-ul Specificații,
Website Warehouse,Website Depozit,
Weightage,Weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Puteți utiliza orice marcaj Bootstrap 4 valabil în acest câmp. Acesta va fi afișat pe pagina dvs. de articole.,
