Accept Payment,देयक स्वीकारा,
After payment completion redirect user to selected page.,पैसे पूर्ण भरल्यानंतर  वापरकर्ता निवडलेल्या पृष्ठला  पुनर्निर्देशित झाला पाहिजे,
All,सर्व,
Allow items not in stock to be added to cart,स्टॉकमध्ये नसलेल्या आयटमला कार्टमध्ये जोडण्याची परवानगी द्या,
Amount,रक्कम,
Amount Based On Field,फील्ड आधारित रक्कम,
Amount Field,रक्कम फील्ड,
Attributes,विशेषता,
Brand,ब्रँड,
Button Help,बटण मदत,
Button Label,बटण लेबल,
Category Name,वर्गवारी नाव,
Checkout Settings,चेकआऊट सेटिंग्ज,
Comment,टिप्पणी,
Compact Item Print,संक्षिप्त आयटम मुद्रित,
Company,कंपनी,
Content,सामग्री,
Copy From Item Group,आयटम गट पासून कॉपी,
Currency,चलन,
Customer,ग्राहक,
Default Customer Group,मुलभूत ग्राहक गट,
Description,वर्णन,
Display Settings,प्रदर्शन सेटिंग्ज,
Enable Attribute Filters,विशेषता फिल्टर सक्षम करा,
Enable Checkout,चेकआऊट सक्षम,
Enable Shopping Cart,खरेदी सूचीत टाका आणि सक्षम करा,
HTML / Banner that will show on the top of product list.,HTML / बॅनर जे  उत्पादन सूचीच्या वर दर्शवले जाईल,
Has Variants,रूपे आहेत,
Hide Variants,रूपे लपवा,
Homepage Featured Product,मुख्यपृष्ठ वैशिष्ट्यीकृत उत्पादन,
Image,प्रतिमा,
Image Description,प्रतिमा वर्णन,
Image View,प्रतिमा पहा,
Invoices,पावत्या,
Is Active,सक्रिय आहे,
Is Billing Contact,बिलिंग संपर्क आहे,
Is Your Company Address,आपल्या  कंपनीचा  पत्ता आहे का ?,
Item,आयटम,
Item Code,आयटम कोड,
Item Description,आयटम वर्णन,
Item Details,आयटम तपशील,
Item Fields,आयटम फील्ड,
Item Group,आयटम गट,
Item Image (if not slideshow),आयटम प्रतिमा (स्लाईड शो नसेल  तर),
Item Name,आयटम नाव,
Items,आयटम,
Keyboard Shortcuts,कीबोर्ड शॉर्टकट,
Label,लेबल,
List this Item in multiple groups on the website.,वेबसाइट वर अनेक गट मधे हे  आयटम सूचीबद्ध .,
More Information,अधिक माहिती,
My Account,माझे खाते,
Naming Series,नामांकन मालिका,
Orders,आदेश,
Payment Gateway,पेमेंट गेटवे,
Payment Gateway Account,पेमेंट गेटवे खाते,
Payment Success Url,भरणा यशस्वी URL मध्ये,
Payments,देयके,
Price List,किंमत सूची,
Prices will not be shown if Price List is not set,दर सूची सेट केले नसल्यास दर दर्शविली जाणार नाही,
Print UOM after Quantity,प्रमाणानंतर यूओएम मुद्रित करा,
Print taxes with zero amount,शून्य रकमेसह कर छपाई करा,
Products,उत्पादने,
Products per Page,प्रत्येक पृष्ठावरील उत्पादने,
Published,प्रकाशित,
Published on,रोजी प्रकाशित,
Quotation Series,कोटेशन मालिका,
Rating,रेटिंग,
Reload,रीलोड करा,
Reviews,पुनरावलोकने,
Route,मार्ग,
Sales Manager,विक्री व्यवस्थापक,
Save Quotations as Draft,मसुदा म्हणून कोटेशन जतन करा,
Session Defaults,सत्र डीफॉल्ट,
Set Meta Tags,मेटा टॅग सेट करा,
Shopping Cart,हे खरेदी सूचीत टाका,
Show Apply Coupon Code,कूपन कोड लागू करा दर्शवा,
Show Contact Us Button,आमच्याशी संपर्क साधा बटण दर्शवा,
Show Price,किंमत दर्शवा,
Show Public Attachments,सार्वजनिक संलग्नक दर्शवा,
Show Stock Availability,शेअर उपलब्धता दर्शवा,
Show Stock Quantity,स्टॉक प्रमाण दर्शवा,
Show a slideshow at the top of the page,पृष्ठाच्या शीर्षस्थानी स्लाईड शो दर्शवा,
Show in Website,वेबसाइटमध्ये दर्शवा,
Show this slideshow at the top of the page,पृष्ठाच्या शीर्षस्थानी हा स्लाइडशो दर्शवा,
Slideshow,स्लाइडशो,
Sort Order,अनुक्रम,
Stock Manager,शेअर व्यवस्थापक,
Stock UOM,शेअर UOM,
Stock User,शेअर सदस्य,
System Manager,प्रणाली व्यवस्थापक,
Tax Category,कर श्रेणी,
Thumbnail,लघुप्रतिमा,
Title,शीर्षक,
User,वापरकर्ता,
Variant Of,चे रूपांतर,
View,पहा,
View Website,वेबसाइट पहा,
Warehouse,कोठार,
Website Content,वेबसाइट सामग्री,
Website Description,वेबसाइट वर्णन,
Website Image,वेबसाइट प्रतिमा,
Website Item Groups,वेबसाइट आयटम गट,
Website Manager,वेबसाइट व्यवस्थापक,
Website Settings,वेबसाइट सेटिंग्ज,
Website Specifications,वेबसाइट वैशिष्ट्य,
Website Warehouse,वेबसाइट कोठार,
Weightage,वजन,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,आपण या क्षेत्रात कोणतेही वैध बूटस्ट्रॅप 4 मार्कअप वापरू शकता. ते आपल्या आयटम पृष्ठावर दर्शविले जाईल.,
