Accept Payment,Sprejmi plačilo,
After payment completion redirect user to selected page.,Po zaključku plačila preusmeri uporabnika na izbrano stran.,
All,Vse,
Allow items not in stock to be added to cart,"Dovoli, da se izdelki, ki niso na zalogi, dodajo v košarico",
Amount,Znesek,
Amount Based On Field,"Znesek, ki temelji na terenskem",
Amount Field,znesek Field,
Attributes,Atributi,
Brand,Brand,
Button Help,gumb Pomoč,
Button Label,Button Label,
Category Name,Ime kategorije,
Checkout Settings,Naročilo Nastavitve,
Comment,Komentar,
Compact Item Print,Compact Točka Print,
Company,Podjetje,
Content,Vsebina,
Copy From Item Group,Kopiranje iz postavke skupine,
Currency,Valuta,
Customer,Stranka,
Default Customer Group,Privzeta skupina kupcev,
Description,Opis,
Display Settings,Nastavitve zaslona,
Enable Attribute Filters,Omogoči filtre atributov,
Enable Checkout,Omogoči Checkout,
Enable Shopping Cart,Omogoči Košarica,
HTML / Banner that will show on the top of product list.,"HTML pasica, ki se bo prikazala na vrhu seznama izdelkov.",
Has Variants,Ima različice,
Hide Variants,Skrij variante,
Homepage Featured Product,Domača stran izbranega izdelka,
Image,Image,
Image Description,Opis slike,
Image View,Image View,
Invoices,Računi,
Is Active,Je aktiven,
Is Billing Contact,Je kontakt za obračun,
Is Your Company Address,Je vaše podjetje naslov,
Item,Postavka,
Item Code,Oznaka,
Item Description,Postavka Opis,
Item Details,Podrobni podatki,
Item Fields,Polja predmeta,
Item Group,Element Group,
Item Image (if not slideshow),Postavka Image (če ne slideshow),
Item Name,Ime predmeta,
Items,Predmeti,
Keyboard Shortcuts,Bližnjice na tipkovnici,
Label,Label,
List this Item in multiple groups on the website.,Seznam ta postavka v več skupinah na spletni strani.,
More Information,Več informacij,
My Account,Moj račun,
Naming Series,Poimenovanje zaporedja,
Orders,Naročila,
Payment Gateway,Plačilo Gateway,
Payment Gateway Account,Plačilo Gateway račun,
Payment Success Url,Plačilo Uspeh URL,
Payments,Plačila,
Price List,Cenik,
Prices will not be shown if Price List is not set,"Cene se ne bodo pokazale, če Cenik ni nastavljen",
Print UOM after Quantity,Natisni UOM po količini,
Print taxes with zero amount,Natisni davke z ničelnim zneskom,
Products,Izdelki,
Products per Page,Izdelki na stran,
Published,Objavljeno,
Published on,Objavljeno dne,
Quotation Series,Zaporedje ponudb,
Rating,Ocena,
Reload,Osveži,
Reviews,Ocene,
Route,Route,
Sales Manager,Vodja prodaje,
Save Quotations as Draft,Shrani ponudbe kot osnutek,
Session Defaults,Privzete seje,
Set Meta Tags,Nastavite Meta oznake,
Shopping Cart,Nakupovalni voziček,
Show Apply Coupon Code,Prikaži Uporabi kodo kupona,
Show Contact Us Button,Prikaži gumb Stik z nami,
Show Price,Prikaži ceno,
Show Public Attachments,Prikaži Javna Priključki,
Show Stock Availability,Prihranite sedaj null%!,
Show Stock Quantity,Prikaži dodatke skladno z RoHS,
Show a slideshow at the top of the page,Prikaži diaprojekcijo na vrhu strani,
Show in Website,Pokaži na spletnem mestu,
Show this slideshow at the top of the page,Pokažite ta diaprojekcije na vrhu strani,
Slideshow,Slideshow,
Sort Order,Sort Order,
Stock Manager,Stock Manager,
Stock UOM,Stock UOM,
Stock User,Stock Uporabnik,
System Manager,System Manager,
Tax Category,Davčna kategorija,
Thumbnail,Thumbnail,
Title,Naziv,
User,Uporabnik,
Variant Of,Varianta,
View,Poglej,
View Website,View Website,
Warehouse,Skladišče,
Website Content,Vsebina spletnega mesta,
Website Description,Spletna stran Opis,
Website Image,Slika spletnega mesta,
Website Item Groups,Spletna stran Element Skupine,
Website Manager,Spletna stran Manager,
Website Settings,Spletna stran Nastavitve,
Website Specifications,Spletna Specifikacije,
Website Warehouse,Spletna stran Skladišče,
Weightage,Weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,V tem polju lahko uporabite katero koli veljavno oznako Bootstrap 4. To bo prikazano na strani izdelka.,
