Accept Payment,Accepteer Betaling,
After payment completion redirect user to selected page.,Na betaling voltooiing omleiden gebruiker geselecteerde pagina.,
All,Allemaal,
Allow items not in stock to be added to cart,Toestaan dat artikelen die niet op voorraad zijn aan winkelwagen worden toegevoegd,
Amount,Bedrag,
Amount Based On Field,Bedrag op basis van Field,
Amount Field,bedrag Field,
Attributes,Attributen,
Brand,Merk,
Button Help,knop Help,
Button Label,knoplabel,
Category Name,Categorienaam,
Checkout Settings,Afrekenen Instellingen,
Comment,Commentaar,
Compact Item Print,Compact Item Print,
Company,Bedrijf,
Content,Inhoud,
Copy From Item Group,Kopiëren van Item Group,
Currency,Valuta,
Customer,Klant,
Default Customer Group,Standaard Klant Groep,
Description,Beschrijving,
Display Settings,Toon Instellingen,
Enable Attribute Filters,Schakel kenmerkfilters in,
Enable Checkout,inschakelen Afrekenen,
Enable Shopping Cart,Inschakelen Winkelwagen,
HTML / Banner that will show on the top of product list.,HTML / Banner dat zal laten zien op de bovenkant van het product lijst.,
Has Variants,Heeft Varianten,
Hide Variants,Varianten verbergen,
Homepage Featured Product,Homepage Featured Product,
Image,Afbeelding,
Image Description,Afbeeldingsomschrijving,
Image View,Afbeelding Bekijken,
Invoices,facturen,
Is Active,Is actief,
Is Billing Contact,Is contactpersoon voor facturering,
Is Your Company Address,Is uw bedrijf Adres,
Item,Artikel,
Item Code,Artikelcode,
Item Description,Artikelomschrijving,
Item Details,Artikel Details,
Item Fields,Item velden,
Item Group,Artikelgroep,
Item Image (if not slideshow),Artikel Afbeelding (indien niet diashow),
Item Name,Itemnaam,
Items,Artikelen,
Keyboard Shortcuts,Toetsenbord sneltoetsen,
Label,Label,
List this Item in multiple groups on the website.,Lijst deze post in meerdere groepen op de website.,
More Information,Meer informatie,
My Account,Mijn Account,
Naming Series,Benoemen Series,
Orders,bestellingen,
Payment Gateway,Payment Gateway,
Payment Gateway Account,Payment Gateway Account,
Payment Success Url,Betaling Succes URL,
Payments,Betalingen,
Price List,Prijslijst,
Prices will not be shown if Price List is not set,De prijzen zullen niet worden weergegeven als prijslijst niet is ingesteld,
Print UOM after Quantity,Druk maateenheid af na aantal,
Print taxes with zero amount,Afdrukbelasting met nulbedrag,
Products,producten,
Products per Page,Producten per pagina,
Published,Gepubliceerd,
Published on,gepubliceerd op,
Quotation Series,Offerte Series,
Rating,Beoordeling,
Reload,Herladen,
Reviews,beoordelingen,
Route,Route,
Sales Manager,Verkoopsmanager,
Save Quotations as Draft,Bewaar offertes als concept,
Session Defaults,Standaardwaarden sessie,
Set Meta Tags,Stel metatags in,
Shopping Cart,Winkelwagen,
Show Apply Coupon Code,Toon kortingscode toepassen,
Show Contact Us Button,Toon contact knop,
Show Price,Toon prijs,
Show Public Attachments,Publieke bijlagen tonen,
Show Stock Availability,Voorraadbeschikbaarheid tonen,
Show Stock Quantity,Voorraadhoeveelheid weergeven,
Show a slideshow at the top of the page,Laat een diavoorstelling zien aan de bovenkant van de pagina,
Show in Website,Weergeven op website,
Show this slideshow at the top of the page,Laat deze slideshow aan de bovenkant van de pagina,
Slideshow,Diashow,
Sort Order,Sorteervolgorde,
Stock Manager,Stock Manager,
Stock UOM,Voorraad Eenheid,
Stock User,Aandeel Gebruiker,
System Manager,System Manager,
Tax Category,Belastingcategorie,
Thumbnail,Miniatuur,
Title,Titel,
User,Gebruiker,
Variant Of,Variant van,
View,Uitzicht,
View Website,Bekijk Website,
Warehouse,Magazijn,
Website Content,Website inhoud,
Website Description,Website Beschrijving,
Website Image,Website afbeelding,
Website Item Groups,Website Artikelgroepen,
Website Manager,Website Manager,
Website Settings,Website instellingen,
Website Specifications,Website Specificaties,
Website Warehouse,Website Magazijn,
Weightage,Weging,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,U kunt in dit veld elke geldige Bootstrap 4-opmaak gebruiken. Het wordt getoond op uw itempagina.,
