Accept Payment,قطعا د منلو ته,
After payment completion redirect user to selected page.,د پیسو له بشپړېدو وروسته ټاکل مخ ته د کارونکي عکس د تاوولو.,
All,ټول,
Allow items not in stock to be added to cart,اجازه راکړئ چې توکي په کارت کې نه اضافه شي,
Amount,اندازه,
Amount Based On Field,اندازه په ساحوي,
Amount Field,مقدار د ساحوي,
Attributes,صفات,
Brand,دتوليد,
Button Help,تڼی په مرسته,
Button Label,تڼی په نښه د,
Category Name,کټه ګورۍ نوم,
Checkout Settings,رایستل امستنې,
Comment,څرګندونه,
Compact Item Print,د تړون د قالب چاپ,
Company,شرکت,
Content,منځپانګه,
Copy From Item Group,کاپي له قالب ګروپ,
Currency,د اسعارو,
Customer,پيرودونکو,
Default Customer Group,Default پيرودونکو ګروپ,
Description,Description,
Display Settings,شاخصونه,
Enable Attribute Filters,د خاصیت فلټرونه فعال کړئ,
Enable Checkout,فعال رایستل,
Enable Shopping Cart,خرید په ګاډۍ فعال کړه,
HTML / Banner that will show on the top of product list.,HTML / بنر چې به د محصول د لست په سر وښيي.,
Has Variants,لري تانبه,
Hide Variants,ډولونه پټ کړئ,
Homepage Featured Product,کورپاڼه د ځانګړي محصول,
Image,د انځور,
Image Description,د انځور تشریح,
Image View,د انځور ښکاره کړی,
Invoices,رسیدونه,
Is Active,آیا د فعالو,
Is Billing Contact,د بیلینګ اړیکه ده,
Is Your Company Address,آیا ستاسو شرکت پته,
Item,د قالب,
Item Code,د قالب کوډ,
Item Description,د قالب Description,
Item Details,د توکي توضیحات,
Item Fields,د توکو ډګرونه,
Item Group,د قالب ګروپ,
Item Image (if not slideshow),د قالب د انځور (که سلاید نه),
Item Name,د توکي نوم,
Items,توکي,
Keyboard Shortcuts,کيلي لنډلار,
Label,لیبل,
List this Item in multiple groups on the website.,په د ويب پاڼې د څو ډلو د دې توکي لست کړئ.,
More Information,نور مالومات,
My Account,زما حساب,
Naming Series,نوم لړۍ,
Orders,امر کړی,
Payment Gateway,د پیسو ليدونکی,
Payment Gateway Account,د پیسو ليدونکی اکانټ,
Payment Success Url,د پیسو د برياليتوب په حافظی,
Payments,د پیسو ورکړه,
Price List,د بیې په لېست,
Prices will not be shown if Price List is not set,بيې به که بیې په لېست کې نه دی جوړ نه ښودل شي,
Print UOM after Quantity,د مقدار وروسته UOM چاپ کړئ,
Print taxes with zero amount,د صفر مقدار سره مالیات چاپ کړئ,
Products,محصولات,
Products per Page,محصول په هر مخ,
Published,Published,
Published on,په خپور شوی,
Quotation Series,د داوطلبۍ لړۍ,
Rating,درجه,
Reload,Reload,
Reviews,بیاکتنې,
Route,لار,
Sales Manager,خرڅلاو مدير,
Save Quotations as Draft,نرخونه د مسودې په توګه خوندي کړئ,
Session Defaults,د ناستې ټاکل,
Set Meta Tags,میټا ټاګونه تنظیم کړئ,
Shopping Cart,د سودا لاس ګاډی,
Show Apply Coupon Code,د کوپن کوډ غوښتنه وکاروئ,
Show Contact Us Button,زموږ سره اړیکه ت Butۍ وښیه,
Show Price,نرخ ښکاره کړئ,
Show Public Attachments,د عامې ضم وښایاست,
Show Stock Availability,د ذخیرې شتون ښودل,
Show Stock Quantity,د سټاک مقدار,
Show a slideshow at the top of the page,د پاڼې په سر کې یو سلاید وښایاست,
Show in Website,په ویب پا inه کې ښودل,
Show this slideshow at the top of the page,د پاڼې په سر کې د دې سلاید وښایاست,
Slideshow,سلاید شو,
Sort Order,سمبالول، منظمول,
Stock Manager,دحمل مدير,
Stock UOM,دحمل UOM,
Stock User,دحمل کارن,
System Manager,سيستم مدير,
Tax Category,د مالیه کټګورۍ,
Thumbnail,بټنوک,
Title,نوم,
User,کارن,
Variant Of,د,
View,محتویات,
View Website,محتویات وېب پاڼه,
Warehouse,ګدام,
Website Content,د ویب پا Contentې مینځپانګه,
Website Description,وېب پاڼه Description,
Website Image,د ویب پا Imageې عکس,
Website Item Groups,وېب پاڼه د قالب ډلې,
Website Manager,وېب پاڼه مدير,
Website Settings,وېب پاڼه امستنې,
Website Specifications,وېب پاڼه ځانګړتیاو,
Website Warehouse,وېب پاڼه ګدام,
Weightage,Weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,تاسو کولی شئ پدې برخه کې هرډول معتبر بوټسټریپ 4 مارک اپ وکاروئ. دا به ستاسو د توکي پا Pageه کې وښودل شي.,
