Accept Payment,Pata Malipo,
After payment completion redirect user to selected page.,Baada ya kukamilika kwa malipo kulirejesha mtumiaji kwenye ukurasa uliochaguliwa.,
All,ZOTE,
Allow items not in stock to be added to cart,Ruhusu vitu visivyo kwenye hisa kuongezwa kwa gari,
Amount,Kiasi,
Amount Based On Field,Kiwango cha Msingi Msingi,
Amount Field,Kiwanja Kikubwa,
Attributes,Sifa,
Brand,Brand,
Button Help,Msaada wa kifungo,
Button Label,Lebo ya kifungo,
Category Name,Jina la Jamii,
Checkout Settings,Mipangilio ya Checkout,
Comment,Maoni,
Compact Item Print,Print Compact Item,
Company,Kampuni,
Content,Maudhui,
Copy From Item Group,Nakala Kutoka Kundi la Bidhaa,
Currency,Fedha,
Customer,Wateja,
Default Customer Group,Kikundi cha Wateja Chaguo-msingi,
Description,Maelezo,
Display Settings,Mipangilio ya kuonyesha,
Enable Attribute Filters,Washa vichungi vya Sifa,
Enable Checkout,Wezesha Checkout,
Enable Shopping Cart,Wezesha Kifaa cha Ununuzi,
HTML / Banner that will show on the top of product list.,HTML / Banner ambayo itaonyesha juu ya orodha ya bidhaa.,
Has Variants,Ina tofauti,
Hide Variants,Ficha anuwai,
Homepage Featured Product,Bidhaa ya Matukio ya Ukurasa,
Image,Picha,
Image Description,Maelezo ya Picha,
Image View,Mtazamo wa Picha,
Invoices,Invoices,
Is Active,Ni Kazi,
Is Billing Contact,Ni Mawasiliano ya Bili,
Is Your Company Address,Ni Anwani ya Kampuni Yako,
Item,Kipengee,
Item Code,Msimbo wa kipengee,
Item Description,Maelezo ya maelezo,
Item Details,Maelezo ya kipengee,
Item Fields,Sehemu za Sehemu,
Item Group,Kundi la Bidhaa,
Item Image (if not slideshow),Image Image (kama si slideshow),
Item Name,Jina la Kipengee,
Items,Vitu,
Keyboard Shortcuts,Njia za mkato za kibodi,
Label,Lebo,
List this Item in multiple groups on the website.,Andika kitu hiki katika makundi mengi kwenye tovuti.,
More Information,Taarifa zaidi,
My Account,Akaunti yangu,
Naming Series,Mfululizo wa majina,
Orders,Amri,
Payment Gateway,Njia ya Malipo,
Payment Gateway Account,Akaunti ya Gateway ya Malipo,
Payment Success Url,URL ya Mafanikio ya Malipo,
Payments,Malipo,
Price List,Orodha ya bei,
Prices will not be shown if Price List is not set,Bei haitaonyeshwa kama Orodha ya Bei haijawekwa,
Print UOM after Quantity,Chapisha UOM baada ya Wingi,
Print taxes with zero amount,Chapisha kodi kwa kiasi cha sifuri,
Products,Bidhaa,
Products per Page,Bidhaa kwa Ukurasa,
Published,Ilichapishwa,
Published on,Imechapishwa mnamo,
Quotation Series,Mfululizo wa Nukuu,
Rating,Upimaji,
Reload,Pakia tena,
Reviews,Maoni,
Route,Njia,
Sales Manager,Meneja wa Mauzo,
Save Quotations as Draft,Hifadhi Nukuu kama Rasimu,
Session Defaults,Defavers ya Kikao,
Set Meta Tags,Weka Tepe za Meta,
Shopping Cart,Duka la Ununuzi,
Show Apply Coupon Code,Onyesha Tuma nambari ya Coupon,
Show Contact Us Button,Onyesha Wasiliana Nasi Kifungo,
Show Price,Onyesha Bei,
Show Public Attachments,Onyesha Viambatisho vya Umma,
Show Stock Availability,Onyesha Upatikanaji wa hisa,
Show Stock Quantity,Onyesha Stock Wingi,
Show a slideshow at the top of the page,Onyesha slideshow juu ya ukurasa,
Show in Website,Onyesha katika Wavuti,
Show this slideshow at the top of the page,Onyesha slideshow hii juu ya ukurasa,
Slideshow,Slideshow,
Sort Order,Panga Utaratibu,
Stock Manager,Meneja wa Stock,
Stock UOM,UOM ya hisa,
Stock User,Mtumiaji wa hisa,
System Manager,Meneja wa Mfumo,
Tax Category,Jamii ya Ushuru,
Thumbnail,Picha ndogo,
Title,Kichwa,
User,Mtumiaji,
Variant Of,Tofauti ya,
View,Angalia,
View Website,Tazama Tovuti,
Warehouse,Ghala,
Website Content,Yaliyomo kwenye Tovuti,
Website Description,Website Description,
Website Image,Picha ya Wavuti,
Website Item Groups,Vikundi vya Bidhaa vya tovuti,
Website Manager,Meneja wa tovuti,
Website Settings,Mipangilio ya tovuti,
Website Specifications,Ufafanuzi wa tovuti,
Website Warehouse,Tovuti ya Warehouse,
Weightage,Uzito,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Unaweza kutumia alama yoyote halali ya Bootstrap 4 kwenye uwanja huu. Itaonyeshwa kwenye Ukurasa wako wa Bidhaa.,
