Accept Payment,To&#39;lovni qabul qilish,
After payment completion redirect user to selected page.,"To&#39;lov tugagach, foydalanuvchini tanlangan sahifaga yo&#39;naltirish.",
All,HAMMA,
Allow items not in stock to be added to cart,Savatda bo&#39;lmagan narsalarning savatga qo&#39;shilishiga ruxsat bering,
Amount,Miqdori,
Amount Based On Field,Maydondagi miqdori,
Amount Field,Miqdori maydoni,
Attributes,Xususiyatlar,
Brand,Tovar,
Button Help,Tugma yordami,
Button Label,Tugma belgisi,
Category Name,Turkum nomi,
Checkout Settings,To&#39;lov sozlamalari,
Comment,Izoh,
Compact Item Print,Yilni mahsulot Chop etish,
Company,Kompaniya,
Content,Kontent,
Copy From Item Group,Mavzu guruhidan nusxa olish,
Currency,Valyuta,
Customer,Xaridor,
Default Customer Group,Standart xaridorlar guruhi,
Description,Ta&#39;rif,
Display Settings,Displeyni sozlash,
Enable Attribute Filters,Attribute filtrlarini yoqish,
Enable Checkout,To&#39;lovni yoqish,
Enable Shopping Cart,Savatga savatni faollashtirish,
HTML / Banner that will show on the top of product list.,Mahsulot ro&#39;yxatining yuqori qismida ko&#39;rsatiladigan HTML / Banner.,
Has Variants,Varyantlar mavjud,
Hide Variants,Variantlarni yashirish,
Homepage Featured Product,Bosh sahifa Featured Mahsulot,
Image,Rasm,
Image Description,Rasm tavsifi,
Image View,Rasm ko&#39;rinishi,
Invoices,Xarajatlar,
Is Active,Faol,
Is Billing Contact,Hisob-kitob aloqasi,
Is Your Company Address,Sizning kompaniyangiz manzili,
Item,Mavzu,
Item Code,Mahsulot kodi,
Item Description,Mavzu tavsifi,
Item Details,Ob&#39;ekt batafsil,
Item Fields,Element maydonlari,
Item Group,Mavzu guruhi,
Item Image (if not slideshow),Mavzu tasvir (agar slayd-shou bo&#39;lmasa),
Item Name,Mavzu nomi,
Items,Mahsulotlar,
Keyboard Shortcuts,Klaviatura yorliqlari,
Label,Yorliq,
List this Item in multiple groups on the website.,Ushbu elementni veb-saytdagi bir nechta guruhda ko&#39;rsating.,
More Information,Qo&#39;shimcha ma&#39;lumot,
My Account,Mening hisobim,
Naming Series,Namunaviy qator,
Orders,Buyurtma,
Payment Gateway,To&#39;lov shlyuzi,
Payment Gateway Account,To&#39;lov shlyuz hisobi,
Payment Success Url,To&#39;lov muvaffaqiyati URL manzili,
Payments,To&#39;lovlar,
Price List,Narxlar ro&#39;yxati,
Prices will not be shown if Price List is not set,"Narxlar ro&#39;yxati o&#39;rnatilmagan bo&#39;lsa, narxlar ko&#39;rsatilmaydi",
Print UOM after Quantity,Miqdordan keyin UOMni chop eting,
Print taxes with zero amount,Soliqlarni nolga teng miqdorda chop eting,
Products,Mahsulotlar,
Products per Page,Har bir sahifa uchun mahsulotlar,
Published,Nashr etildi,
Published on,Nashr qilingan,
Quotation Series,Quotation Series,
Rating,Reyting,
Reload,Qayta yuklash,
Reviews,Sharhlar,
Route,Yo&#39;nalish,
Sales Manager,Savdo menedjeri,
Save Quotations as Draft,Takliflarni qoralama sifatida saqlang,
Session Defaults,Sessiya standartlari,
Set Meta Tags,Meta teglarini o&#39;rnating,
Shopping Cart,Xarid savati,
Show Apply Coupon Code,Kupon kodini qo&#39;llashni ko&#39;rsatish,
Show Contact Us Button,Biz bilan bog&#39;lanish tugmachasini ko&#39;rsating,
Show Price,Narxini ko&#39;rsatish,
Show Public Attachments,Ommaviy ilovalarni ko&#39;rsatish,
Show Stock Availability,Qimmatli qog&#39;ozlar mavjudligini ko&#39;rsatish,
Show Stock Quantity,Stok miqdorini ko&#39;rsatish,
Show a slideshow at the top of the page,Sahifaning yuqori qismidagi slayd-shouni ko&#39;rsatish,
Show in Website,Veb-saytida ko&#39;rsatish,
Show this slideshow at the top of the page,Ushbu slayd-shouni sahifaning yuqori qismida ko&#39;rsatish,
Slideshow,Slaydshou,
Sort Order,Tartiblash tartibi,
Stock Manager,Aktsiyadorlar direktori,
Stock UOM,Qimmatli qog&#39;ozlar UOM,
Stock User,Tayyor foydalanuvchi,
System Manager,Tizim menejeri,
Tax Category,Soliq toifasi,
Thumbnail,Kichik rasm,
Title,Sarlavha,
User,Foydalanuvchi,
Variant Of,Variant Of,
View,Ko&#39;rish,
View Website,Veb-saytni ko&#39;rish,
Warehouse,QXI,
Website Content,Veb-sayt tarkibi,
Website Description,Veb-sayt ta&#39;rifi,
Website Image,Veb-saytdagi rasm,
Website Item Groups,Veb-sayt elementlari guruhlari,
Website Manager,Veb-sayt boshqaruvchisi,
Website Settings,Veb-sayt sozlamalari,
Website Specifications,Veb-saytning texnik xususiyatlari,
Website Warehouse,Veb-sayt ombori,
Weightage,Og&#39;irligi,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Ushbu sohada har qanday yaroqli Bootstrap 4 markirovkasidan foydalanishingiz mumkin. U sizning mahsulot sahifangizda ko&#39;rsatiladi.,
