Accept Payment,പേമെന്റ്,
After payment completion redirect user to selected page.,പേയ്മെന്റ് പൂർത്തിയായ ശേഷം തിരഞ്ഞെടുത്ത പേജിലേക്ക് ഉപയോക്താവിനെ തിരിച്ചുവിടൽ.,
All,എല്ലാം,
Allow items not in stock to be added to cart,സ്റ്റോക്കില്ലാത്ത ഇനങ്ങൾ കാർട്ടിലേക്ക് ചേർക്കാൻ അനുവദിക്കുക,
Amount,തുക,
Amount Based On Field,ഫീൽഡ് അടിസ്ഥാനമാക്കി തുക,
Amount Field,തുക ഫീൽഡ്,
Attributes,വിശേഷണങ്ങൾ,
Brand,ബ്രാൻഡ്,
Button Help,ബട്ടൺ സഹായം,
Button Label,ബട്ടൺ ലേബൽ,
Category Name,വർഗ്ഗം പേര്,
Checkout Settings,ചെക്കൗട്ട് ക്രമീകരണങ്ങൾ,
Comment,അഭിപ്രായം,
Compact Item Print,കോംപാക്റ്റ് ഇനം പ്രിന്റ്,
Company,കമ്പനി,
Content,ഉള്ളടക്കം,
Copy From Item Group,ഇനം ഗ്രൂപ്പിൽ നിന്നും പകർത്തുക,
Currency,കറൻസി,
Customer,കസ്റ്റമർ,
Default Customer Group,സ്ഥിരസ്ഥിതി ഉപഭോക്തൃ ഗ്രൂപ്പ്,
Description,വിവരണം,
Display Settings,ഡിസ്പ്ലേ ക്രെമീകരണങ്ങൾ,
Enable Attribute Filters,ആട്രിബ്യൂട്ട് ഫിൽട്ടറുകൾ പ്രവർത്തനക്ഷമമാക്കുക,
Enable Checkout,ചെക്കൗട്ട് പ്രാപ്തമാക്കുക,
Enable Shopping Cart,ഷോപ്പിംഗ് കാർട്ട് പ്രവർത്തനക്ഷമമാക്കുക,
HTML / Banner that will show on the top of product list.,ഉൽപ്പന്ന പട്ടികയിൽ മുകളിൽ കാണിച്ചുതരുന്ന HTML / ബാനർ.,
Has Variants,രൂപഭേദങ്ങൾ ഉണ്ട്,
Hide Variants,വേരിയന്റുകൾ മറയ്‌ക്കുക,
Homepage Featured Product,ഹോംപേജ് ഫീച്ചർ ഉൽപ്പന്ന,
Image,ചിത്രം,
Image Description,ചിത്ര വിവരണം,
Image View,ചിത്രം കാണുക,
Invoices,ഇൻവോയിസുകൾ,
Is Active,സജീവമായിട്ടുള്ള,
Is Billing Contact,ബില്ലിംഗ് കോൺടാക്റ്റ് ആണ്,
Is Your Company Address,നിങ്ങളുടെ കമ്പനി വിലാസമാണ്,
Item,ഇനം,
Item Code,ഇനം കോഡ്,
Item Description,ഇനത്തെ കുറിച്ചുള്ള വിശദീകരണം,
Item Details,ഇനം വിശദാംശങ്ങൾ,
Item Fields,ഇനം ഫീൽഡുകൾ,
Item Group,ഇനം ഗ്രൂപ്പ്,
Item Image (if not slideshow),ഇനം ഇമേജ് (അതില് അല്ല എങ്കിൽ),
Item Name,ഇനത്തിന്റെ പേര്,
Items,ഇനങ്ങൾ,
Keyboard Shortcuts,കീബോർഡ് കുറുക്കുവഴികൾ,
Label,ലേബൽ,
List this Item in multiple groups on the website.,വെബ്സൈറ്റിൽ ഒന്നിലധികം സംഘങ്ങളായി ഈ ഇനം കാണിയ്ക്കുക.,
More Information,കൂടുതൽ വിവരങ്ങൾ,
My Account,എന്റെ അക്കൗണ്ട്,
Naming Series,സീരീസ് നാമകരണം,
Orders,ഉത്തരവുകൾ,
Payment Gateway,പേയ്മെന്റ് ഗേറ്റ്വേ,
Payment Gateway Account,പേയ്മെന്റ് ഗേറ്റ്വേ അക്കൗണ്ട്,
Payment Success Url,പേയ്മെന്റ് വിജയം യുആർഎൽ,
Payments,പേയ്മെൻറുകൾ,
Price List,വിലവിവരപട്ടിക,
Prices will not be shown if Price List is not set,വിലവിവര ലിസ്റ്റ് സജ്ജമാക്കിയിട്ടില്ലെങ്കിൽ വിലകൾ കാണിക്കില്ല,
Print UOM after Quantity,അളവിന് ശേഷം UOM പ്രിന്റുചെയ്യുക,
Print taxes with zero amount,പൂജ്യം തുക ഉപയോഗിച്ച് നികുതികൾ അച്ചടിക്കുക,
Products,ഉൽപ്പന്നങ്ങൾ,
Products per Page,ഓരോ പേജിലും ഉൽപ്പന്നങ്ങൾ,
Published,പ്രസിദ്ധീകരിച്ചത്,
Published on,പ്രസിദ്ധീകരിച്ചു,
Quotation Series,ക്വട്ടേഷൻ സീരീസ്,
Rating,റേറ്റിംഗ്,
Reload,വീണ്ടും ലോഡുചെയ്യുക,
Reviews,അവലോകനങ്ങൾ,
Route,റൂട്ട്,
Sales Manager,സെയിൽസ് മാനേജർ,
Save Quotations as Draft,ഉദ്ധരണികൾ ഡ്രാഫ്റ്റായി സംരക്ഷിക്കുക,
Session Defaults,സെഷൻ സ്ഥിരസ്ഥിതികൾ,
Set Meta Tags,മെറ്റാ ടാഗുകൾ സജ്ജമാക്കുക,
Shopping Cart,ഷോപ്പിംഗ് കാർട്ട്,
Show Apply Coupon Code,കൂപ്പൺ കോഡ് പ്രയോഗിക്കുക കാണിക്കുക,
Show Contact Us Button,ഞങ്ങളെ ബന്ധപ്പെടുക ബട്ടൺ കാണിക്കുക,
Show Price,വില കാണിക്കുക,
Show Public Attachments,പൊതു അറ്റാച്മെന്റ് കാണിക്കുക,
Show Stock Availability,സ്റ്റോക്ക് ലഭ്യത കാണിക്കുക,
Show Stock Quantity,സ്റ്റോക്ക് അളവ് കാണിക്കുക,
Show a slideshow at the top of the page,പേജിന്റെ മുകളിൽ ഒരു സ്ലൈഡ്ഷോ കാണിക്കുക,
Show in Website,വെബ്‌സൈറ്റിൽ കാണിക്കുക,
Show this slideshow at the top of the page,പേജിന്റെ മുകളിലുള്ള ഈ സ്ലൈഡ്ഷോ കാണിക്കുക,
Slideshow,സ്ലൈഡ്ഷോ,
Sort Order,ക്രമീകരണം,
Stock Manager,സ്റ്റോക്ക് മാനേജർ,
Stock UOM,ഓഹരി UOM,
Stock User,സ്റ്റോക്ക് ഉപയോക്താവ്,
System Manager,സിസ്റ്റം മാനേജർ,
Tax Category,നികുതി വിഭാഗം,
Thumbnail,ലഘുചിത്രം,
Title,ശീർഷകം,
User,ഉപയോക്താവ്,
Variant Of,വേരിയൻറ് ഓഫ്,
View,കാണുക,
View Website,വെബ്സൈറ്റ് കാണുക,
Warehouse,പണ്ടകശാല,
Website Content,വെബ്‌സൈറ്റ് ഉള്ളടക്കം,
Website Description,വെബ്സൈറ്റ് വിവരണം,
Website Image,വെബ്‌സൈറ്റ് ചിത്രം,
Website Item Groups,വെബ്സൈറ്റ് ഇനം ഗ്രൂപ്പുകൾ,
Website Manager,വെബ്സൈറ്റ് മാനേജർ,
Website Settings,വെബ്സൈറ്റ് ക്രമീകരണങ്ങൾ,
Website Specifications,വെബ്സൈറ്റ് വ്യതിയാനങ്ങൾ,
Website Warehouse,വെബ്സൈറ്റ് വെയർഹൗസ്,
Weightage,വെയിറ്റേജ്,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,ഈ ഫീൽഡിൽ നിങ്ങൾക്ക് സാധുവായ ഏതെങ്കിലും ബൂട്ട്സ്ട്രാപ്പ് 4 മാർക്ക്അപ്പ് ഉപയോഗിക്കാം. ഇത് നിങ്ങളുടെ ഇനം പേജിൽ കാണിക്കും.,
