Accept Payment,Hyväksy Maksu,
After payment completion redirect user to selected page.,Maksun jälkeen valmistumisen ohjata käyttäjän valitulle sivulle.,
All,Kaikki,
Allow items not in stock to be added to cart,"Salli tuotteiden, joita ei ole varastossa, lisääminen ostoskoriin",
Amount,Summa,
Amount Based On Field,Laskettu määrä Field,
Amount Field,summa Field,
Attributes,tuntomerkkejä,
Brand,brändi,
Button Help,Painikkeen ohje,
Button Label,Painikkeen teksti,
Category Name,luokittelun nimi,
Checkout Settings,Kassalle Asetukset,
Comment,Kommentti,
Compact Item Print,Compact Tuote Tulosta,
Company,Yritys,
Content,sisältö,
Copy From Item Group,kopioi tuoteryhmästä,
Currency,Valuutta,
Customer,asiakas,
Default Customer Group,Oletusasiakasryhmä,
Description,Kuvaus,
Display Settings,Näyttöasetukset,
Enable Attribute Filters,Ota ominaisuussuodattimet käyttöön,
Enable Checkout,Ota Checkout,
Enable Shopping Cart,aktivoi ostoskori,
HTML / Banner that will show on the top of product list.,HTML / banneri joka näkyy tuoteluettelon päällä,
Has Variants,useita tuotemalleja,
Hide Variants,Piilota variantit,
Homepage Featured Product,Kotisivu Erityistuotteet,
Image,Kuva,
Image Description,Kuvan kuvaus,
Image View,kuvanäkymä,
Invoices,laskut,
Is Active,aktiivinen,
Is Billing Contact,Onko laskutusyhteyshenkilö,
Is Your Company Address,Is Your Company Osoite,
Item,Nimike,
Item Code,Nimikekoodi,
Item Description,tuotteen kuvaus,
Item Details,Tuotetiedot,
Item Fields,Kohdekentät,
Item Group,Tuoteryhmä,
Item Image (if not slideshow),tuotekuva (jos diaesitys ei käytössä),
Item Name,Tuotteen nimi,
Items,Nimikkeet,
Keyboard Shortcuts,Pikanäppäimet,
Label,Nimike,
List this Item in multiple groups on the website.,Listaa tästä Kohta useisiin ryhmiin verkkosivuilla.,
More Information,Lisätiedot,
My Account,Oma tili,
Naming Series,Nimeä sarjat,
Orders,tilaukset,
Payment Gateway,Payment Gateway,
Payment Gateway Account,Maksu Gateway tili,
Payment Success Url,Maksu onnistui URL,
Payments,maksut,
Price List,Hinnasto,
Prices will not be shown if Price List is not set,"Hinnat ei näytetä, jos hinnasto ei ole asetettu",
Print UOM after Quantity,Tulosta UOM määrän jälkeen,
Print taxes with zero amount,"Tulosta verot, joiden summa on nolla",
Products,Tuotteet,
Products per Page,Tuotteet per sivu,
Published,Julkaistu,
Published on,Julkaistu,
Quotation Series,"Tarjous, sarjat",
Rating,luokitus,
Reload,Päivitä,
Reviews,Arvostelut,
Route,Polku,
Sales Manager,Myynnin ylläpitäjä,
Save Quotations as Draft,Tallenna lainaukset luonnoksena,
Session Defaults,Istunnon oletukset,
Set Meta Tags,Aseta metakoodit,
Shopping Cart,Ostoskori,
Show Apply Coupon Code,Näytä Käytä kuponkikoodia,
Show Contact Us Button,Näytä Ota yhteyttä -painike,
Show Price,Näytä hinta,
Show Public Attachments,Näytä Julkiset Liitteet,
Show Stock Availability,Saatavuus Varastossa,
Show Stock Quantity,Näytä varastomäärä,
Show a slideshow at the top of the page,Näytä diaesitys sivun yläreunassa,
Show in Website,Näytä verkkosivustolla,
Show this slideshow at the top of the page,Näytä tämä diaesitys sivun yläreunassa,
Slideshow,diaesitys,
Sort Order,Lajittelujärjestys,
Stock Manager,Varaston ylläpitäjä,
Stock UOM,Varastoyksikkö,
Stock User,Varaston peruskäyttäjä,
System Manager,Järjestelmän ylläpitäjä,
Tax Category,Veroluokka,
Thumbnail,Pikkukuva,
Title,otsikko,
User,käyttäjä,
Variant Of,Vaihtoehto,
View,Näkymä,
View Website,Näytä verkkosivusto,
Warehouse,Varasto,
Website Content,Verkkosivun sisältö,
Website Description,Verkkosivuston kuvaus,
Website Image,Verkkosivun kuva,
Website Item Groups,Tuoteryhmien verkkosivu,
Website Manager,Verkkosivuston ylläpitäjä,
Website Settings,Verkkosivuston asetukset,
Website Specifications,Verkkosivuston tiedot,
Website Warehouse,Varasto,
Weightage,Painoarvo,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Voit käyttää mitä tahansa kelvollista Bootstrap 4 -merkintää tässä kentässä. Se näkyy tuotesivulla.,
