About,O,
Accept Payment,prihvaća plaćanje,
After payment completion redirect user to selected page.,Nakon završetka plaćanja preusmjeriti korisnika na odabranu stranicu.,
All,svi,
Allow items not in stock to be added to cart,Dopustite dodavanje predmeta u košaricu za kupnju,
Amount,Iznos,
Amount Based On Field,Iznos koji se temelji na terenskom,
Amount Field,iznos polje,
Attributes,Značajke,
Brand,Brend,
Button Help,Button Pomoć,
Button Label,Button Label,
Category Name,Naziv kategorije,
Checkout Settings,Blagajna Postavke,
Comment,Komentar,
Compact Item Print,Kompaktni Stavka Print,
Company,Društvo,
Content,Sadržaj,
Copy From Item Group,Primjerak iz točke Group,
Currency,Valuta,
Customer,kupac,
Default Customer Group,Zadana grupa kupaca,
Description,Opis,
Display Settings,Prikaz postavki,
Enable Attribute Filters,Omogući filtre atributa,
Enable Checkout,Omogući Checkout,
Enable Shopping Cart,Omogućite Košarica,
HTML / Banner that will show on the top of product list.,HTML / baner koji će se prikazivati na vrhu liste proizvoda.,
Has Variants,Je Varijante,
Hide Variants,Sakrij varijante,
Homepage Featured Product,Početna Istaknuti Proizvodi,
Image,Slika,
Image Description,Opis slike,
Image View,Prikaz slike,
Invoices,računi,
Is Active,Je aktivan,
Is Billing Contact,Je li kontakt za naplatu,
Is Your Company Address,Je li Vaše poduzeće adresa,
Item,Proizvod,
Item Code,Šifra proizvoda,
Item Description,Opis proizvoda,
Item Details,Detalji artikla,
Item Fields,Polja predmeta,
Item Group,Grupa proizvoda,
Item Image (if not slideshow),Slika proizvoda (ako nije slide prikaz),
Item Name,Ime proizvoda,
Items,Proizvodi,
Keyboard Shortcuts,Prečice na tipkovnici,
Label,Oznaka,
List this Item in multiple groups on the website.,Prikaži ovu stavku u više grupa na web stranici.,
More Information,Više informacija,
My Account,Moj Račun,
Naming Series,Imenovanje serije,
Orders,Narudžbe,
Payment Gateway,Payment Gateway,
Payment Gateway Account,Payment Gateway račun,
Payment Success Url,Plaćanje Uspjeh URL,
Payments,Plaćanja,
Price List,Cjenik,
Prices will not be shown if Price List is not set,Cijene neće biti prikazana ako Cjenik nije postavljena,
Print UOM after Quantity,Ispis UOM-a nakon količine,
Print taxes with zero amount,Ispis poreza s nula iznosa,
Products,proizvodi,
Products per Page,Proizvodi po stranici,
Published,Objavljen,
Published on,Objavljeno dana,
Quotation Series,Ponuda serija,
Rating,Ocjena,
Reload,Reload,
Reviews,Recenzije,
Route,put,
Sales Manager,Sales Manager,
Save Quotations as Draft,Spremi citate kao skicu,
Session Defaults,Zadani zadaci sesije,
Set Meta Tags,Postavljanje metaoznaka,
Shopping Cart,Košarica,
Show Apply Coupon Code,Prikaži Primijeni kod kupona,
Show Contact Us Button,Prikaži gumb Kontaktirajte nas,
Show Price,Pokaži cijenu,
Show Public Attachments,Prikaži javne privitke,
Show Stock Availability,Prikaži raspoloživa roba,
Show Stock Quantity,Prikaži količinu proizvoda,
Show a slideshow at the top of the page,Prikaži slideshow na vrhu stranice,
Show in Website,Prikaži na web mjestu,
Show this slideshow at the top of the page,Prikaži ovaj slideshow na vrhu stranice,
Slideshow,Slideshow,
Sort Order,sortiranje,
Stock Manager,Stock Manager,
Stock UOM,Kataloški UOM,
Stock User,Stock Korisnik,
System Manager,Sustav Manager,
Tax Category,Porezna kategorija,
Thumbnail,Thumbnail,
Title,Naslov,
User,Korisnik,
Variant Of,Varijanta Of,
View,Pogled,
View Website,Pogledaj web stranicu,
Warehouse,Skladište,
Website Content,Sadržaj web stranice,
Website Description,Opis web stranice,
Website Image,Slika web stranice,
Website Item Groups,Grupe proizvoda web stranice,
Website Manager,Web Manager,
Website Settings,Postavke web stranice,
Website Specifications,Web Specifikacije,
Website Warehouse,Skladište web stranice,
Weightage,Weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,U ovom polju možete koristiti bilo koje važeće oznake Bootstrap 4. To će se prikazati na vašoj stranici predmeta.,
