Accept Payment,ክፍያ ተቀበል,
After payment completion redirect user to selected page.,የክፍያ ማጠናቀቂያ በኋላ የተመረጠውን ገጽ ተጠቃሚ አቅጣጫ አዙር.,
All,ሁሉም,
Allow items not in stock to be added to cart,በክምችት ውስጥ የሌሉ ዕቃዎች ወደ ጋሪ እንዲጨምሩ ይፍቀዱ,
Amount,መጠን,
Amount Based On Field,የገንዘብ መጠን መስክ ላይ የተመሠረተ,
Amount Field,የገንዘብ መጠን መስክ,
Attributes,ባህሪያት,
Brand,ምልክት,
Button Help,የአዝራር እገዛ,
Button Label,የአዝራር መለያ ስም,
Category Name,ምድብ ስም,
Checkout Settings,Checkout ቅንብሮች,
Comment,አስተያየት,
Compact Item Print,ውሱን ንጥል አትም,
Company,ኩባንያ,
Content,ይዘት,
Copy From Item Group,ንጥል ቡድን ከ ቅዳ,
Currency,ገንዘብ,
Customer,ደምበኛ,
Default Customer Group,ነባሪ የደንበኛ ቡድን,
Description,መግለጫ,
Display Settings,ማሳያ ቅንብሮች,
Enable Attribute Filters,የባህሪ ማጣሪያዎችን አንቃ።,
Enable Checkout,ተመዝግቦ አንቃ,
Enable Shopping Cart,ወደ ግዢ ሳጥን ጨመር አንቃ,
HTML / Banner that will show on the top of product list.,የምርት ዝርዝር አናት ላይ ያሳያል የ HTML / ሰንደቅ.,
Has Variants,ተለዋጮች አለው,
Hide Variants,ልዩነቶችን ደብቅ።,
Homepage Featured Product,መነሻ ገጽ ተለይተው የቀረቡ ምርት,
Image,ምስል,
Image Description,የምስል መግለጫ,
Image View,ምስል ይመልከቱ,
Invoices,ደረሰኞች,
Is Active,ገቢር ነው,
Is Billing Contact,የሂሳብ አከፋፈል ዕውቂያ ነው,
Is Your Company Address,የእርስዎ ኩባንያ አድራሻ ነው,
Item,ንጥል,
Item Code,ንጥል ኮድ,
Item Description,ንጥል መግለጫ,
Item Details,የንጥል ዝርዝሮች,
Item Fields,የእቃ መስኮች።,
Item Group,ንጥል ቡድን,
Item Image (if not slideshow),ንጥል ምስል (የተንሸራታች አይደለም ከሆነ),
Item Name,የንጥል ስም,
Items,ንጥሎች,
Keyboard Shortcuts,የቁልፍ ሰሌዳ አቋራጮች።,
Label,ምልክት,
List this Item in multiple groups on the website.,ድር ላይ በርካታ ቡድኖች ውስጥ ይህን ንጥል ዘርዝር.,
More Information,ተጨማሪ መረጃ,
My Account,አካውንቴ,
Naming Series,መሰየምን ተከታታይ,
Orders,ትዕዛዞች,
Payment Gateway,የክፍያ ጌትዌይ,
Payment Gateway Account,ክፍያ ፍኖት መለያ,
Payment Success Url,ክፍያ ስኬት ዩ አር ኤል,
Payments,ክፍያዎች,
Price List,የዋጋ ዝርዝር,
Prices will not be shown if Price List is not set,የዋጋ ዝርዝር ካልተዋቀረ ዋጋዎች አይታይም,
Print UOM after Quantity,ከቁጥር በኋላ UOM ን ያትሙ,
Print taxes with zero amount,በዜሮ መጠን ግብር ያትሙ,
Products,ምርቶች,
Products per Page,ምርቶች በአንድ ገጽ,
Published,የታተመ,
Published on,ታትሟል,
Quotation Series,በትዕምርተ ጥቅስ ተከታታይ,
Rating,ደረጃ አሰጣጥ,
Reload,ዳግም ጫን,
Reviews,ግምገማዎች,
Route,መንገድ,
Sales Manager,የሽያጭ ሃላፊ,
Save Quotations as Draft,ጥቅሶችን እንደ ረቂቅ ይቆጥቡ,
Session Defaults,የክፍለ ጊዜ ነባሪዎች።,
Set Meta Tags,ሜታ መለያዎችን ያዘጋጁ።,
Shopping Cart,ወደ ግዢ ሳጥን ጨመር,
Show Apply Coupon Code,ተግብር ኩፖን ኮድ አሳይ,
Show Contact Us Button,እኛን ያግኙን አዝራር።,
Show Price,ዋጋ አሳይ,
Show Public Attachments,የህዝብ አባሪዎች አሳይ,
Show Stock Availability,የኤክስቴንሽን አቅርቦት አሳይ,
Show Stock Quantity,የአክሲዮን ብዛት አሳይ,
Show a slideshow at the top of the page,በገጹ ላይኛው ክፍል ላይ አንድ ስላይድ ትዕይንት አሳይ,
Show in Website,በድር ጣቢያ ውስጥ አሳይ,
Show this slideshow at the top of the page,በገጹ ላይኛው ክፍል ላይ ይህን ተንሸራታች ትዕይንት አሳይ,
Slideshow,የተንሸራታች ትዕይንት,
Sort Order,የድርድር ቅደም ተከተል,
Stock Manager,የክምችት አስተዳዳሪ,
Stock UOM,የክምችት UOM,
Stock User,የአክሲዮን ተጠቃሚ,
System Manager,የስርዓት አስተዳዳሪ,
Tax Category,የግብር ምድብ።,
Thumbnail,ድንክዬ,
Title,አርእስት,
User,ተጠቃሚው,
Variant Of,የተለያዩ የ,
View,ይመልከቱ,
View Website,ይመልከቱ ድር ጣቢያ,
Warehouse,የዕቃ ቤት,
Website Content,የድር ጣቢያ ይዘት።,
Website Description,የድር ጣቢያ መግለጫ,
Website Image,የድር ጣቢያ ምስል።,
Website Item Groups,የድር ጣቢያ ንጥል ቡድኖች,
Website Manager,የድር ጣቢያ አስተዳዳሪ,
Website Settings,የድር ጣቢያ ቅንብሮች,
Website Specifications,የድር ጣቢያ ዝርዝር,
Website Warehouse,የድር ጣቢያ መጋዘን,
Weightage,Weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,በዚህ መስክ ውስጥ ማንኛውንም ትክክለኛ Bootstrap 4 markup ን መጠቀም ይችላሉ። በእርስዎ የንጥል ገጽ ላይ ይታያል።,
