Accept Payment,Samþykkja Paypal,
After payment completion redirect user to selected page.,Að lokinni greiðslu áframsenda notandann til valda síðu.,
All,Allt,
Allow items not in stock to be added to cart,Leyfa að hlutum sem ekki eru til á lager sé bætt í körfuna,
Amount,upphæð,
Amount Based On Field,Upphæð Byggt á Field,
Amount Field,upphæð Field,
Attributes,Eigindir,
Brand,vörumerki,
Button Help,Button Hjálp,
Button Label,Button Label,
Category Name,Flokkur Nafn,
Checkout Settings,Checkout Stillingar,
Comment,Athugasemd,
Compact Item Print,Compact Item Prenta,
Company,fyrirtæki,
Content,innihald,
Copy From Item Group,Afrita Frá Item Group,
Currency,Gjaldmiðill,
Customer,Viðskiptavinur,
Default Customer Group,Sjálfgefið Group Viðskiptavinur,
Description,Lýsing,
Display Settings,Sýna stillingar,
Enable Attribute Filters,Virkja eigindasíur,
Enable Checkout,Virkja Checkout,
Enable Shopping Cart,Virkja Shopping Cart,
HTML / Banner that will show on the top of product list.,HTML / Banner sem mun sýna á efst á listanum vöru.,
Has Variants,hefur Afbrigði,
Hide Variants,Fela afbrigði,
Homepage Featured Product,Heimasíðan Valin Vara,
Image,Mynd,
Image Description,Lýsing á mynd,
Image View,Mynd View,
Invoices,Reikningar,
Is Active,er Active,
Is Billing Contact,Er tengiliður við innheimtu,
Is Your Company Address,Er fyrirtækið Heimilisfang þitt,
Item,Item,
Item Code,Item Code,
Item Description,Lýsing á hlut,
Item Details,Atriði í hlutanum,
Item Fields,Atriðisreitir,
Item Group,Liður Group,
Item Image (if not slideshow),Liður Image (ef ekki myndasýning),
Item Name,Nafn hlutar,
Items,atriði,
Keyboard Shortcuts,Flýtilyklar,
Label,Label,
List this Item in multiple groups on the website.,Listi þetta atriði í mörgum hópum á vefnum.,
More Information,Meiri upplýsingar,
My Account,Minn reikningur,
Naming Series,nafngiftir Series,
Orders,Pantanir,
Payment Gateway,greiðsla Gateway,
Payment Gateway Account,Greiðsla Gateway Reikningur,
Payment Success Url,Greiðsla Velgengni URL,
Payments,greiðslur,
Price List,Verðskrá,
Prices will not be shown if Price List is not set,Verð verður ekki sýnd ef verðskrá er ekki sett,
Print UOM after Quantity,Prentaðu UOM eftir magni,
Print taxes with zero amount,Prenta skatta með núll upphæð,
Products,Vörur,
Products per Page,Vörur á síðu,
Published,Útgefið,
Published on,Birt þann,
Quotation Series,Tilvitnun Series,
Rating,einkunn,
Reload,endurhlaða,
Reviews,Umsagnir,
Route,Route,
Sales Manager,Sölufulltrúi,
Save Quotations as Draft,Vistaðu tilboð sem drög,
Session Defaults,Sjálfgefin seta,
Set Meta Tags,Setja Meta tags,
Shopping Cart,Innkaupakerra,
Show Apply Coupon Code,Sýna Nota afsláttarmiða kóða,
Show Contact Us Button,Sýna Hafðu samband hnappinn,
Show Price,Sýna verð,
Show Public Attachments,Sýna opinberar viðhengi,
Show Stock Availability,Sýna framboð á lager,
Show Stock Quantity,Sýna lager Magn,
Show a slideshow at the top of the page,Sýnið skyggnusýningu efst á síðunni,
Show in Website,Sýna á vefsíðu,
Show this slideshow at the top of the page,Sýna þessa myndasýningu efst á síðunni,
Slideshow,Slideshow,
Sort Order,Raða Order,
Stock Manager,Stock Manager,
Stock UOM,Stock UOM,
Stock User,Stock User,
System Manager,System Manager,
Tax Category,Skattaflokkur,
Thumbnail,Smámynd,
Title,Title,
User,Notandi,
Variant Of,Afbrigði af,
View,Útsýni,
View Website,view Website,
Warehouse,Vöruhús,
Website Content,Innihald vefsíðu,
Website Description,Vefsíða Lýsing,
Website Image,Mynd af vefsíðu,
Website Item Groups,Vefsíða Item Hópar,
Website Manager,Vefsíða Manager,
Website Settings,Vefsíða Stillingar,
Website Specifications,Vefsíða Upplýsingar,
Website Warehouse,Vefsíða Warehouse,
Weightage,weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Þú getur notað hvaða gilda Bootstrap 4 merkingu sem er á þessum reit. Það verður sýnt á hlutar síðunni þinni.,
