Accept Payment,지불을 수락,
After payment completion redirect user to selected page.,결제 완료 후 선택한 페이지로 사용자를 리디렉션.,
All,모두,
Allow items not in stock to be added to cart,재고가없는 품목을 장바구니에 추가 할 수 있도록 허용,
Amount,양,
Amount Based On Field,금액 필드를 기준으로,
Amount Field,금액 필드,
Attributes,속성,
Brand,상표,
Button Help,버튼 도움말,
Button Label,단추 레이블,
Category Name,카테고리 이름,
Checkout Settings,체크 아웃 설정,
Comment,논평,
Compact Item Print,컴팩트 항목 인쇄,
Company,회사,
Content,목차,
Copy From Item Group,상품 그룹에서 복사,
Currency,통화,
Customer,고객,
Default Customer Group,기본 고객 그룹,
Description,내용,
Display Settings,디스플레이 설정,
Enable Attribute Filters,특성 필터 사용,
Enable Checkout,체크 아웃 활성화,
Enable Shopping Cart,장바구니 사용,
HTML / Banner that will show on the top of product list.,제품 목록의 상단에 표시됩니다 HTML / 배너입니다.,
Has Variants,변형을 가지고,
Hide Variants,변형 숨기기,
Homepage Featured Product,홈페이지 주요 제품,
Image,영상,
Image Description,이미지 설명,
Image View,이미지보기,
Invoices,송장,
Is Active,활성,
Is Billing Contact,결제 연락처,
Is Your Company Address,귀하의 회사 주소입니다,
Item,항목,
Item Code,상품 코드,
Item Description,항목 설명,
Item Details,상품 상세,
Item Fields,항목 입력란,
Item Group,항목 그룹,
Item Image (if not slideshow),상품의 이미지 (그렇지 않으면 슬라이드 쇼),
Item Name,상품명,
Items,아이템,
Keyboard Shortcuts,키보드 단축키,
Label,라벨,
List this Item in multiple groups on the website.,웹 사이트에 여러 그룹에이 항목을 나열합니다.,
More Information,추가 정보,
My Account,내 계정,
Naming Series,시리즈 이름 지정,
Orders,명령,
Payment Gateway,지불 게이트웨이,
Payment Gateway Account,지불 게이트웨이 계정,
Payment Success Url,지불 성공 URL,
Payments,지불,
Price List,가격리스트,
Prices will not be shown if Price List is not set,가격리스트가 설정되지 않은 경우 가격이 표시되지,
Print UOM after Quantity,수량 후 UOM 인쇄,
Print taxes with zero amount,금액이없는 세금 인쇄,
Products,제품,
Products per Page,페이지 당 제품 수,
Published,출판,
Published on,게시일,
Quotation Series,견적 시리즈,
Rating,평가,
Reload,다시로드,
Reviews,리뷰,
Route,노선,
Sales Manager,영업 관리자,
Save Quotations as Draft,견적을 초안으로 저장,
Session Defaults,세션 기본값,
Set Meta Tags,메타 태그 설정,
Shopping Cart,쇼핑 카트,
Show Apply Coupon Code,쿠폰 코드 적용 표시,
Show Contact Us Button,문의 버튼 표시,
Show Price,가격 표시,
Show Public Attachments,공용 첨부 파일 표시,
Show Stock Availability,재고 상태 표시,
Show Stock Quantity,재고 수량 표시,
Show a slideshow at the top of the page,페이지의 상단에 슬라이드 쇼보기,
Show in Website,웹 사이트에 표시,
Show this slideshow at the top of the page,페이지 상단에이 슬라이드 쇼보기,
Slideshow,슬라이드쇼,
Sort Order,정렬 순서,
Stock Manager,재고 관리자,
Stock UOM,재고 UOM,
Stock User,재고 사용자,
System Manager,시스템 관리자,
Tax Category,세금 카테고리,
Thumbnail,미리보기,
Title,제목,
User,사용자,
Variant Of,변형,
View,전망,
View Website,웹 사이트보기,
Warehouse,창고,
Website Content,웹 사이트 콘텐츠,
Website Description,웹 사이트 설명,
Website Image,웹 사이트 이미지,
Website Item Groups,웹 사이트 상품 그룹,
Website Manager,웹 사이트 관리자,
Website Settings,웹 사이트 설정,
Website Specifications,웹 사이트 사양,
Website Warehouse,웹 사이트 창고,
Weightage,Weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,이 필드에는 유효한 부트 스트랩 4 마크 업을 사용할 수 있습니다. 아이템 페이지에 표시됩니다.,
