Accept Payment,చెల్లింపు అంగీకరించు,
After payment completion redirect user to selected page.,చెల్లింపు పూర్తయిన తర్వాత ఎంపిక పేజీకి వినియోగదారు మళ్ళింపు.,
All,ALL,
Allow items not in stock to be added to cart,స్టాక్‌లో లేని అంశాలను కార్ట్‌కు జోడించడానికి అనుమతించండి,
Amount,మొత్తం,
Amount Based On Field,మొత్తం రంగంలో ఆధారంగా,
Amount Field,మొత్తం ఫీల్డ్,
Attributes,గుణాలు,
Brand,బ్రాండ్,
Button Help,బటన్ సహాయం,
Button Label,బటన్ లేబుల్,
Category Name,వర్గం పేరు,
Checkout Settings,తనిఖీ సెట్టింగ్లు,
Comment,వ్యాఖ్య,
Compact Item Print,కాంపాక్ట్ అంశం ప్రింట్,
Company,కంపెనీ,
Content,కంటెంట్,
Copy From Item Group,అంశం గ్రూప్ నుండి కాపీ,
Currency,కరెన్సీ,
Customer,కస్టమర్,
Default Customer Group,డిఫాల్ట్ కస్టమర్ గ్రూప్,
Description,వివరణ,
Display Settings,డిస్ ప్లే సెట్టింగులు,
Enable Attribute Filters,లక్షణ ఫిల్టర్‌లను ప్రారంభించండి,
Enable Checkout,హోటల్ నుంచి బయటకు వెళ్లడం ప్రారంభించు,
Enable Shopping Cart,షాపింగ్ కార్ట్ ప్రారంభించు,
HTML / Banner that will show on the top of product list.,ఉత్పత్తి జాబితా పైన కనిపిస్తాయి ఆ HTML / బ్యానర్.,
Has Variants,రకాల్లో,
Hide Variants,వైవిధ్యాలను దాచండి,
Homepage Featured Product,హోమ్పేజీ ఫీచర్ ఉత్పత్తి,
Image,చిత్రం,
Image Description,చిత్ర వివరణ,
Image View,చిత్రం చూడండి,
Invoices,రసీదులు,
Is Active,చురుకుగా ఉంది,
Is Billing Contact,బిల్లింగ్ పరిచయం,
Is Your Company Address,మీ కంపెనీ అడ్రస్ ఇస్,
Item,అంశం,
Item Code,Item కోడ్,
Item Description,వస్తువు వివరణ,
Item Details,అంశం వివరాలు,
Item Fields,అంశం ఫీల్డ్‌లు,
Item Group,అంశం గ్రూప్,
Item Image (if not slideshow),అంశం చిత్రం (స్లైడ్ లేకపోతే),
Item Name,వస్తువు పేరు,
Items,అంశాలు,
Keyboard Shortcuts,కీబోర్డ్ సత్వరమార్గాలు,
Label,లేబుల్,
List this Item in multiple groups on the website.,వెబ్ సైట్ బహుళ సమూహాలు ఈ అంశం జాబితా.,
More Information,మరింత సమాచారం,
My Account,నా ఖాతా,
Naming Series,నామకరణ సిరీస్,
Orders,ఆర్డర్స్,
Payment Gateway,చెల్లింపు గేట్వే,
Payment Gateway Account,చెల్లింపు గేట్వే ఖాతా,
Payment Success Url,చెల్లింపు విజయవంతం URL,
Payments,చెల్లింపులు,
Price List,కొనుగోలు ధర,
Prices will not be shown if Price List is not set,ధర జాబితా సెట్ చెయ్యకపోతే ధరలు చూపబడవు,
Print UOM after Quantity,పరిమాణం తర్వాత UOM ను ముద్రించండి,
Print taxes with zero amount,సున్నా మొత్తాన్ని పన్నులను ముద్రించండి,
Products,ఉత్పత్తులు,
Products per Page,పేజీకి ఉత్పత్తులు,
Published,ప్రచురణ,
Published on,ప్రచురించబడింది,
Quotation Series,కొటేషన్ సిరీస్,
Rating,రేటింగ్,
Reload,Reload,
Reviews,సమీక్షలు,
Route,రూట్,
Sales Manager,అమ్మకాల నిర్వాహకుడు,
Save Quotations as Draft,కొటేషన్లను డ్రాఫ్ట్ గా సేవ్ చేయండి,
Session Defaults,సెషన్ డిఫాల్ట్‌లు,
Set Meta Tags,మెటా ట్యాగ్‌లను సెట్ చేయండి,
Shopping Cart,కొనుగోలు బుట్ట,
Show Apply Coupon Code,వర్తించు కూపన్ కోడ్ చూపించు,
Show Contact Us Button,మమ్మల్ని సంప్రదించండి బటన్ చూపించు,
Show Price,ధర చూపించు,
Show Public Attachments,పబ్లిక్ అటాచ్మెంట్లు చూపించు,
Show Stock Availability,స్టాక్ లభ్యతను చూపించు,
Show Stock Quantity,స్టాక్ పరిమాణం చూపించు,
Show a slideshow at the top of the page,పేజీ ఎగువన ఒక స్లైడ్ చూపించు,
Show in Website,వెబ్‌సైట్‌లో చూపించు,
Show this slideshow at the top of the page,పేజీ ఎగువన ఈ స్లైడ్ చూపించు,
Slideshow,స్లైడ్,
Sort Order,క్రమబద్ధీకరణ క్రమం,
Stock Manager,స్టాక్ మేనేజర్,
Stock UOM,స్టాక్ UOM,
Stock User,స్టాక్ వాడుకరి,
System Manager,వ్యవస్థ మేనేజర్,
Tax Category,పన్ను వర్గం,
Thumbnail,సూక్ష్మచిత్రం,
Title,శీర్షిక,
User,వాడుకరి,
Variant Of,వేరియంట్,
View,చూడండి,
View Website,చూడండి వెబ్సైట్,
Warehouse,వేర్హౌస్,
Website Content,వెబ్‌సైట్ కంటెంట్,
Website Description,వెబ్సైట్ వివరణ,
Website Image,వెబ్‌సైట్ చిత్రం,
Website Item Groups,వెబ్సైట్ అంశం గుంపులు,
Website Manager,వెబ్సైట్ మేనేజర్,
Website Settings,వెబ్సైట్ సెట్టింగ్లు,
Website Specifications,వెబ్సైట్ లక్షణాలు,
Website Warehouse,వెబ్సైట్ వేర్హౌస్,
Weightage,వెయిటేజీ,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,మీరు ఈ ఫీల్డ్‌లో ఏదైనా చెల్లుబాటు అయ్యే బూట్‌స్ట్రాప్ 4 మార్కప్‌ను ఉపయోగించవచ్చు. ఇది మీ ఐటెమ్ పేజీలో చూపబడుతుంది.,
