Accept Payment,pieņemt Apmaksa,
After payment completion redirect user to selected page.,Pēc maksājuma pabeigšanas novirzīt lietotāju uz izvēlētā lapā.,
All,Visi,
Allow items not in stock to be added to cart,"Atļaut preces, kuras nav noliktavā, pievienot grozam",
Amount,Summa,
Amount Based On Field,"Summa, pamatojoties uz lauka",
Amount Field,summa Field,
Attributes,Atribūti,
Brand,Brand,
Button Help,poga Palīdzība,
Button Label,poga Label,
Category Name,Kategorija Name,
Checkout Settings,Checkout iestatījumi,
Comment,Komentārs,
Compact Item Print,Compact Prece Print,
Company,Kompānija,
Content,Saturs,
Copy From Item Group,Kopēt no posteņa grupas,
Currency,Valūta,
Customer,Klients,
Default Customer Group,Default Klientu Group,
Description,Apraksts,
Display Settings,Displeja iestatījumi,
Enable Attribute Filters,Iespējot atribūtu filtrus,
Enable Checkout,Ieslēgt Checkout,
Enable Shopping Cart,Ieslēgt Grozs,
HTML / Banner that will show on the top of product list.,"HTML / Banner, kas parādīsies uz augšu produktu sarakstu.",
Has Variants,Ir Varianti,
Hide Variants,Slēpt variantus,
Homepage Featured Product,Homepage Featured Product,
Image,Attēls,
Image Description,Attēla apraksts,
Image View,Image View,
Invoices,Rēķini,
Is Active,Vai Active,
Is Billing Contact,Vai ir norēķinu kontakts,
Is Your Company Address,Vai Jūsu uzņēmuma adrese,
Item,Prece,
Item Code,Postenis Code,
Item Description,Vienība Apraksts,
Item Details,Papildus informācija,
Item Fields,Vienuma lauki,
Item Group,Postenis Group,
Item Image (if not slideshow),Postenis attēls (ja ne slideshow),
Item Name,Priekšmeta nosaukums,
Items,Preces,
Keyboard Shortcuts,Tastatūras īsceļi,
Label,Etiķete,
List this Item in multiple groups on the website.,Uzskaitīt šo Prece vairākās grupās par mājas lapā.,
More Information,Vairāk informācijas,
My Account,Mans konts,
Naming Series,Nosaucot Series,
Orders,Pasūtījumi,
Payment Gateway,Maksājumu Gateway,
Payment Gateway Account,Maksājumu Gateway konts,
Payment Success Url,Maksājumu Success URL,
Payments,Maksājumi,
Price List,Cenrādis,
Prices will not be shown if Price List is not set,"Cenas netiks parādīts, ja Cenrādis nav noteikts",
Print UOM after Quantity,Drukāt UOM pēc daudzuma,
Print taxes with zero amount,Drukāt nodokļus ar nulles summu,
Products,Produkti,
Products per Page,Produkti uz lapu,
Published,Izdots,
Published on,Publicēts vietnē,
Quotation Series,Piedāvājuma sērija,
Rating,novērtējums,
Reload,Pārlādēt,
Reviews,Atsauksmes,
Route,Maršruts,
Sales Manager,Pārdošanas vadītājs,
Save Quotations as Draft,Saglabāt citātus kā melnrakstu,
Session Defaults,Sesijas noklusējumi,
Set Meta Tags,Iestatīt meta tagus,
Shopping Cart,Grozs,
Show Apply Coupon Code,Rādīt Lietot kupona kodu,
Show Contact Us Button,Rādīt pogu Sazinieties ar mums,
Show Price,Rādīt cenu,
Show Public Attachments,Parādīt publisko pielikumus,
Show Stock Availability,Rādīt pieejamību,
Show Stock Quantity,Rādīt atlikumu daudzumu,
Show a slideshow at the top of the page,Parādiet slaidrādi augšpusē lapas,
Show in Website,Rādīt vietnē,
Show this slideshow at the top of the page,Parādiet šo slaidrādi augšpusē lapas,
Slideshow,Slaidrādi,
Sort Order,Kārtošanas secība,
Stock Manager,Krājumu pārvaldnieks,
Stock UOM,Krājumu Mērvienība,
Stock User,Stock User,
System Manager,System Manager,
Tax Category,Nodokļu kategorija,
Thumbnail,Thumbnail,
Title,Virsraksts,
User,Lietotājs,
Variant Of,Variants,
View,Skats,
View Website,Skatīt Website,
Warehouse,Noliktava,
Website Content,Vietnes saturs,
Website Description,Mājas lapa Apraksts,
Website Image,Vietnes attēls,
Website Item Groups,Mājas lapa punkts Grupas,
Website Manager,Mājas lapa vadītājs,
Website Settings,Website iestatījumi,
Website Specifications,Website specifikācijas,
Website Warehouse,Web Noliktava,
Weightage,Weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Šajā laukā varat izmantot jebkuru derīgu Bootstrap 4 marķējumu. Tas tiks parādīts jūsu vienuma lapā.,
