Accept Payment,Приеми плащане,
After payment completion redirect user to selected page.,След плащане завършване пренасочи потребителското към избраната страница.,
All,всичко,
Allow items not in stock to be added to cart,"Позволете артикулите, които не са на склад, да бъдат добавени в количката",
Amount,Стойност,
Amount Based On Field,Сума на база на поле,
Amount Field,сума поле,
Attributes,Атрибути,
Brand,Марка,
Button Help,Бутон Помощ,
Button Label,Текст на Бутон,
Category Name,Категория Име,
Checkout Settings,Поръчка - Настройки,
Comment,коментар,
Compact Item Print,Компактен печат на елементи,
Company,Компания,
Content,Съдържание,
Copy From Item Group,Копирай от група позиция,
Currency,Валута,
Customer,клиент,
Default Customer Group,Клиентска група по подразбиране,
Description,Описание,
Display Settings,Настройки на дисплея,
Enable Attribute Filters,Активиране на филтри за атрибути,
Enable Checkout,Активиране Checkout,
Enable Shopping Cart,Активиране на количката,
HTML / Banner that will show on the top of product list.,"HTML / банер, който ще се появи на върха на списъка с продукти.",
Has Variants,Има варианти,
Hide Variants,Скриване на варианти,
Homepage Featured Product,Начална страница Featured Каталог,
Image,Изображение,
Image Description,Описание на изображението,
Image View,Вижте изображението,
Invoices,Фактури,
Is Active,Е активен,
Is Billing Contact,Контакт за фактуриране,
Is Your Company Address,Вашата компания Адрес,
Item,Артикул,
Item Code,Код,
Item Description,Позиция Описание,
Item Details,Подробности за елемента,
Item Fields,Полета на артикулите,
Item Group,Група позиции,
Item Image (if not slideshow),Позиция - снимка (ако не слайдшоу),
Item Name,Име на предмета,
Items,Позиции,
Keyboard Shortcuts,Комбинация от клавиши,
Label,етикет,
List this Item in multiple groups on the website.,Списък този продукт в няколко групи в сайта.,
More Information,Повече информация,
My Account,Моят Профил,
Naming Series,Поредни Номера,
Orders,Поръчки,
Payment Gateway,Портал за плащания,
Payment Gateway Account,Портал за плащания - Акаунт,
Payment Success Url,Успешно плащане URL,
Payments,Плащания,
Price List,Ценова листа,
Prices will not be shown if Price List is not set,"Цените няма да се показват, ако ценова листа не е настроено",
Print UOM after Quantity,Отпечатайте UOM след Количество,
Print taxes with zero amount,Печатайте данъци с нулева сума,
Products,Продукти,
Products per Page,Продукти на страница,
Published,Публикуван,
Published on,Публикувано на,
Quotation Series,Оферта Series,
Rating,оценка,
Reload,Презареди,
Reviews,Отзиви,
Route,маршрут,
Sales Manager,Мениджър Продажби,
Save Quotations as Draft,Запазете котировките като чернова,
Session Defaults,Сесия по подразбиране,
Set Meta Tags,Задайте мета тагове,
Shopping Cart,Количка за пазаруване,
Show Apply Coupon Code,Показване на прилагане на кода на купона,
Show Contact Us Button,Покажи бутон Свържете се с нас,
Show Price,Показване на цената,
Show Public Attachments,Показване на публичните прикачени файлове,
Show Stock Availability,Показване на наличностите в наличност,
Show Stock Quantity,Показване на наличностите,
Show a slideshow at the top of the page,Покажи на слайдшоу в горната част на страницата,
Show in Website,Показване в уебсайт,
Show this slideshow at the top of the page,Покажете слайдшоу в горната част на страницата,
Slideshow,Slideshow,
Sort Order,Ред на сортиране,
Stock Manager,Склад за мениджъра,
Stock UOM,Склад - мерна единица,
Stock User,Склад за потребителя,
System Manager,Мениджър на система,
Tax Category,Данъчна категория,
Thumbnail,Thumbnail,
Title,Заглавие,
User,потребител,
Variant Of,Вариант на,
View,Изглед,
View Website,Виж Website,
Warehouse,Склад,
Website Content,Съдържание на уебсайтове,
Website Description,Website Описание,
Website Image,Изображение на уебсайт,
Website Item Groups,Website стокови групи,
Website Manager,Сайт на мениджъра,
Website Settings,Настройки Сайт,
Website Specifications,Сайт Спецификации,
Website Warehouse,Склад за уебсайта,
Weightage,Weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Можете да използвате всяко валидно обозначение Bootstrap 4 в това поле. Той ще бъде показан на страницата ви с артикули.,
