Accept Payment,भुगतान स्वीकार,
After payment completion redirect user to selected page.,भुगतान पूरा होने के बाद चयनित पृष्ठ के लिए उपयोगकर्ता अनुप्रेषित।,
All,सब,
Allow items not in stock to be added to cart,आइटम को कार्ट में नहीं जोड़ने की अनुमति दें,
Amount,राशि,
Amount Based On Field,राशि क्षेत्र के आधार पर,
Amount Field,राशि फ़ील्ड,
Attributes,गुण,
Brand,ब्रांड,
Button Help,बटन की मदद,
Button Label,बटन लेबल,
Category Name,श्रेणी नाम,
Checkout Settings,चेकआउट सेटिंग,
Comment,टिप्पणी,
Compact Item Print,कॉम्पैक्ट मद प्रिंट,
Company,कंपनी,
Content,सामग्री,
Copy From Item Group,आइटम समूह से कॉपी,
Currency,मुद्रा,
Customer,ग्राहक,
Default Customer Group,डिफ़ॉल्ट ग्राहक समूह,
Description,विवरण,
Display Settings,सेटिंग्स प्रदर्शित करें,
Enable Attribute Filters,विशेषता फ़िल्टर सक्षम करें,
Enable Checkout,चेकआउट सक्षम करें,
Enable Shopping Cart,शॉपिंग कार्ट सक्षम करें,
HTML / Banner that will show on the top of product list.,HTML बैनर / कि उत्पाद सूची के शीर्ष पर दिखाई देगा.,
Has Variants,वेरिएंट है,
Hide Variants,वेरिएंट छिपाएँ,
Homepage Featured Product,मुखपृष्ठ रुप से प्रदर्शित उत्पाद,
Image,छवि,
Image Description,चित्र का वर्णन,
Image View,छवि देखें,
Invoices,चालान,
Is Active,सक्रिय है,
Is Billing Contact,बिलिंग संपर्क है,
Is Your Company Address,आपकी कंपनी पता है,
Item,मद,
Item Code,आइटम कोड,
Item Description,आइटम विवरण,
Item Details,आइटम विवरण,
Item Fields,आइटम फ़ील्ड्स,
Item Group,आइटम समूह,
Item Image (if not slideshow),छवि (यदि नहीं स्लाइड शो),
Item Name,वस्तु का नाम,
Items,आइटम,
Keyboard Shortcuts,कुंजीपटल अल्प मार्ग,
Label,लेबल,
List this Item in multiple groups on the website.,कई समूहों में वेबसाइट पर इस मद की सूची.,
More Information,अधिक जानकारी,
My Account,मेरा खाता,
Naming Series,श्रृंखला का नामकरण,
Orders,आदेश,
Payment Gateway,भुगतान के लिए रास्ता,
Payment Gateway Account,पेमेंट गेटवे खाते,
Payment Success Url,भुगतान सफलता यूआरएल,
Payments,भुगतान,
Price List,कीमत सूची,
Prices will not be shown if Price List is not set,दाम नहीं दिखाया जाएगा अगर कीमत सूची सेट नहीं है,
Print UOM after Quantity,मात्रा के बाद UOM प्रिंट करें,
Print taxes with zero amount,शून्य राशि के साथ करों को प्रिंट करें,
Products,उत्पाद,
Products per Page,प्रति पृष्ठ उत्पाद,
Published,प्रकाशित,
Published on,पर प्रकाशित,
Quotation Series,कोटेशन सीरीज,
Rating,रेटिंग,
Reload,सीमा से अधिक लादना,
Reviews,समीक्षा,
Route,मार्ग,
Sales Manager,बिक्री प्रबंधक,
Save Quotations as Draft,ड्राफ़्ट के रूप में उद्धरण सहेजें,
Session Defaults,सत्र चूक,
Set Meta Tags,मेटा टैग सेट करें,
Shopping Cart,खरीदारी की टोकरी,
Show Apply Coupon Code,कूपन कोड लागू करें दिखाएं,
Show Contact Us Button,हमसे संपर्क करें बटन दिखाएं,
Show Price,मूल्य दिखाएं,
Show Public Attachments,सार्वजनिक अनुलग्नक दिखाएं,
Show Stock Availability,स्टॉक उपलब्धता दिखाएं,
Show Stock Quantity,स्टॉक मात्रा दिखाएं,
Show a slideshow at the top of the page,पृष्ठ के शीर्ष पर एक स्लाइड शो दिखाएँ,
Show in Website,वेबसाइट में दिखाएं,
Show this slideshow at the top of the page,पृष्ठ के शीर्ष पर इस स्लाइड शो दिखाएँ,
Slideshow,स्लाइड शो,
Sort Order,सॉर्ट क्रम,
Stock Manager,शेयर प्रबंधक,
Stock UOM,स्टॉक UOM,
Stock User,शेयर उपयोगकर्ता,
System Manager,सिस्टम प्रबंधक,
Tax Category,कर श्रेणी,
Thumbnail,थंबनेल,
Title,शीर्षक,
User,उपयोगकर्ता,
Variant Of,का वेरिएंट,
View,राय,
View Website,वेबसाइट देखें,
Warehouse,गोदाम,
Website Content,वेबसाइट की सामग्री,
Website Description,वेबसाइट विवरण,
Website Image,वेबसाइट छवि,
Website Item Groups,वेबसाइट आइटम समूह,
Website Manager,वेबसाइट प्रबंधक,
Website Settings,वेबसाइट सेटिंग,
Website Specifications,वेबसाइट निर्दिष्टीकरण,
Website Warehouse,वेबसाइट वेअरहाउस,
Weightage,महत्व,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,आप इस क्षेत्र में किसी भी मान्य बूटस्ट्रैप 4 मार्कअप का उपयोग कर सकते हैं। यह आपके आइटम पृष्ठ पर दिखाया जाएगा।,
