About,О,
Accept Payment,прихвати плаћање,
After payment completion redirect user to selected page.,Након завршетка уплате преусмерава корисника на одабране стране.,
All,Све,
Allow items not in stock to be added to cart,Дозволите да се додају у кошарицу артикли који нису на складишту,
Amount,Vrijednost,
Amount Based On Field,Износ Басед Он Фиелд,
Amount Field,iznos polje,
Apps,Апликације,
Attributes,Атрибути,
Brand,Бренд,
Button Help,дугме Помоћ,
Button Label,dugme Страна,
Category Name,Назив категорије,
Checkout Settings,Плаћање подешавања,
Comment,Коментар,
Compact Item Print,Компактан артикла Штампа,
Company,Preduzeće,
Content,Садржај,
Copy From Item Group,Копирање из ставке групе,
Currency,Валута,
Customer,Купац,
Default Customer Group,Уобичајено групу потрошача,
Description,Опис,
Display Settings,Дисплаи Сеттингс,
Documentation,Dokumentacija,
Enable Attribute Filters,Омогући филтере атрибута,
Enable Checkout,Омогући Цхецкоут,
Enable Shopping Cart,Омогући Корпа,
Frappe Support,Frappe подршка,
HTML / Banner that will show on the top of product list.,ХТМЛ / банер који ће се појавити на врху листе производа.,
Has Variants,Хас Варијанте,
Hide Variants,Сакриј варијанте,
Homepage Featured Product,Страница Представљамо производа,
Image,Слика,
Image Description,Опис слике,
Image View,Преглед слике,
Invoices,Рачуни,
Is Active,Активно,
Is Billing Contact,Да ли је контакт за наплату,
Is Your Company Address,Ис Иоур Адреса фирме,
Item,ставка,
Item Code,Шифра,
Item Description,Ставка Опис,
Item Details,Детаљи артикла,
Item Fields,Поља предмета,
Item Group,Ставка Група,
Item Image (if not slideshow),Артикал слика (ако не слидесхов),
Item Name,Назив производа,
Items,Артикли,
Keyboard Shortcuts,Пречице на тастатури,
Label,Ознака,
List this Item in multiple groups on the website.,Наведи ову ставку у више група на сајту.,
Log out,Ођавите се,
More Information,Више информација,
My Account,Мој налог,
My Settings,Moja podešavanja,
Naming Series,Серија именовања,
Orders,Поруџбине,
Payment Gateway,Паимент Гатеваи,
Payment Gateway Account,Паимент Гатеваи налог,
Payment Success Url,Плаћање Успех УРЛ адреса,
Payments,Plaćanja,
Price List,Ценовник,
Prices will not be shown if Price List is not set,Цене неће бити приказан ако Ценовник није подешен,
Print UOM after Quantity,Одштампај УОМ након количине,
Print taxes with zero amount,Штампај порез са нултим износом,
Products,Продукты,
Products per Page,Производи по страници,
Published,Објављено,
Published on,Објављено на,
Quotation Series,Цитат Серија,
Rating,Оцена,
Reload,Поновно учитавање,
Reviews,Коментара,
Route,Путања,
Sales Manager,Менаџер продаје,
Save Quotations as Draft,Сачувајте цитате као нацрт,
Session Defaults,Подразумеване вредности сесије,
Set Meta Tags,Постављање мета тагова,
Shopping Cart,Корпа,
Show Apply Coupon Code,Прикажи Примени код купона,
Show Contact Us Button,Прикажи дугме Контактирајте нас,
Show Price,Прикажи цену,
Show Public Attachments,Схов Публиц Прилози,
Show Stock Availability,Схов Стоцк Аваилабилити,
Show Stock Quantity,Схов Стоцк Куантити,
Show a slideshow at the top of the page,Приказивање слајдова на врху странице,
Show in Website,Прикажи на веб локацији,
Show this slideshow at the top of the page,Покажи ову пројекцију слајдова на врху странице,
Slideshow,Презентација,
Sort Order,Редослед сортирања,
Stock Manager,Сток директор,
Stock UOM,Берза УОМ,
Stock User,Сток Корисник,
System Manager,Систем менаџер,
Tax Category,Пореска категорија,
Thumbnail,Умањени,
Title,Наслов,
Toggle Full Width,Пребаци у пуну ширину,
Toggle Theme,Промени тему,
User,Корисник,
Variant Of,Вариант Оф,
View,Приказ,
View Website,Прикажи веб-сајт,
Warehouse,Складиште,
Website Content,Садржај веб странице,
Website Description,Вебсајт Опис,
Website Image,Слика веб странице,
Website Item Groups,Сајт Итем Групе,
Website Manager,Менаџер за веб-сајт,
Website Settings,Подешавање веб-сајта,
Website Specifications,Сајт Спецификације,
Website Warehouse,Сајт Магацин,
Weightage,Веигхтаге,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,У овом пољу можете користити било који важећи ознаку Боотстрап 4. То ће бити приказано на вашој страници са ставкама.,
