Accept Payment,accepti el pagament,
After payment completion redirect user to selected page.,Després de la realització del pagament redirigir l&#39;usuari a la pàgina seleccionada.,
All,Tots,
Allow items not in stock to be added to cart,Permetre afegir articles a la cistella,
Amount,Quantitat,
Amount Based On Field,Quantitat basada en el Camp,
Amount Field,El camp suma,
Attributes,Atributs,
Brand,Marca comercial,
Button Help,El botó d&#39;ajuda,
Button Label,Etiqueta de botó,
Category Name,Nom de categoria,
Checkout Settings,Comanda Ajustaments,
Comment,Comentar,
Compact Item Print,Compacte article Imprimir,
Company,Empresa,
Content,Contingut,
Copy From Item Group,Copiar del Grup d'Articles,
Currency,Moneda,
Customer,Client,
Default Customer Group,Grup predeterminat Client,
Description,Descripció,
Display Settings,Configuració de pantalla,
Enable Attribute Filters,Activa els filtres d’atributs,
Enable Checkout,habilitar Comanda,
Enable Shopping Cart,Habilita Compres,
HTML / Banner that will show on the top of product list.,HTML / Banner que apareixerà a la part superior de la llista de productes.,
Has Variants,Té variants,
Hide Variants,Amagueu les variants,
Homepage Featured Product,Pàgina d&#39;inici Producte destacat,
Image,Imatge,
Image Description,Descripció de la imatge,
Image View,Veure imatges,
Invoices,Factures,
Is Active,Està actiu,
Is Billing Contact,És el contacte de facturació,
Is Your Company Address,La seva adreça és l&#39;empresa,
Item,Article,
Item Code,Codi de l'article,
Item Description,Descripció de l'Article,
Item Details,Detalls de l'article,
Item Fields,Camps de l&#39;element,
Item Group,Grup d'articles,
Item Image (if not slideshow),Imatge de l'article (si no hi ha presentació de diapositives),
Item Name,Nom de l&#39;ítem,
Items,Articles,
Keyboard Shortcuts,Dreceres de teclat,
Label,Etiqueta,
List this Item in multiple groups on the website.,Fes una llista d'articles en diversos grups en el lloc web.,
More Information,Més informació,
My Account,El meu compte,
Naming Series,Sèrie de nomenclatura,
Orders,Ordres,
Payment Gateway,Passarel·la de Pagament,
Payment Gateway Account,Compte Passarel·la de Pagament,
Payment Success Url,Pagament URL Èxit,
Payments,Pagaments,
Price List,Llista de preus,
Prices will not be shown if Price List is not set,Els preus no es mostren si la llista de preus no s&#39;ha establert,
Print UOM after Quantity,Imprimiu UOM després de Quantity,
Print taxes with zero amount,Imprimiu impostos amb import zero,
Products,Productes,
Products per Page,Productes per pàgina,
Published,Publicat,
Published on,Publicat el,
Quotation Series,Sèrie Cotització,
Rating,classificació,
Reload,Recarregar,
Reviews,Ressenyes,
Route,Ruta,
Sales Manager,Gerent De Vendes,
Save Quotations as Draft,Desa les ofertes com a esborrany,
Session Defaults,Defectes predeterminats de la sessió,
Set Meta Tags,Estableix les etiquetes meta,
Shopping Cart,Carro De La Compra,
Show Apply Coupon Code,Mostra Aplica el codi de cupó,
Show Contact Us Button,Mostra el botó de contacte,
Show Price,Mostra preu,
Show Public Attachments,Mostra adjunts Públiques,
Show Stock Availability,Mostra la disponibilitat d&#39;existències,
Show Stock Quantity,Mostra la quantitat d&#39;existències,
Show a slideshow at the top of the page,Mostra una presentació de diapositives a la part superior de la pàgina,
Show in Website,Mostra al lloc web,
Show this slideshow at the top of the page,Mostra aquesta presentació de diapositives a la part superior de la pàgina,
Slideshow,Slideshow,
Sort Order,Ordre de Classificació,
Stock Manager,Gerent,
Stock UOM,UDM de l'Estoc,
Stock User,Fotografia de l&#39;usuari,
System Manager,Administrador del sistema,
Tax Category,Categoria Tributària,
Thumbnail,Ungla del polze,
Title,Títol,
User,Usuari,
Variant Of,Variant de,
View,Veure,
View Website,Veure Lloc Web,
Warehouse,Magatzem,
Website Content,Contingut del lloc web,
Website Description,Descripció del lloc web,
Website Image,Imatge del lloc web,
Website Item Groups,Grups d'article del Web,
Website Manager,Gestor de la Pàgina web,
Website Settings,Configuració del lloc web,
Website Specifications,Especificacions del lloc web,
Website Warehouse,Lloc Web del magatzem,
Weightage,Weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Podeu utilitzar qualsevol marca de Bootstrap 4 vàlida en aquest camp. Es mostrarà a la vostra pàgina d’elements.,
