Accept Payment,võta vastu makseid,
After payment completion redirect user to selected page.,Pärast makse lõpetamist suunata kasutaja valitud leheküljele.,
All,Kõik,
Allow items not in stock to be added to cart,Lubamata toodete lisamine ostukorvi,
Amount,Summa,
Amount Based On Field,Põhinev summa Field,
Amount Field,summa Field,
Attributes,Näitajad,
Brand,Põletusmärk,
Button Help,Button Abi,
Button Label,Button Label,
Category Name,Kategooria nimi,
Checkout Settings,Minu tellimused seaded,
Comment,Kommenteeri,
Compact Item Print,Kompaktne Punkt Prindi,
Company,Ettevõte,
Content,Sisu,
Copy From Item Group,Kopeeri Punkt Group,
Currency,Valuuta,
Customer,Klienditeenindus,
Default Customer Group,Vaikimisi Kliendi Group,
Description,Kirjeldus,
Display Settings,Kuva seaded,
Enable Attribute Filters,Luba atribuudifiltrid,
Enable Checkout,Luba tellimused,
Enable Shopping Cart,Luba Ostukorv,
HTML / Banner that will show on the top of product list.,HTML / Banner mis näitavad peal toodet nimekirja.,
Has Variants,Omab variandid,
Hide Variants,Peida variandid,
Homepage Featured Product,Kodulehekülg Valitud toode,
Image,Pilt,
Image Description,Pildi kirjeldus,
Image View,Pilt Vaata,
Invoices,Arved,
Is Active,Kas Active,
Is Billing Contact,Kas arvelduskontakt,
Is Your Company Address,Kas teie firma Aadress,
Item,Kirje,
Item Code,Tootekood,
Item Description,Toote kirjeldus,
Item Details,Üksuse detailid,
Item Fields,Üksuse väljad,
Item Group,Punkt Group,
Item Image (if not slideshow),Punkt Image (kui mitte slideshow),
Item Name,Asja nimi,
Items,Esemed,
Keyboard Shortcuts,Klaviatuuri otseteed,
Label,Etikett,
List this Item in multiple groups on the website.,Nimekiri see toode mitmes rühmade kodulehel.,
More Information,Rohkem informatsiooni,
My Account,Minu konto,
Naming Series,Nimetades Series,
Orders,Tellimused,
Payment Gateway,Payment Gateway,
Payment Gateway Account,Payment Gateway konto,
Payment Success Url,Makse Edu URL,
Payments,Maksed,
Price List,Hinnakiri,
Prices will not be shown if Price List is not set,"Hinnad ei näidata, kui hinnakiri ei ole valitud",
Print UOM after Quantity,Prindi UOM pärast kogust,
Print taxes with zero amount,Prindi maksud nullmääraga,
Products,Tooted,
Products per Page,Tooteid lehel,
Published,Avaldatud,
Published on,Avaldatud,
Quotation Series,Tsitaat Series,
Rating,Hinnang,
Reload,Reload,
Reviews,Ülevaated,
Route,marsruut,
Sales Manager,Müügijuht,
Save Quotations as Draft,Pakkumiste salvestamine mustandina,
Session Defaults,Seansi vaikeväärtused,
Set Meta Tags,Määrake metasildid,
Shopping Cart,Ostukorv,
Show Apply Coupon Code,Kuva Kupongi koodi rakendamine,
Show Contact Us Button,Näita nuppu Võta meiega ühendust,
Show Price,Näita hinda,
Show Public Attachments,Näita avalikud failid,
Show Stock Availability,Näita toote laost,
Show Stock Quantity,Näita tootekogust,
Show a slideshow at the top of the page,Näita slaidiseansi ülaosas lehele,
Show in Website,Kuva veebisaidil,
Show this slideshow at the top of the page,Näita seda slideshow ülaosas lehele,
Slideshow,Slideshow,
Sort Order,Järjekord,
Stock Manager,Stock Manager,
Stock UOM,Stock UOM,
Stock User,Stock Kasutaja,
System Manager,Süsteemihaldur,
Tax Category,Maksukategooria,
Thumbnail,Pisipilt,
Title,Pealkiri,
User,Kasutaja,
Variant Of,Variant,
View,Vaade,
View Website,Vaata Koduleht,
Warehouse,Ladu,
Website Content,Veebisaidi sisu,
Website Description,Koduleht kirjeldus,
Website Image,Veebisaidi pilt,
Website Item Groups,Koduleht Punkt Groups,
Website Manager,Koduleht Manager,
Website Settings,Koduleht Seaded,
Website Specifications,Koduleht erisused,
Website Warehouse,Koduleht Warehouse,
Weightage,Weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Sellel väljal saate kasutada mis tahes kehtivat Bootstrap 4 märgistust. Seda kuvatakse teie üksuse lehel.,
