Accept Payment,Aceitar Pagamento,
After payment completion redirect user to selected page.,Após a conclusão do pagamento redirecionar usuário para a página selecionada.,
All,Todos,
Allow items not in stock to be added to cart,Permitir que itens não em estoque sejam adicionados ao carrinho,
Amount,Montante,
Amount Based On Field,Total Baseado no Campo,
Amount Field,Campo Valor,
Attributes,Atributos,
Brand,Marca,
Button Help,Botão de Ajuda,
Button Label,Etiqueta do botão,
Category Name,Nome da Categoria,
Checkout Settings,Configurações de Vendas,
Comment,Comentário,
Compact Item Print,Imprimir Item no Formato Compacto,
Company,Empresa,
Content,Conteúdo,
Copy From Item Group,Copiar do Item do Grupo,
Currency,Moeda,
Customer,Cliente,
Default Customer Group,Grupo de Clientes Padrão,
Description,Descrição,
Display Settings,Configurações de Exibição,
Enable Attribute Filters,Ativar Filtros de Atributo,
Enable Checkout,Ativar Caixa,
Enable Shopping Cart,Ativar Carrinho de Compras,
HTML / Banner that will show on the top of product list.,HTML / Faixa que vai ser mostrada no topo da lista de produtos.,
Has Variants,Tem Variantes,
Hide Variants,Ocultar Variantes,
Homepage Featured Product,Produtos Em Destaque na Página Inicial,
Image,Imagem,
Image Description,Descrição da Imagem,
Image View,Visualização de Imagem,
Invoices,Faturas,
Is Active,É Ativo,
Is Billing Contact,É contato de cobrança,
Is Your Company Address,É o seu endereço comercial,
Item,Item,
Item Code,Código do Item,
Item Description,Descrição do Item,
Item Details,Detalhes do Item,
Item Fields,Campos de Item,
Item Group,Grupo de Itens,
Item Image (if not slideshow),Imagem do Item (se não for slideshow),
Item Name,Nome do Item,
Items,Itens,
Keyboard Shortcuts,Atalhos do teclado,
Label,Rótulo,
List this Item in multiple groups on the website.,Listar este item em vários grupos no site.,
More Information,Mais Informações,
My Account,Minha Conta,
Naming Series,Código Dos Documentos,
Orders,Pedidos,
Payment Gateway,Gateway de Pagamento,
Payment Gateway Account,Integração Com Api's de Meios de Pagamento,
Payment Success Url,URL de Confirmação de Pagamento,
Payments,Pagamentos,
Price List,Lista de Preços,
Prices will not be shown if Price List is not set,Os preços não serão mostrados se a lista de preços não estiver configurada,
Print UOM after Quantity,Imprimir UOM após a quantidade,
Print taxes with zero amount,Imprima impostos com montante zero,
Products,Produtos,
Products per Page,Produtos Por Página,
Published,Publicado,
Published on,Publicado Em,
Quotation Series,Séries de Orçamento,
Rating,Rating,
Reload,Recarregar,
Reviews,Revisões,
Route,Rota,
Sales Manager,Gerente de Vendas,
Save Quotations as Draft,Salvar Citações Como Rascunho,
Session Defaults,Padrões de Sessão,
Set Meta Tags,Definir Meta Tags,
Shopping Cart,Carrinho de Compras,
Show Apply Coupon Code,Mostrar Aplicar Código de Cupom,
Show Contact Us Button,Mostrar Entre Em Contato Conosco,
Show Price,Mostrar Preço,
Show Public Attachments,Mostrar Anexos Públicos,
Show Stock Availability,Mostrar Disponibilidade de Estoque,
Show Stock Quantity,Mostrar a Quantidade de Estoque,
Show a slideshow at the top of the page,Mostrar uma apresentação de slides no topo da página,
Show in Website,Mostrar no Site,
Show this slideshow at the top of the page,Mostrar esta apresentação de slides no topo da página,
Slideshow,Apresentação de Slides,
Sort Order,Ordem de classificação,
Stock Manager,Gerente de Estoque,
Stock UOM,Unidade de Medida do Estoque,
Stock User,Usuário de Estoque,
System Manager,Administrador do Sistema,
Tax Category,Categoria de Impostos,
Thumbnail,Miniatura,
Title,Título,
User,Usuário,
Variant Of,Variante De,
View,Visão,
View Website,Ver  Site,
Warehouse,Armazém,
Website Content,Conteúdo do Site,
Website Description,Descrição do Site,
Website Image,Imagem do Site,
Website Item Groups,Grupos de Itens do Site,
Website Manager,Administrador do Site,
Website Settings,Configurações do Site,
Website Specifications,Especificações do Site,
Website Warehouse,Armazém do Site,
Weightage,Peso,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Você pode usar qualquer marcação válida do Bootstrap 4 nesse campo. Será mostrado na sua página de itens.,
