Accept Payment,Terima Pembayaran,
After payment completion redirect user to selected page.,Setelah selesai pembayaran mengarahkan pengguna ke halaman yang dipilih.,
All,Semua,
Allow items not in stock to be added to cart,Izinkan item yang tidak ada stok ditambahkan ke troli,
Amount,Total,
Amount Based On Field,Jumlah Berdasarkan Bidang,
Amount Field,jumlah Lapangan,
Attributes,Atribut,
Brand,Merek,
Button Help,Tombol Bantuan,
Button Label,Tombol Label,
Category Name,Kategori Nama,
Checkout Settings,Pengaturan Checkout,
Comment,Komentar,
Compact Item Print,Kompak Barang Cetak,
Company,Perusahaan,
Content,Isi Halaman,
Copy From Item Group,Salin Dari Grup Stok Barang,
Currency,Mata uang,
Customer,Pelanggan,
Default Customer Group,Kelompok Pelanggan Standar,
Description,Deskripsi,
Display Settings,Pengaturan Tampilan,
Enable Attribute Filters,Aktifkan Filter Atribut,
Enable Checkout,aktifkan Checkout,
Enable Shopping Cart,Aktifkan Keranjang Belanja,
HTML / Banner that will show on the top of product list.,HTML / Banner yang akan muncul di bagian atas daftar produk.,
Has Variants,Memiliki Varian,
Hide Variants,Sembunyikan Varian,
Homepage Featured Product,Homepage Produk Pilihan,
Image,Gambar,
Image Description,Uraian gambar; kesan,
Image View,Citra Tampilan,
Invoices,Faktur,
Is Active,Aktif,
Is Billing Contact,Apakah Kontak Penagihan,
Is Your Company Address,Apakah Alamat Perusahaan Anda,
Item,Barang,
Item Code,Kode Item,
Item Description,Deskripsi barang,
Item Details,Item detail,
Item Fields,Bidang Barang,
Item Group,Item Grup,
Item Image (if not slideshow),Gambar Stok Barang (jika tidak slideshow),
Item Name,Nama barang,
Items,Items,
Keyboard Shortcuts,Pintasan keyboard,
Label,Label,
List this Item in multiple groups on the website.,Daftar Stok Barang ini dalam beberapa kelompok di website.,
More Information,Informasi lebih,
My Account,Akun Saya,
Naming Series,Series Penamaan,
Orders,Order,
Payment Gateway,Gerbang pembayaran,
Payment Gateway Account,Pembayaran Rekening Gateway,
Payment Success Url,Pembayaran Sukses URL,
Payments,2. Payment (Pembayaran),
Price List,Daftar Harga,
Prices will not be shown if Price List is not set,Harga tidak akan ditampilkan jika Harga Daftar tidak diatur,
Print UOM after Quantity,Cetak UOM setelah Kuantitas,
Print taxes with zero amount,Cetak pajak dengan jumlah nol,
Products,Produk,
Products per Page,Produk per Halaman,
Published,Diterbitkan,
Published on,Diterbitkan di,
Quotation Series,Seri Penawaran,
Rating,penilaian,
Reload,Mengisi kembali,
Reviews,Ulasan,
Route,Rute,
Sales Manager,Sales Manager,
Save Quotations as Draft,Simpan Kutipan sebagai Draf,
Session Defaults,Default Sesi,
Set Meta Tags,Setel Tag Meta,
Shopping Cart,Daftar Belanja,
Show Apply Coupon Code,Tampilkan Terapkan Kode Kupon,
Show Contact Us Button,Tampilkan Tombol Hubungi Kami,
Show Price,Tampilkan Harga,
Show Public Attachments,Tampilkan Lampiran Umum,
Show Stock Availability,Tampilkan Ketersediaan Stok,
Show Stock Quantity,Tampilkan Kuantitas Saham,
Show a slideshow at the top of the page,Tampilkan slideshow di bagian atas halaman,
Show in Website,Tampilkan di Situs Web,
Show this slideshow at the top of the page,Tampilkan slide ini di bagian atas halaman,
Slideshow,Rangkai Salindia,
Sort Order,Tata Urutan,
Stock Manager,Pengelola Persediaan,
Stock UOM,UOM Persediaan,
Stock User,Pengguna Persediaan,
System Manager,System Manager,
Tax Category,Kategori Pajak,
Thumbnail,Kuku ibu jari,
Title,Judul,
User,Pengguna,
Variant Of,Varian Dari,
View,Melihat,
View Website,Lihat Situs Web,
Warehouse,Gudang,
Website Content,Konten situs web,
Website Description,Website Description,
Website Image,Gambar Situs Web,
Website Item Groups,Situs Grup Stok Barang,
Website Manager,Website Manager,
Website Settings,Pengaturan situs web,
Website Specifications,Website Spesifikasi,
Website Warehouse,Situs Gudang,
Weightage,Weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Anda dapat menggunakan markah Bootstrap 4 apa pun yang valid di bidang ini. Itu akan ditampilkan pada Halaman Item Anda.,
