Accept Payment,Aceite o pagamento,
After payment completion redirect user to selected page.,"Após o pagamento ter sido efetuado, redireciona o utilizador para a página selecionada.",
All,Todos,
Allow items not in stock to be added to cart,Permitir que itens não em estoque sejam adicionados ao carrinho,
Amount,Montante,
Amount Based On Field,Montante baseado em campo,
Amount Field,Valor campo,
Attributes,Atributos,
Brand,Marca,
Button Help,botão Ajuda,
Button Label,Etiqueta do botão,
Category Name,Nome da Categoria,
Checkout Settings,Definições de Saída,
Comment,Comente,
Compact Item Print,Cópia de Item Compacta,
Company,Empresa,
Content,Conteúdo,
Copy From Item Group,Copiar do Grupo do Item,
Currency,Moeda,
Customer,Cliente,
Default Customer Group,Grupo de Clientes Padrão,
Description,Descrição,
Display Settings,Configurações de exibição,
Enable Attribute Filters,Ativar filtros de atributo,
Enable Checkout,Ativar Check-out,
Enable Shopping Cart,Ativar Carrinho de Compras,
HTML / Banner that will show on the top of product list.,O HTML / Banner que será mostrado no topo da lista de produtos.,
Has Variants,Tem Variantes,
Hide Variants,Ocultar variantes,
Homepage Featured Product,Página Inicial do Produto Em Destaque,
Image,Imagem,
Image Description,Descrição da imagem,
Image View,Vista de Imagem,
Invoices,Faturas,
Is Active,É Ativa,
Is Billing Contact,É contato de cobrança,
Is Your Company Address,É o Seu Endereço Empresarial,
Item,Item,
Item Code,Código do item,
Item Description,descrição do item,
Item Details,Item Detalhes,
Item Fields,Campos de item,
Item Group,Grupo do Item,
Item Image (if not slideshow),Imagem do Item (se não for diapositivo de imagens),
Item Name,Nome do item,
Items,Itens,
Keyboard Shortcuts,Atalhos do teclado,
Label,Rótulo,
List this Item in multiple groups on the website.,Listar este item em vários grupos do website.,
More Information,Mais Informação,
My Account,Minha Conta,
Naming Series,Série de Atrib. de Nomes,
Orders,Pedidos,
Payment Gateway,Portal de Pagamento,
Payment Gateway Account,Conta de Portal de Pagamento,
Payment Success Url,URL de Sucesso de Pagamento,
Payments,Pagamentos,
Price List,Lista de preços,
Prices will not be shown if Price List is not set,Os preços não será mostrado se Preço de tabela não está definido,
Print UOM after Quantity,Imprimir UOM após a quantidade,
Print taxes with zero amount,Imprima impostos com montante zero,
Products,Produtos,
Products per Page,Produtos por Página,
Published,Publicado,
Published on,publicado em,
Quotation Series,Série de Cotação,
Rating,Avaliação,
Reload,recarregar,
Reviews,Rever,
Route,Rota,
Sales Manager,Gestor De Vendas,
Save Quotations as Draft,Salvar citações como rascunho,
Session Defaults,Padrões de Sessão,
Set Meta Tags,Definir meta tags,
Shopping Cart,Carrinho de compras,
Show Apply Coupon Code,Mostrar Aplicar Código de Cupom,
Show Contact Us Button,Mostrar entre em contato conosco,
Show Price,Mostrar preço,
Show Public Attachments,Mostrar anexos públicos,
Show Stock Availability,Mostrar disponibilidade de estoque,
Show Stock Quantity,Mostrar a quantidade de estoque,
Show a slideshow at the top of the page,Ver uma apresentação de slides no topo da página,
Show in Website,Mostrar no site,
Show this slideshow at the top of the page,Mostrar esta apresentação de diapositivos no topo da página,
Slideshow,Slideshow,
Sort Order,Ordem de classificação,
Stock Manager,Gestor de Stock,
Stock UOM,UNID de Stock,
Stock User,Utilizador de Stock,
System Manager,System Manager,
Tax Category,Categoria de imposto,
Thumbnail,Miniatura,
Title,Título,
User,Do utilizador,
Variant Of,Variante de,
View,Visão,
View Website,Veja site,
Warehouse,Armazém,
Website Content,Conteúdo do site,
Website Description,Descrição do Website,
Website Image,Imagem do site,
Website Item Groups,Website de Grupos de Itens,
Website Manager,Site Gerente,
Website Settings,Configurações do site,
Website Specifications,Especificações do Website,
Website Warehouse,Website do Armazém,
Weightage,Peso,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Você pode usar qualquer marcação válida do Bootstrap 4 nesse campo. Será mostrado na sua página de itens.,
