About,Hakkında,
After payment completion redirect user to selected page.,Ödemeyi aldıktan sonra kullanıcıyı seçilen sayfaya yönlendirin.,
All,Tümü,
Allow items not in stock to be added to cart,Stokta olmayan böceklerin sepetine yayılmasına izin ver,
Amount,Tutar,
Apps,Uygulamalar,
Attributes,Nitelikler,
Brand,Marka,
Category Name,Kategori Adı,
Checkout Settings,Ödeme Ayarları,
Comment,Yorum,
Compact Item Print,Kompakt Öğe Yazdır,
Company,Şirket,
Content,İçerik,
Copy From Item Group,Ürün Grubundan kopyalayın,
Currency,Para Birimi,
Customer,Müşteri,
Default Customer Group,Varsayılan Müşteri Grubu,
Description,Açıklama,
Display Settings,Ekran Ayarları,
Documentation,Dökümantasyon,
Enable Attribute Filters,Öznitelik Filtrelerini Etkinleştirin,
Enable Checkout,Ödeme Etkinleştir,
Enable Shopping Cart,Alışveriş Sepeti etkinleştirin,
Frappe Support,Frappe Desteği,
HTML / Banner that will show on the top of product list.,Ürün listesinin muhafazaları HTML / Banner.,
Has Variants,Varyanta Sahip,
Hide Variants,Varyantları Gizle,
Homepage Featured Product,Anasayfa Özel Ürün,
Image,Resim,
Image Description,Görüntü yayını,
Image View,Resim Görüntüle,
Invoices,Faturalar,
Is Active,Aktif mi,
Item,Ürün,
Item Code,Ürün Kodu,
Item Description,Ürün Tanımı,
Item Details,Ürün Detayları,
Item Fields,Öğe Alanları,
Item Group,Ürün Grubu,
Item Image (if not slideshow),Ürün Görüntü (yoksa slayt),
Item Name,Ürün Adı,
Items,Ürünler,
Keyboard Shortcuts,Klavye Kısayolları,
Label,Etiket,
List this Item in multiple groups on the website.,Bu ürünü web sitesinde gruplar halinde listeleyin,
Log out,Çıkış,
More Information,Daha Fazla Bilgi,
My Account,Hesabım,
My Profile,Profilim,
My Settings,Ayarlarım,
Naming Series,Adlandırma Serisi,
Orders,Siparişler,
Payment Gateway,Ödeme Ağ Geçidi,
Payment Gateway Account,Ödeme Gateway Hesabı,
Payment Success Url,Ödeme Başarı URL'si,
Payments,Ödemeler,
Price List,Fiyat Listesi,
Prices will not be shown if Price List is not set,Fiyat Listesi ayarlı fiyatları fiyatları düşürmez,
Print UOM after Quantity,Birimi Miktardan Sonra Yazdır,
Print taxes with zero amount,Vergileri sıfır tutarla yazdır,
Product Categories,Ürün Kategorileri,
Products,Ürünler,
Products per Page,Sayfa Başına Ürünler,
Published,Yayınlandı,
Published on,Yayınlanma Tarihi,
Quotation Series,Teklif Serisi,
Rating,Değerlendirme,
Reload,Yeniden Yükle,
Report an Issue,Sorun Bildir,
Reviews,Yorumlar,
Route,Rota,
Sales Manager,Satış Yöneticisi,
Save Quotations as Draft,Teklifleri Taslak Olarak Kaydet,
Session Defaults,Oturum Varsayılanları,
Set Meta Tags,Meta Etiketleri Ayarla,
Shopping Cart,Alışveriş Sepeti,
Show Apply Coupon Code,Kupon Kodu Uygula'yı göster,
Show Contact Us Button,Bize Ulaşın Düğmesini Göster,
Show Price,Fiyatı Göster,
Show Public Attachments,Genel Ekleri Göster,
Show Stock Availability,Stok Uygunluğunu Göster,
Show Stock Quantity,Hisse Miktarını Göster,
Show a slideshow at the top of the page,Sayfanın üstünde bir slayt öğretmen gösterisi,
Show in Website,Web Sitesinde Göster,
Show this slideshow at the top of the page,Sayfanın üstünde bu slayt gösterisini göster,
Slideshow,Slayt Gösterisi,
Sort Order,Sıralama,
Stock Manager,Stok Yöneticisi,
Stock UOM,Stok Birimi,
Stock User,Stok Kullanıcısı,
System Manager,Sistem Yöneticisi,
Tax Category,Vergi Kategorisi,
Thumbnail,Thumbnail,
Title,Başlık,
Toggle Full Width,Geniş Görünüm,
Toggle Theme,Temayı Değiştir,
User,Kullanıcı,
User Forum,Kullanıcı Forumu,
Variant Of,Varyantı,
View,Göster,
View Website,Websitesine Git,
Warehouse,Depo,
Website Content,Web sitesi içeriği,
Website Description,Web Sitesi Açıklaması,
Website Image,Websitesi Resmi,
Website Item Groups,Web Sitesi Ürün Grupları,
Website Manager,Web Yöneticisi,
Website Settings,Web Sitesi Ayarları,
Website Specifications,Web Sitesi Özellikleri,
Website Warehouse,Web Sitesi Deposu,
Weightage,Ağırlık,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Bu alanda geçerli bir Bootstrap 4 dizsi kullanabilirsiniz. Öğe Sayfanızda gösterilecek.,
All Products,Shop,
Shop,Shop,
Stok Durumu,Stok Durumu,
Satış Siparişleri,Satış Siparişleri,
Faturalar,Faturalar,
Malzeme Talepleri,Malzeme Talepleri,
Stok Hareketleri,Stok Hareketleri,
Projects,Projeler,
Request for Quotations,Teklif Talepleri,
Supplier Quotation,Tedarikçi Teklifi,
Purchase Orders,Satın Alma Siparişleri,
Purchase Invoices,Satın Alma Faturaları,
Quotations,Teklifler,
Orders,Siparişler,
Invoices,Faturalar,
Shipments,Sevkiyatlar,
Issues,Sorunlar,
Addresses,Adresler,
Timesheets,Mesai Kartı,
Newsletter,Bülten,
Material Request,Malzeme Talebi,
Home,Ana Sayfa,
Welcome to North Medical Germany,North Medical Germany'ye Hoş Geldiniz,
Your trusted partner for medical supplies and healthcare products,Tıbbi malzemeler ve sağlık ürünleri için güvenilir ortağınız,
Shop Now,Alışverişe Başla,
Learn More,Daha Fazla Bilgi,
Why Choose North Medical?,Neden North Medical?,
Quality products and reliable service,Kaliteli ürünler ve güvenilir hizmet,
Quality Products,Kaliteli Ürünler,
Certified medical supplies and healthcare products,Sertifikalı tıbbi malzemeler ve sağlık ürünleri,
Fast Delivery,Hızlı Teslimat,
Quick and reliable shipping across Germany,Almanya genelinde hızlı ve güvenilir kargo,
Expert Support,Uzman Destek,
Professional customer service and support,Profesyonel müşteri hizmetleri ve destek,
Browse our wide range of medical products,Geniş tıbbi ürün yelpazemizi keşfedin,
Medical Gloves,Tıbbi Eldivenler,
High-quality disposable gloves,Yüksek kaliteli tek kullanımlık eldivenler,
View Products,Ürünleri Görüntüle,
Cleaning Products,Temizlik Ürünleri,
Surface cleaning and disinfection,Yüzey temizliği ve dezenfeksiyon,
Accessories,Aksesuarlar,
Cleaning product accessories,Temizlik ürünü aksesuarları,
About North Medical Germany,North Medical Germany Hakkında,
Medzenith GmbH - Your reliable partner for medical supplies,Medzenith GmbH - Tıbbi malzemeler için güvenilir ortağınız,
We provide high-quality medical products and healthcare supplies to healthcare facilities, dealers, and businesses across Germany.,Almanya genelinde sağlık tesisleri, bayiler ve işletmelere yüksek kaliteli tıbbi ürünler ve sağlık malzemeleri sağlıyoruz.,
Ready to Get Started?,Başlamaya Hazır mısınız?,
Browse our catalog and find the products you need,Kataloğumuzu inceleyin ve ihtiyacınız olan ürünleri bulun,
Explore Products,Ürünleri Keşfet,
Selected Products,Seçili Ürünler,
Top selected products for you,Sizin için seçilmiş en iyi ürünler,
View Details,Detayları Görüntüle,
Mühlenweg 131-139, 22844 Norderstedt,Mühlenweg 131-139, 22844 Norderstedt,
Search,Arama,
Search for Products,Ürünleri Ara,
Sort By,Sıralama,
Show,Göster,
Show:,Göster:,
Default,Varsayılan,
Something went wrong!,Bir şeyler yanlış gitti!,
Something went wrong. Please refresh or contact us.,Bir şeyler yanlış gitti. Lütfen sayfayı yenileyin veya bizimle iletişime geçin.,
No products found,Ürün bulunamadı,
Unable to load products. Please try again.,Ürünler yüklenemedi. Lütfen tekrar deneyin.,
Price: Low to High,Fiyat: Düşükten Yükseğe,
Price: High to Low,Fiyat: Yüksekten Düşüğe,
Newest First,Yeni Eklenenler,
Clear All,Tümünü Temizle,
Clear,Temizle,
Price Range,Fiyat Aralığı,
Apply,Uygula,
Min,Min,
Max,Maks,
Product Groups,Ürün Grupları,
General,Genel,
All Item Groups,Tüm Ürün Grupları,
Cleaning,Temizlik,
Hygiene Products,Hijyen Ürünleri,
Personal Protective Equipment,Kişisel Koruyucu Ekipman,
Disinfection,Dezenfeksiyon,
Accessories For Cleaning Products,Temizlik Ürünleri Aksesuarları,
Disposable Gloves,Tek Kullanımlık Eldivenler,
Cleaning Accessories,Temizlik Aksesuarları,
Surface Cleaning,Yüzey Temizliği,
Wipes,Mendiller,
Skin & Hands,Cilt ve Eller,
All-Purpose Cleaner,Genel Amaçlı Temizleyici,
All-Purpose Cleaners,Genel Amaçlı Temizleyiciler,
Sanitary Cleaners,Saniter Temizleyiciler,
Kitchen Cleaners,Mutfak Temizleyicileri,
Glass Cleaners,Cam Temizleyiciler,
Grease Solution,Yağ Çözücü,
Hand Dishwashing Liquid,Elde Bulaşık Deterjanı,
Surface,Yüzey,
Detergent,Deterjan,
Shower Gel,Duş Jeli,
Rapid Disinfection,Hızlı Dezenfeksiyon,
Wipes/Nonwoven Wipes,Mendiller/Nonwoven Mendiller,
First Aid,İlk Yardım,
Dispenser Systems,Dispenser Sistemleri,
Kitchen Roll,Mutfak Kağıdı,
Shoe Covers,Ayakkabı Kılıfları,
Toilet Paper,Tuvalet Kağıdı,
Examination Rolls,Muayene Örtüleri,
Wash Gloves,Yıkama Eldivenleri,
Wash Lotion,Yıkama Losyonu,
Underpads,Alt Örtüler,
Protective Clothing,Koruyucu Giysiler,
Latex Gloves,Lateks Eldivenler,
Nitrile Gloves,Nitril Eldivenler,
Dreiturm,Dreiturm,
Meditrade,Meditrade,
Dr. Schnell,Dr. Schnell,
BeeSana,BeeSana,
Gentle Med,Gentle Med,
Categories,Kategoriler,
