Accept Payment,ගෙවීම් පිළිගැනීමට,
After payment completion redirect user to selected page.,ගෙවීම් අවසන් කිරීමෙන් පසු තෝරාගත් පිටුවට පරිශීලක වි.,
All,සෑම,
Allow items not in stock to be added to cart,තොගයේ නොමැති අයිතම කරත්තයට එක් කිරීමට ඉඩ දෙන්න,
Amount,ප්රමාණය,
Amount Based On Field,ක්ෂේත්ර මත පදනම් මුදල,
Amount Field,මුදල ක්ෂේත්ර,
Attributes,දන්ත ධාතුන්,
Brand,වෙළඳ නාමය,
Button Help,බොත්තම සහාය,
Button Label,බොත්තම ලේබල්,
Category Name,ප්රවර්ගය නම,
Checkout Settings,ලොව පුරාවටම සැකසුම්,
Comment,අදහස් දක්වන්න,
Compact Item Print,සංයුක්ත අයිතමය මුද්රණය,
Company,සමාගම,
Content,අන්තර්ගත,
Copy From Item Group,විෂය සමූහ වෙතින් පිටපත්,
Currency,මුදල්,
Customer,පාරිභෝගික,
Default Customer Group,පෙරනිමි කස්ටමර් සමූහයේ,
Description,විස්තර,
Display Settings,දර්ශණ සැකසීම්,
Enable Attribute Filters,ආරෝපණ පෙරහන් සබල කරන්න,
Enable Checkout,Checkout සබල කරන්න,
Enable Shopping Cart,සාප්පු සවාරි කරත්ත සබල කරන්න,
HTML / Banner that will show on the top of product list.,HTML / බැනරය නිෂ්පාදන ලැයිස්තුව මුදුනේ පෙන්වන බව.,
Has Variants,ප්රභේද ඇත,
Hide Variants,ප්‍රභේද සඟවන්න,
Homepage Featured Product,මුල් පිටුව Featured නිෂ්පාදන,
Image,රූප,
Image Description,රූප විස්තරය,
Image View,රූප දැක්ම,
Invoices,ඉන්වොයිසි,
Is Active,ක්රියාකාරී වේ,
Is Billing Contact,බිල් කිරීමේ සම්බන්ධතා වේ,
Is Your Company Address,ඔබේ සමාගම ලිපිනය වේ,
Item,අයිතමය,
Item Code,අයිතමය සංග්රහයේ,
Item Description,අයිතම විවහතරය,
Item Details,අයිතම විස්තරය,
Item Fields,අයිතම ක්ෂේත්‍ර,
Item Group,අයිතමය සමූහ,
Item Image (if not slideshow),අයිතමය අනුරුව (Slideshow නොවේ නම්),
Item Name,භාණ්ඩයෙ නම,
Items,අයිතම,
Keyboard Shortcuts,යතුරුපුවරු කෙටිමං,
Label,ලේබලය,
List this Item in multiple groups on the website.,එම වෙබ් අඩවිය බහු කණ්ඩායම් ෙමම අයිතමය ලැයිස්තුගත කරන්න.,
More Information,වැඩිදුර තොරතුරු,
My Account,මගේ ගිණුම,
Naming Series,ශ්රේණි අනුප්රාප්තිකයා නම් කිරීම,
Orders,නියෝග,
Payment Gateway,ගෙවීම් ගේට්වේ,
Payment Gateway Account,ගෙවීම් ගේට්වේ ගිණුම,
Payment Success Url,ගෙවීම් සාර්ථකත්වය URL එක,
Payments,ගෙවීම,
Price List,මිල දර්ශකය,
Prices will not be shown if Price List is not set,මිල ලැයිස්තුව සකස් වී නොමැති නම් මිල ගණන් පෙන්වා ඇත කළ නොහැකි වනු ඇත,
Print UOM after Quantity,ප්‍රමාණයෙන් පසු UOM මුද්‍රණය කරන්න,
Print taxes with zero amount,ශුන්ය මුදල සමඟ බදු අය කරන්න,
Products,නිෂ්පාදන,
Products per Page,පිටුවකට භාණ්ඩ,
Published,Published,
Published on,ප්‍රකාශයට පත් කරන ලදි,
Quotation Series,උද්ධෘත ශ්රේණි,
Rating,ශ්රේණිගත,
Reload,රීලෝඩ්,
Reviews,සමාලෝචන,
Route,මාර්ග,
Sales Manager,අලෙවි කළමනාකරු,
Save Quotations as Draft,මිල ගණන් කෙටුම්පතක් ලෙස සුරකින්න,
Session Defaults,සැසි පෙරනිමි,
Set Meta Tags,මෙටා ටැග් සකසන්න,
Shopping Cart,සාප්පු ට්රොලිය,
Show Apply Coupon Code,අයදුම් කරන්න කූපන් කේතය පෙන්වන්න,
Show Contact Us Button,අප අමතන්න බොත්තම පෙන්වන්න,
Show Price,මිල පෙන්වන්න,
Show Public Attachments,රාජ්ය ඇමුණුම් පෙන්වන්න,
Show Stock Availability,කොටස් මිළ ලබාගන්න,
Show Stock Quantity,තොග ප්රමාණය පෙන්වන්න,
Show a slideshow at the top of the page,පිටුවේ ඉහළ ඇති වූ අතිබහුතරයකගේ පෙන්වන්න,
Show in Website,වෙබ් අඩවියේ පෙන්වන්න,
Show this slideshow at the top of the page,පිටුවේ ඉහළ ඇති මෙම අතිබහුතරයකගේ පෙන්වන්න,
Slideshow,විනිවිදක දර්ශනය,
Sort Order,වර්ග නියමය,
Stock Manager,කොටස් වෙළඳ කළමනාකරු,
Stock UOM,කොටස් UOM,
Stock User,කොටස් පරිශීලක,
System Manager,පද්ධතිය කළමනාකරු,
Tax Category,බදු කාණ්ඩය,
Thumbnail,සිඟිති-රූපය,
Title,ශීර්ෂය,
User,පරිශීලක,
Variant Of,ප්‍රභේදය,
View,දැක්ම,
View Website,දැක්ම වෙබ් අඩවිය,
Warehouse,පොත් ගබඩාව,
Website Content,වෙබ් අඩවි අන්තර්ගතය,
Website Description,වෙබ් අඩවිය විස්තරය,
Website Image,වෙබ් අඩවි රූපය,
Website Item Groups,වෙබ් අඩවිය අයිතමය කණ්ඩායම්,
Website Manager,වෙබ් අඩවිය කළමනාකරු,
