Accept Payment,ادائیگی قبول کرتے ہیں,
After payment completion redirect user to selected page.,ادائیگی مکمل ہونے کے بعد منتخب صفحے پر صارف ری.,
All,سب,
Allow items not in stock to be added to cart,اسٹاک میں موجود اشیا کو ٹوکری میں شامل کرنے کی اجازت دیں,
Amount,رقم,
Amount Based On Field,رقم فیلڈ کی بناء,
Amount Field,رقم کا میدان,
Attributes,صفات,
Brand,برانڈ,
Button Help,کے بٹن کی مدد,
Button Label,بٹن لیبل,
Category Name,قسم کا نام,
Checkout Settings,چیک آؤٹ ترتیبات,
Comment,تبصرہ,
Compact Item Print,کومپیکٹ آئٹم تعداد,
Company,کمپنی,
Content,مواد,
Copy From Item Group,آئٹم گروپ سے کاپی,
Currency,کرنسی,
Customer,کسٹمر,
Default Customer Group,پہلے سے طے شدہ گاہک گروپ,
Description,تفصیل,
Display Settings,ترتیبات دکھائیں,
Enable Attribute Filters,خاصیت کے فلٹرز کو فعال کریں۔,
Enable Checkout,چیک آؤٹ فعال کریں,
Enable Shopping Cart,خریداری کی ٹوکری فعال,
HTML / Banner that will show on the top of product list.,مصنوعات کی فہرست کے سب سے اوپر پر دکھایا جائے گا کہ ایچ ٹی ایم ایل / بینر.,
Has Variants,مختلف حالتوں ہے,
Hide Variants,متغیرات چھپائیں,
Homepage Featured Product,مرکزی صفحہ نمایاں مصنوعات کی,
Image,تصویر,
Image Description,تصویری تفصیل,
Image View,تصویر دیکھیں,
Invoices,انوائس,
Is Active,فعال ہے,
Is Billing Contact,بلنگ سے رابطہ ہے,
Is Your Company Address,آپ کی کمپنی ایڈریس ہے,
Item,آئٹم,
Item Code,آئٹم کوڈ,
Item Description,آئٹم تفصیل,
Item Details,آئٹم کی تفصیلات,
Item Fields,آئٹم فیلڈز,
Item Group,آئٹم گروپ,
Item Image (if not slideshow),آئٹم تصویر (سلائڈ شو نہیں تو),
Item Name,شے کا نام,
Items,اشیا,
Keyboard Shortcuts,کی بورڈ شارٹ کٹس,
Label,لیبل,
List this Item in multiple groups on the website.,ویب سائٹ پر ایک سے زیادہ گروہوں میں اس شے کی فہرست.,
More Information,مزید معلومات,
My Account,میرا کھاتہ,
Naming Series,نام سیریز,
Orders,احکامات,
Payment Gateway,ادائیگی کے گیٹ وے,
Payment Gateway Account,ادائیگی کے گیٹ وے اکاؤنٹ,
Payment Success Url,ادائیگی کی کامیابی کے یو آر ایل,
Payments,ادائیگی,
Price List,قیمتوں کی فہرست,
Prices will not be shown if Price List is not set,قیمت کی فہرست مقرر نہیں ہے تو قیمتیں نہیں دکھایا جائے گا,
Print UOM after Quantity,مقدار کے بعد UOM پرنٹ کریں,
Print taxes with zero amount,صفر کے ساتھ ٹیکس پرنٹ کریں,
Products,مصنوعات,
Products per Page,فی صفحہ مصنوعات,
Published,آخری,
Published on,پر شائع ہوا,
Quotation Series,کوٹیشن سیریز,
Rating,درجہ بندی,
Reload,دوبارہ,
Reviews,جائزہ,
Route,روٹ,
Sales Manager,منتظم سامان فروخت,
Save Quotations as Draft,بطور مسودہ کوٹیشنز کو محفوظ کریں,
Session Defaults,سیشن ڈیفالٹس,
Set Meta Tags,میٹا ٹیگز مرتب کریں۔,
Shopping Cart,خریداری کی ٹوکری,
Show Apply Coupon Code,لاگو کوپن کوڈ دکھائیں,
Show Contact Us Button,ہم سے رابطہ کریں بٹن دکھائیں۔,
Show Price,قیمت دکھائیں,
Show Public Attachments,پبلک منسلک دکھائیں,
Show Stock Availability,اسٹاک کی دستیابی دکھائیں,
Show Stock Quantity,اسٹاک کی مقدار دکھائیں,
Show a slideshow at the top of the page,صفحے کے سب سے اوپر ایک سلائڈ شو دکھانے کے,
Show in Website,ویب سائٹ میں دکھائیں,
Show this slideshow at the top of the page,صفحے کے سب سے اوپر اس سلائڈ شو دکھانے کے,
Slideshow,سلائیڈ شو,
Sort Order,ترتیب,
Stock Manager,اسٹاک مینیجر,
Stock UOM,اسٹاک UOM,
Stock User,اسٹاک صارف,
System Manager,سسٹم مینیجر,
Tax Category,ٹیکس کیٹیگری۔,
Thumbnail,تھمب نیل,
Title,عنوان,
User,صارف,
Variant Of,متغیر,
View,دیکھیں,
View Website,سائٹ,
Warehouse,گودام,
Website Content,ویب سائٹ کا مواد۔,
Website Description,ویب سائٹ تفصیل,
Website Image,ویب سائٹ کی تصویر۔,
Website Item Groups,ویب سائٹ آئٹم گروپس,
Website Manager,ویب سائٹ کے مینیجر,
Website Settings,ویب سائٹ کی ترتیبات,
Website Specifications,ویب سائٹ نردجیکرن,
Website Warehouse,ویب سائٹ گودام,
Weightage,اہمیت,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,آپ اس فیلڈ میں کسی بھی درست بوٹسٹریپ 4 مارک اپ کو استعمال کرسکتے ہیں۔ یہ آپ کے آئٹم پیج پر دکھایا جائے گا۔,
