Accept Payment,godta betaling,
After payment completion redirect user to selected page.,Etter betaling ferdigstillelse omdirigere brukeren til valgt side.,
All,Alle,
Allow items not in stock to be added to cart,La varer som ikke er på lager legges i handlekurven,
Amount,Beløp,
Amount Based On Field,Beløp basert på feltet,
Amount Field,mengde-feltet,
Attributes,Egenskaper,
Brand,Brand,
Button Help,Button Hjelp,
Button Label,Button etikett,
Category Name,Category Name,
Checkout Settings,Kasse Innstillinger,
Comment,Kommentar,
Compact Item Print,Kompakt Element Skriv ut,
Company,Selskap,
Content,Innhold,
Copy From Item Group,Kopier fra varegruppe,
Currency,Valuta,
Customer,Kunde,
Default Customer Group,Standard Kundegruppe,
Description,Beskrivelse,
Display Settings,Skjerminnstillinger,
Enable Attribute Filters,Aktiver attributtfiltre,
Enable Checkout,aktiver kassen,
Enable Shopping Cart,Aktiver Handlevogn,
HTML / Banner that will show on the top of product list.,HTML / Banner som vil vises på toppen av listen over produkter.,
Has Variants,Har Varianter,
Hide Variants,Skjul varianter,
Homepage Featured Product,Hjemmeside Aktuelle produkter,
Image,Bilde,
Image Description,Bildebeskrivelse,
Image View,Bilde Vis,
Invoices,fakturaer,
Is Active,Er Aktiv,
Is Billing Contact,Er faktureringskontakt,
Is Your Company Address,Er din bedrift Adresse,
Item,Sak,
Item Code,Sak Kode,
Item Description,Element Beskrivelse,
Item Details,Elementdetaljer,
Item Fields,Varefelt,
Item Group,Varegruppe,
Item Image (if not slideshow),Sak Image (hvis ikke show),
Item Name,Gjenstandsnavn,
Items,elementer,
Keyboard Shortcuts,Tastatursnarveier,
Label,Etiketten,
List this Item in multiple groups on the website.,Liste denne vare i flere grupper på nettstedet.,
More Information,Mer informasjon,
My Account,Min Konto,
Naming Series,Navngi Series,
Orders,Bestillinger,
Payment Gateway,Betaling Gateway,
Payment Gateway Account,Betaling Gateway konto,
Payment Success Url,Betaling Suksess URL,
Payments,Betalinger,
Price List,Pris liste,
Prices will not be shown if Price List is not set,Prisene vil ikke bli vist hvis prislisten er ikke satt,
Print UOM after Quantity,Skriv ut UOM etter antall,
Print taxes with zero amount,Skriv ut avgifter med null beløp,
Products,Produkter,
Products per Page,Produkter per side,
Published,Publisert,
Published on,Publisert den,
Quotation Series,Sitat Series,
Rating,Vurdering,
Reload,Last,
Reviews,anmeldelser,
Route,Rute,
Sales Manager,Salgssjef,
Save Quotations as Draft,Lagre tilbud som kladd,
Session Defaults,Økt mislighold,
Set Meta Tags,Angi metatagger,
Shopping Cart,Handlevogn,
Show Apply Coupon Code,Vis Bruk kupongkode,
Show Contact Us Button,Vis Kontakt oss-knappen,
Show Price,Vis pris,
Show Public Attachments,Vis offentlige vedlegg,
Show Stock Availability,Vis lager tilgjengelighet,
Show Stock Quantity,Vis lager Antall,
Show a slideshow at the top of the page,Vis en lysbildeserie på toppen av siden,
Show in Website,Vis på nettstedet,
Show this slideshow at the top of the page,Vis lysbildefremvisning på toppen av siden,
Slideshow,Lysbildefremvisning,
Sort Order,Sorteringsrekkefølge,
Stock Manager,Stock manager,
Stock UOM,Stock målenheter,
Stock User,Stock User,
System Manager,System Manager,
Tax Category,Skattekategori,
Thumbnail,Thumbnail,
Title,Tittel,
User,Bruker,
Variant Of,Variant av,
View,Utsikt,
View Website,Vis nettstedet,
Warehouse,Warehouse,
Website Content,Innhold på nettstedet,
Website Description,Website Beskrivelse,
Website Image,Nettstedets bilde,
Website Item Groups,Website varegrupper,
Website Manager,Website manager,
Website Settings,Nettstedinnstillinger,
Website Specifications,Nettstedet Spesifikasjoner,
Website Warehouse,Nettsted Warehouse,
Weightage,Weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Du kan bruke hvilken som helst gyldig Bootstrap 4-markering i dette feltet. Det vil vises på varesiden din.,
