Accept Payment,прифати плаќање,
After payment completion redirect user to selected page.,По уплатата пренасочува корисникот да избраната страница.,
All,Сите,
Allow items not in stock to be added to cart,Оставете предмети што не се на залиха да бидат додадени во кошничката,
Amount,Износ,
Amount Based On Field,Износот Врз основа на полето,
Amount Field,Големина на поле,
Attributes,Атрибути,
Brand,Бренд,
Button Help,копче за помош,
Button Label,копчето Етикета,
Category Name,Име на категоријата,
Checkout Settings,Плаќање Settings,
Comment,Коментар,
Compact Item Print,Печатење компактни ставки,
Company,Компанијата,
Content,Содржина,
Copy From Item Group,Копија од Група ставки,
Currency,Валута,
Customer,Клиент,
Default Customer Group,Стандардната група на потрошувачи,
Description,Опис,
Display Settings,Поставувањата на екранот,
Enable Attribute Filters,Овозможи филтри за атрибути,
Enable Checkout,овозможи Работа,
Enable Shopping Cart,Овозможи Кошничка,
HTML / Banner that will show on the top of product list.,HTML / Банер кои ќе се појавуваат на врвот од листата на производи.,
Has Variants,Има варијанти,
Hide Variants,Сокриј варијанти,
Homepage Featured Product,Почетната страница од пребарувачот Избрана производ,
Image,Слика,
Image Description,Опис на сликата,
Image View,Слика Види,
Invoices,Фактури,
Is Active,Е активен,
Is Billing Contact,Дали е контакт за наплата,
Is Your Company Address,Дали вашата компанија адреса,
Item,Точка,
Item Code,Точка законик,
Item Description,Опис,
Item Details,Детали за точка,
Item Fields,Поле полиња,
Item Group,Точка група,
Item Image (if not slideshow),Точка слика (доколку не слајдшоу),
Item Name,Име на предметот,
Items,Теми,
Keyboard Shortcuts,Кратенки на тастатурата,
Label,Етикета,
List this Item in multiple groups on the website.,Листа на оваа точка во повеќе групи на веб страната.,
More Information,Повеќе информации,
My Account,Моја сметка,
Naming Series,Именување Серија,
Orders,Нарачка,
Payment Gateway,Исплата Портал,
Payment Gateway Account,Исплата Портал профил,
Payment Success Url,Плаќање успех URL,
Payments,Плаќања,
Price List,Ценовник,
Prices will not be shown if Price List is not set,Цените нема да бидат прикажани ако цената листата не е поставена,
Print UOM after Quantity,Печатете UOM по количина,
Print taxes with zero amount,Печати даноци со нула,
Products,Производи,
Products per Page,Производи по страница,
Published,Објавено,
Published on,Објавено на,
Quotation Series,Серија на Понуди,
Rating,Рејтинг,
Reload,Вчитај ја страната повторно,
Reviews,Прегледи,
Route,Пат,
Sales Manager,Менаџер за продажба,
Save Quotations as Draft,Зачувајте ги цитатите како нацрт,
Session Defaults,Сесија стандардно,
Set Meta Tags,Поставете мета тагови,
Shopping Cart,Кошничка,
Show Apply Coupon Code,Покажи Аплицирај код за купон,
Show Contact Us Button,Покажи го копчето за контакт,
Show Price,Прикажи цена,
Show Public Attachments,Прикажи јавни додатоци,
Show Stock Availability,Прикажи ја достапноста на акциите,
Show Stock Quantity,Прикажи количина на акции,
Show a slideshow at the top of the page,Прикажи слајдшоу на врвот на страната,
Show in Website,Прикажи на веб-страница,
Show this slideshow at the top of the page,Прикажи Овој слајдшоу на врвот на страната,
Slideshow,Слајдшоу,
Sort Order,Подредување,
Stock Manager,Акции менаџер,
Stock UOM,Акции UOM,
Stock User,Акциите пристап,
System Manager,Систем за менаџер,
Tax Category,Категорија на данок,
Thumbnail,Thumbnail,
Title,Наслов,
User,Корисник,
Variant Of,Варијанта на,
View,Поглед,
View Website,Преглед на веб-страница,
Warehouse,Магацин,
Website Content,Содржина на веб-страница,
Website Description,Веб-сајт Опис,
Website Image,Слика на веб-страница,
Website Item Groups,Веб-страница Точка групи,
Website Manager,Веб-страница менаџер,
Website Settings,Settings веб-страница,
Website Specifications,Веб-страница Спецификации,
Website Warehouse,Веб-страница Магацински,
Weightage,Weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Можете да користите важечко обележување на Bootstrap 4 во ова поле. Willе биде прикажано на страницата со ставки.,
