About,關於,
Accept Payment,接受支付,
Actions,操作,
Add a new address,添加新地址,
Add notes,添加备注,
Add to Cart,添加到購物車,
Address Line 1,地址行1,
Address Line 2,地址行2,
Address Title,地址名稱,
Address Type,地址類型,
After payment completion redirect user to selected page.,支付完成後重定向用戶選擇的頁面。,
All,所有,
All Products,所有产品,
Allow items not in stock to be added to cart,允许将无库存的商品添加到购物车,
Amount,量,
Amount Based On Field,用量以現場,
Amount Field,金額字段,
Applied Coupon Code,应用的优惠券代码,
Apply,應用,
Apps,应用,
Attachments,附件,
Attributes,屬性,
Billing Address,帳單地址,
Billing Address is same as Shipping Address,帐单地址与送货地址相同,
Brand,品牌,
Button Help,按鈕幫助,
Button Label,按鈕標籤,
Cannot Merge,无法合并,
Cannot find a matching Item. Please select some other value for {0}.,無法找到匹配的項目。請選擇其他值{0}。,
Cart is Empty,車是空的,
Categories,分类,
Category Name,分類名稱,
Change,更改,
Checkout,查看,
Checkout Settings,結帳設定,
City/Town,市/鎮,
Clear,明确,
Clear values,清晰的价值观,
Comment,評論,
Compact Item Print,緊湊型項目打印,
Company,公司,
Contact Us,联系我们,
Content,內容,
Copy From Item Group,從項目群組複製,
Country,國家,
Currency,貨幣,
Customer,客戶,
Debtors ({0}),債務人（{0}）,
Default,預設,
Default Customer Group,預設客戶群組,
Description,描述,
Discounts,折扣,
Display Settings,顯示設置,
DocType {} not found,未找到文档类型{},
Documentation,文檔,
Edit,編輯,
Email,電子郵件,
Enable Attribute Filters,启用属性过滤器,
Enable Checkout,啟用結帳,
Enable Shopping Cart,启用购物车,
Enter value betweeen {0} and {1},输入{0}和{1}之间的值,
Error,錯誤,
Explore,探索,
Filters,篩選器,
Frappe Support,Frappe支持,
Full Name,全名,
Grand Total,累計,
HTML / Banner that will show on the top of product list.,HTML／橫幅，將顯示在產品列表的頂部。,
Has Variants,有變種,
Hide Variants,隐藏变体,
Home,家,
Homepage Featured Product,首頁推薦產品,
Image,圖像,
Image Description,图片描述,
Image View,圖像查看,
In stock,有现货,
Invoices,發票,
Is Active,啟用,
Is Billing Contact,帐单联络人,
Is Your Company Address,是你的公司地址,
Item,項目,
Item Code,產品編號,
Item Description,項目說明,
Item Details,產品詳細信息,
Item Fields,项目字段,
Item Group,項目群組,
Item Image (if not slideshow),產品圖片（如果不是幻燈片）,
Item Name,項目名稱,
Items,項目,
Keyboard Shortcuts,键盘快捷键,
Label,標籤,
List this Item in multiple groups on the website.,列出這個項目在網站上多個組。,
Loading...,載入中...,
Log out,注销,
Make Purchase Invoice,创建购买发票,
Mandatory,強制性,
Message,訊息,
Missing,缺失,
More,更多,
More Information,更多訊息,
More details,更多信息,
Move to Cart,加入购物车,
My Account,我的帳戶,
My Profile,我的档案,
My Settings,我的設定,
Naming Series,名录,
Net Total,總淨值,
New Address,新地址,
Next,下一個,
No products found,没有找到产品,
Not Permitted,不允許,
Not Published,未發布,
Not in stock,没存货,
Note,注釋,
Only {0} in Stock for item {1},项目{1}的库存中只有{0},
Orders,訂單,
Organization Name,組織名稱,
Out of stock,缺货,
Pay,付,
Pay Remaining,支付剩餘,
Payment Gateway,支付網關,
Payment Gateway Account,網路支付閘道科目,
Payment Success Url,付款成功URL,
Payments,付款,
Pending,擱置,
Phone,電話,
Phone Number,电话号码,
Place Order,下單,
Please enter a coupon code,请输入优惠券代码,
Please enter a valid coupon code,请输入有效的优惠券代码,
Postal Code,郵政編碼,
Prev,上一頁,
Previous,上一筆,
Price,價格,
Price List,價格表,
Prices will not be shown if Price List is not set,價格將不會顯示如果沒有設置價格,
Print,列印,
Print UOM after Quantity,数量后打印UOM,
Print taxes with zero amount,打印零金額的稅,
Products,產品,
Products per Page,每頁產品,
Published,已發行,
Published on,发布于,
Qty ,数量,
Quantity,數量,
Quotation Series,報價系列,
Rate,單價,
Rate:,率：,
Rating,評分,
Reload,重新載入,
Report an Issue,報告問題,
Reviews,评测,
Route,路線,
Sales Manager,銷售經理,
Save,儲存,
Save Quotations as Draft,将报价另存为草稿,
Savings,储蓄,
Search,搜索,
See past orders,查看过去的订单,
See past quotations,查看过去的报价,
Send,發送,
Session Defaults,会话默认值,
Set Meta Tags,设置元标记,
Set Shipping Address or Billing Address,设置送货地址或帐单地址,
Set Tax Rule for shopping cart,購物車稅收規則設定,
Shipping Address,送貨地址,
Shopping Cart,購物車,
Show,显示,
Show Apply Coupon Code,显示申请优惠券代码,
Show Contact Us Button,显示联系我们按钮,
Show Price,顯示價格,
Show Public Attachments,顯示公共附件,
Show Stock Availability,顯示庫存可用性,
Show Stock Quantity,顯示庫存數量,
Show a slideshow at the top of the page,顯示幻燈片在頁面頂部,
Show in Website,在网站上显示,
Show this slideshow at the top of the page,這顯示在幻燈片頁面頂部,
Slideshow,連續播放,
Something went wrong!,出事了！,
Sort Order,排序顺序,
State,狀態,
Stock,庫存,
Stock Manager,庫存管理,
Stock UOM,庫存計量單位,
Stock User,庫存用戶,
Subject,主題,
Submit,提交,
Submitted,提交,
Subtotal,小計,
System Manager,系統管理器,
Tax Category,税种,
Template,模板,
Terms and Conditions,條款和條件,
Thumbnail,縮略圖,
Title,標題,
Toggle Full Width,切换全宽模式,
Toggle Theme,切换主题,
Total Amount,總金額,
UOM,UOM,
User,使用者,
User Forum,用戶論壇,
Valid Till,有效期至,
Value must be between {0} and {1},值必须介于{0}和{1}之间,
Variant,變種,
