Accept Payment,prijímame platby,
After payment completion redirect user to selected page.,Po dokončení platby presmerovať užívateľa na vybrané stránky.,
All,ALL,
Allow items not in stock to be added to cart,"Nechajte položky, ktoré nie sú na sklade, pridať do košíka",
Amount,Částka,
Amount Based On Field,Suma z terénneho,
Amount Field,vyššie Field,
Attributes,Atribúty,
Brand,značka,
Button Help,tlačidlo Pomocník,
Button Label,tlačidlo Label,
Category Name,Názov kategórie,
Checkout Settings,Nastavenia checkout,
Comment,komentár,
Compact Item Print,Tlačiť položku kompaktne,
Company,Spoločnosť,
Content,Obsah,
Copy From Item Group,Kopírovať z položkovej skupiny,
Currency,Mena,
Customer,zákazník,
Default Customer Group,Výchozí Customer Group,
Description,popis,
Display Settings,Nastavenia zobrazení,
Enable Attribute Filters,Povoliť filtre atribútov,
Enable Checkout,aktivovať Checkout,
Enable Shopping Cart,Povolit Nákupní košík,
HTML / Banner that will show on the top of product list.,"HTML / Banner, které se zobrazí na první místo v seznamu výrobků.",
Has Variants,Má varianty,
Hide Variants,Skryť varianty,
Homepage Featured Product,Úvodná Odporúčané tovar,
Image,Obrázok,
Image Description,Popis obrázku,
Image View,Image View,
Invoices,faktúry,
Is Active,Je Aktívny,
Is Billing Contact,Je fakturačný kontakt,
Is Your Company Address,Je vaša firma adresa,
Item,položka,
Item Code,Kód položky,
Item Description,Položka Popis,
Item Details,Položka Podrobnosti,
Item Fields,Polia položky,
Item Group,Položková skupina,
Item Image (if not slideshow),Item Image (ne-li slideshow),
Item Name,Názov položky,
Items,Položky,
Keyboard Shortcuts,Klávesové skratky,
Label,Popis,
List this Item in multiple groups on the website.,Seznam tuto položku ve více skupinách na internetových stránkách.,
More Information,Viac informácií,
My Account,Môj Účet,
Naming Series,Číselné rady,
Orders,objednávky,
Payment Gateway,Platobná brána,
Payment Gateway Account,Platobná brána účet,
Payment Success Url,Platba Úspech URL,
Payments,Platby,
Price List,Cenník,
Prices will not be shown if Price List is not set,"Ceny sa nebudú zobrazovať, pokiaľ Cenník nie je nastavený",
Print UOM after Quantity,Tlač MJ po množstve,
Print taxes with zero amount,Tlačiť dane s nulovou čiastkou,
Products,Výrobky,
Products per Page,Produkty na stránku,
Published,Zverejnené,
Published on,Publikované dňa,
Quotation Series,Číselná rada ponúk,
Rating,Rating,
Reload,Znovu načítať,
Reviews,recenzia,
Route,trasa,
Sales Manager,Manažér predaja,
Save Quotations as Draft,Uložiť ponuky ako koncept,
Session Defaults,Predvolené hodnoty relácie,
Set Meta Tags,Nastavte značky meta,
Shopping Cart,Nákupný košík,
Show Apply Coupon Code,Zobraziť Použiť kód kupónu,
Show Contact Us Button,Zobraziť tlačidlo Kontaktujte nás,
Show Price,Zobraziť cenu,
Show Public Attachments,Zobraziť verejné prílohy,
Show Stock Availability,Zobraziť dostupnosť zásob,
Show Stock Quantity,Zobraziť množstvo zásob,
Show a slideshow at the top of the page,Ukazují prezentaci v horní části stránky,
Show in Website,Zobraziť na webe,
Show this slideshow at the top of the page,Zobrazit tuto prezentaci v horní části stránky,
Slideshow,Premietanie obrázkov na webstránke,
Sort Order,Zoradenie,
Stock Manager,Manažér zásob,
Stock UOM,Skladová MJ,
Stock User,Používateľ skladu,
System Manager,Správca systému,
Tax Category,Daňová kategória,
Thumbnail,Thumbnail,
Title,Názov,
User,užívateľ,
Variant Of,Variant z,
View,Pohľad,
View Website,Prejsť na webstránku,
Warehouse,sklad,
Website Content,Obsah webových stránok,
Website Description,Popis webu,
Website Image,Obrázok webovej stránky,
Website Item Groups,Webové stránky skupiny položek,
Website Manager,Správce webu,
Website Settings,Nastavení www stránky,
Website Specifications,Webových stránek Specifikace,
Website Warehouse,Sklad pro web,
Weightage,Weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,V tomto poli môžete použiť akékoľvek platné značenie Bootstrap 4. Bude sa zobrazovať na vašej stránke s položkami.,
