About,Acerca de,
After payment completion redirect user to selected page.,Después de la realización del pago redirigir el usuario a la página seleccionada.,
All,Todos,
Allow items not in stock to be added to cart,Permitir que los artículos no en stock se agreguen al carrito,
Amount,Importe,
Apps,Apps,
Attributes,Atributos,
Brand,Marca,
Category Name,Nombre Categoría,
Checkout Settings,Ajustes del Pedido,
Comment,Comentario,
Compact Item Print,Impresión Compacta de Artículo,
Company,Compañía,
Content,Contenido,
Copy From Item Group,Copiar de Grupo de Elementos,
Currency,Divisa / Moneda,
Customer,Cliente,
Default Customer Group,Categoría de cliente predeterminada,
Description,Descripción,
Display Settings,Configuración de Pantalla,
Enable Attribute Filters,Habilitar filtros de atributos,
Enable Checkout,Habilitar Pedido,
Enable Shopping Cart,Habilitar Carrito de Compras,
Frappe Support,Soporte de Frappe,
HTML / Banner that will show on the top of product list.,HTML / Banner que aparecerá en la parte superior de la lista de productos.,
Has Variants,Tiene Variantes,
Hide Variants,Ocultar variantes,
Homepage Featured Product,Producto destacado en página de inicio,
Image,Imagen,
Image Description,Descripción de la imagen,
Image View,Vista de Imagen,
Invoices,Facturas,
Is Active,Está activo,
Item,Producto,
Item Code,Código del Producto,
Item Description,Descripción del Artículo,
Item Details,Detalles del artículo,
Item Fields,Campos de artículos,
Item Group,Grupo de artículos,
Item Image (if not slideshow),"Imagen del Artículo (si no, presentación de diapositivas)",
Item Name,Nombre del árticulo,
Items,Productos,
Keyboard Shortcuts,Atajos de teclado,
Label,Etiqueta,
List this Item in multiple groups on the website.,Listar este producto en múltiples grupos del sitio web.,
Log out,Cerrar sesión,
More Information,Más información,
My Account,Mi Cuenta,
My Profile,Mi Perfil,
My Settings,Mis ajustes,
Naming Series,Secuencias e identificadores,
Orders,Órdenes,
Payment Gateway,Pasarela de Pago,
Payment Gateway Account,Cuenta de Pasarela de Pago,
Payment Success Url,URL de Pago Exitoso,
Payments,Pagos.,
Price List,Lista de precios,
Prices will not be shown if Price List is not set,Los precios no se muestran si la lista de precios no se ha establecido,
Print UOM after Quantity,Imprimir UOM después de Cantidad,
Print taxes with zero amount,Imprimir impuestos con importe nulo,
Products,Productos,
Products per Page,Productos por Pagina,
Published,Publicado,
Published on,Publicado en,
Quotation Series,Serie Cotización,
Rating,Clasificación,
Reload,Recargar,
Reviews,Comentarios,
Route,Ruta,
Sales Manager,Gerente de ventas,
Save Quotations as Draft,Guardar cotizaciones como borrador,
Session Defaults,Valores predeterminados de sesión,
Set Meta Tags,Establecer metaetiquetas,
Shopping Cart,Cesta de la compra,
Show Apply Coupon Code,Mostrar aplicar código de cupón,
Show Contact Us Button,Mostrar botón Contáctenos,
Show Price,Mostrar Precio,
Show Public Attachments,Mostrar adjuntos públicos,
Show Stock Availability,Mostrar Disponibilidad de Stock,
Show Stock Quantity,Mostrar Cantidad en Stock,
Show a slideshow at the top of the page,Mostrar una presentación de diapositivas en la parte superior de la página,
Show in Website,Mostrar en sitio web,
Show this slideshow at the top of the page,Mostrar esta presentación de diapositivas en la parte superior de la página,
Slideshow,Presentación,
Sort Order,Ordenar por,
Stock Manager,Gerente,
Stock UOM,Unidad de Media del Inventario,
Stock User,Foto del usuario,
System Manager,Administrador del sistema,
Tax Category,Categoría de impuestos,
Thumbnail,Miniatura,
Title,Nombre,
Toggle Full Width,Cambiar a ancho completo,
Toggle Theme,Cambiar tema,
User,Usuario,
Variant Of,Variante de,
View,Ver,
View Website,Ver Sitio Web,
Warehouse,Almacén,
Website Content,Contenido del sitio web,
Website Description,Descripción del Sitio Web,
Website Image,Imagen del sitio web,
Website Item Groups,Grupos de Artículos del Sitio Web,
Website Manager,Administrar Página Web,
Website Settings,Configuración del Sitio Web,
Website Specifications,Especificaciones del sitio web,
Website Warehouse,Almacén del Sitio Web,
Weightage,Coeficiente de Ponderación,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Puede usar cualquier marcado válido de Bootstrap 4 en este campo. Se mostrará en su página de artículos.,
