Accept Payment,Prano Pagesa,
After payment completion redirect user to selected page.,Pas përfundimit të pagesës përcjellëse përdorues në faqen e zgjedhur.,
All,ALL,
Allow items not in stock to be added to cart,Lejoni artikujt që nuk janë në gjendje të shtohen në shportë,
Amount,Sasi,
Amount Based On Field,Shuma bazë On Field,
Amount Field,shuma Field,
Attributes,Atributet,
Brand,markë,
Button Help,Button Ndihmë,
Button Label,Button Label,
Category Name,Kategoria Emri,
Checkout Settings,Cilësimet Checkout,
Comment,koment,
Compact Item Print,Compact Item Print,
Company,Kompani,
Content,I kënaqur,
Copy From Item Group,Kopje nga grupi Item,
Currency,Monedhë,
Customer,klient,
Default Customer Group,Gabim Grupi Klientit,
Description,Përshkrim,
Display Settings,Cilësimet e ekranit,
Enable Attribute Filters,Aktivizoni filtrat e atributit,
Enable Checkout,Aktivizo Checkout,
Enable Shopping Cart,Aktivizo Shporta,
HTML / Banner that will show on the top of product list.,HTML / Banner që do të tregojnë në krye të listës së produktit.,
Has Variants,Ka Variantet,
Hide Variants,Fshih variantet,
Homepage Featured Product,Homepage Featured Product,
Image,imazh,
Image Description,Përshkrimi i imazhit,
Image View,Image Shiko,
Invoices,faturat,
Is Active,Është Aktiv,
Is Billing Contact,A është kontakti i faturimit,
Is Your Company Address,Është kompania juaj Adresa,
Item,artikull,
Item Code,Kodi i artikullit,
Item Description,Përshkrimi i artikullit,
Item Details,Detajet e artikullit,
Item Fields,Fushat e artikullit,
Item Group,Grupi i artikullit,
Item Image (if not slideshow),Item Image (nëse nuk Slideshow),
Item Name,Emri i artikullit,
Items,artikuj,
Keyboard Shortcuts,Shkurtoret e tastierës,
Label,Etiketë,
List this Item in multiple groups on the website.,Lista këtë artikull në grupe të shumta në faqen e internetit.,
More Information,Me shume informacion,
My Account,Llogaria ime,
Naming Series,Emërtimi Series,
Orders,urdhërat,
Payment Gateway,Gateway Pagesa,
Payment Gateway Account,Pagesa Llogaria Gateway,
Payment Success Url,Pagesa Suksesi URL,
Payments,Pagesat,
Price List,Tarifë,
Prices will not be shown if Price List is not set,Çmimet nuk do të shfaqet në qoftë Lista Çmimi nuk është vendosur,
Print UOM after Quantity,Shtypni UOM pas Sasisë,
Print taxes with zero amount,Printoni taksat me shumën zero,
Products,Produkte,
Products per Page,Produktet per,
Published,Publikuar,
Published on,Botuar më,
Quotation Series,Citat Series,
Rating,vlerësim,
Reload,Rifresko,
Reviews,Shqyrtime,
Route,rrugë,
Sales Manager,Sales Manager,
Save Quotations as Draft,Ruaj citatet si draft,
Session Defaults,Default Seanca,
Set Meta Tags,Vendosni Etiketat Meta,
Shopping Cart,Karrocat,
Show Apply Coupon Code,Trego Apliko Kodin e Kuponit,
Show Contact Us Button,Shfaq butonin e kontaktit,
Show Price,Trego çmimin,
Show Public Attachments,Trego Attachments publike,
Show Stock Availability,Trego disponueshmërinë e aksioneve,
Show Stock Quantity,Trego sasinë e stoqeve,
Show a slideshow at the top of the page,Tregojnë një Slideshow në krye të faqes,
Show in Website,Shfaq në Uebfaqe,
Show this slideshow at the top of the page,Trego këtë slideshow në krye të faqes,
Slideshow,Slideshow,
Sort Order,Rendit,
Stock Manager,Stock Menaxher,
Stock UOM,Stock UOM,
Stock User,Stock User,
System Manager,Sistemi Menaxher,
Tax Category,Kategoria e Taksave,
Thumbnail,Thumbnail,
Title,titull,
User,përdorues,
Variant Of,Varianti i,
View,Pikëpamje,
View Website,Shikoni faqen e internetit,
Warehouse,Depo,
Website Content,Përmbajtja e faqes në internet,
Website Description,Website Përshkrim,
Website Image,Imazhi i faqes në internet,
Website Item Groups,Faqja kryesore Item Grupet,
Website Manager,Website Menaxher,
Website Settings,Website Cilësimet,
Website Specifications,Specifikimet Website,
Website Warehouse,Website Magazina,
Weightage,Weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Ju mund të përdorni çdo shënim të vlefshëm të Bootstrap 4 në këtë fushë. Ai do të shfaqet në faqen tuaj të artikullit.,
