Accept Payment,ព្រមទទួលការទូទាត់,
After payment completion redirect user to selected page.,បន្ទាប់ពីការបញ្ចប់ការទូទាត់ប្តូរទិសអ្នកប្រើទំព័រដែលបានជ្រើស។,
All,ទាំងអស់,
Allow items not in stock to be added to cart,អនុញ្ញាតឱ្យវត្ថុដែលមិនមាននៅក្នុងស្តុកត្រូវបានបន្ថែមទៅរទេះ,
Amount,ចំនួនទឹកប្រាក់,
Amount Based On Field,ចំនួនទឹកប្រាក់ដោយផ្អែកលើវាល,
Amount Field,វាលចំនួនទឹកប្រាក់,
Attributes,គុណលក្ខណៈ,
Brand,ម៉ាក,
Button Help,ជំនួយប៊ូតុង,
Button Label,ស្លាកប៊ូតុង,
Category Name,ប្រភេទឈ្មោះ,
Checkout Settings,ការកំណត់ Checkout,
Comment,វិចារ,
Compact Item Print,ធាតុបង្រួមបោះពុម្ព,
Company,ក្រុមហ៊ុន,
Content,មាតិការ,
Copy From Item Group,ការចម្លងពីធាតុគ្រុប,
Currency,រូបិយប័ណ្ណ,
Customer,អតិថិជន,
Default Customer Group,លំនាំដើមគ្រុបអតិថិជន,
Description,ការពិពណ៌នាសង្ខេប,
Display Settings,បង្ហាញការកំណត់,
Enable Attribute Filters,បើកដំណើរការតម្រងគុណលក្ខណៈ។,
Enable Checkout,បើកការពិនិត្យចេញ,
Enable Shopping Cart,បើកការកន្រ្តកទំនិញ,
HTML / Banner that will show on the top of product list.,ជា HTML / បដាដែលនឹងបង្ហាញនៅលើកំពូលនៃបញ្ជីផលិតផល។,
Has Variants,មានវ៉ារ្យ៉ង់,
Hide Variants,លាក់វ៉ារ្យ៉ង់។,
Homepage Featured Product,ផលិតផលដែលមានលក្ខណៈពិសេសគេហទំព័រ,
Image,រូបភាព,
Image Description,ការពិពណ៌នារូបភាព,
Image View,មើលរូបភាព,
Invoices,វិក័យប័ត្រ,
Is Active,គឺជាសកម្ម,
Is Billing Contact,តើទំនាក់ទំនងចេញវិក្កយបត្រ,
Is Your Company Address,គឺជាអាសយដ្ឋានក្រុមហ៊ុនរបស់អ្នក,
Item,ធាតុ,
Item Code,ក្រមធាតុ,
Item Description,ធាតុការពិពណ៌នាសង្ខេប,
Item Details,លំអិតមុខទំនិញ,
Item Fields,វាលធាតុ។,
Item Group,ធាតុគ្រុប,
Item Image (if not slideshow),រូបភាពធាតុ (ប្រសិនបើមិនមានការបញ្ចាំងស្លាយ),
Item Name,ឈ្មោះធាតុ,
Items,មុខទំនិញ,
Keyboard Shortcuts,ផ្លូវកាត់ក្តារចុច។,
Label,ស្លាក,
List this Item in multiple groups on the website.,រាយធាតុនេះនៅក្នុងក្រុមជាច្រើននៅលើគេហទំព័រ។,
More Information,ព័ត៌មានបន្ថែម,
My Account,គណនីរបស់ខ្ញុំ,
Naming Series,ដាក់ឈ្មោះកម្រងឯកសារ,
Orders,ការបញ្ជាទិញ,
Payment Gateway,ការទូទាត់,
Payment Gateway Account,គណនីទូទាត់,
Payment Success Url,ការទូទាត់ URL ដែលទទួលបានភាពជោគជ័យ,
Payments,ការទូទាត់,
Price List,តារាងតម្លៃ,
Prices will not be shown if Price List is not set,តម្លៃនេះនឹងមិនត្រូវបានបង្ហាញទេប្រសិនបើបញ្ជីតម្លៃគឺមិនត្រូវបានកំណត់,
Print UOM after Quantity,បោះពុម្ព UOM បន្ទាប់ពីបរិមាណ,
Print taxes with zero amount,បោះពុម្ពពន្ធដែលមានលេខសូន្យ,
Products,ផលិតផល,
Products per Page,ផលិតផលក្នុងមួយទំព័រ,
Published,បោះពុម្ពផ្សាយ,
Published on,បោះពុម្ភផ្សាយ,
Quotation Series,សម្រង់កម្រងឯកសារ,
Rating,ការផ្តល់ចំណាត់ថ្នាក់,
Reload,ផ្ទុកឡើងវិញ,
Reviews,ការពិនិត្យឡើងវិញ។,
Route,ផ្លូវ,
Sales Manager,ប្រធានផ្នែកលក់,
Save Quotations as Draft,រក្សាទុកសម្រង់ជាសេចក្តីព្រាង,
Session Defaults,លំនាំដើមវេន។,
Set Meta Tags,កំណត់ស្លាកមេតា។,
Shopping Cart,កន្រ្តកទំនិញ,
Show Apply Coupon Code,បង្ហាញអនុវត្តលេខកូដគូប៉ុង,
Show Contact Us Button,បង្ហាញប៊ូតុងទំនាក់ទំនង។,
Show Price,បង្ហាញតម្លៃ,
Show Public Attachments,បង្ហាញឯកសារភ្ជាប់សាធារណៈ,
