About,关于,
Accept Payment,接受支付,
After payment completion redirect user to selected page.,支付完成后将用户转到所选网页。,
All,所有,
Allow items not in stock to be added to cart,允许将无库存的商品添加到购物车,
Amount,金额,
Amount Based On Field,用量以现场,
Amount Field,金额字段,
Apps,应用,
Attributes,属性,
Brand,品牌,
Button Help,按钮帮助,
Button Label,按钮标签,
Category Name,分类名称,
Checkout Settings,结帐设置,
Comment,评论,
Compact Item Print,紧凑型项目打印,
Company,公司,
Content,内容,
Copy From Item Group,从物料组复制,
Currency,货币,
Customer,客户,
Default Customer Group,默认客户群组,
Description,描述,
Display Settings,显示设置,
Enable Attribute Filters,启用属性过滤器,
Enable Checkout,启用结帐,
Enable Shopping Cart,启用购物车,
Frappe Support,Frappe支持,
HTML / Banner that will show on the top of product list.,HTML或横幅，将显示在产品列表的顶部。,
Has Variants,有变体,
Hide Variants,隐藏变体,
Homepage Featured Product,首页推荐产品,
Image,图像,
Image Description,图片描述,
Image View,图像视图,
Invoices,费用清单,
Is Active,是活动的,
Is Billing Contact,帐单联络人,
Is Your Company Address,是你的公司地址,
Item,物料,
Item Code,物料代码,
Item Description,物料描述,
Item Details,品目详细信息,
Item Fields,项目字段,
Item Group,物料群组,
Item Image (if not slideshow),物料图片(如果没有演示文稿),
Item Name,项目名称,
Items,物料,
Keyboard Shortcuts,键盘快捷键,
Label,标签,
List this Item in multiple groups on the website.,在网站上的多个组中显示此物料,
Log out,注销,
More Information,更多信息,
My Account,我的账户,
My Profile,我的档案,
My Settings,我的设置,
Naming Series,名录,
Orders,订单,
Payment Gateway,支付网关,
Payment Gateway Account,支付网关账户,
Payment Success Url,付款成功URL,
Payments,付款,
Price List,价格清单,
Prices will not be shown if Price List is not set,价格将不会显示如果没有设置价格,
Print UOM after Quantity,数量后打印UOM,
Print taxes with zero amount,打印零金额的税,
Products,产品展示,
Products per Page,每页产品,
Published,发布时间,
Published on,发布于,
Quotation Series,报价系列,
Rating,评分,
Reload,重新加载,
Reviews,评测,
Route,路线,
Sales Manager,销售经理,
Save Quotations as Draft,将报价另存为草稿,
Session Defaults,会话默认值,
Set Meta Tags,设置元标记,
Shopping Cart,购物车,
Show Apply Coupon Code,显示申请优惠券代码,
Show Contact Us Button,显示联系我们按钮,
Show Price,显示价格,
Show Public Attachments,显示公共附件,
Show Stock Availability,显示库存可用性,
Show Stock Quantity,显示库存数量,
Show a slideshow at the top of the page,在页面顶部显示幻灯片,
Show in Website,在网站上显示,
Show this slideshow at the top of the page,在页面顶部显示此幻灯片,
Slideshow,幻灯片,
Sort Order,排序顺序,
Stock Manager,库存管理,
Stock UOM,库存计量单位,
Stock User,库存用户,
System Manager,系统管理员,
Tax Category,税种,
Thumbnail,缩略图,
Title,标题,
Toggle Full Width,切换全宽模式,
Toggle Theme,切换主题,
User,用户,
Variant Of,的变体,
View,查看,
View Website,查看网站,
Warehouse,仓库,
Website Content,网站内容,
Website Description,显示在网站商的详细说明，可文字，图文，多媒体混排,
Website Image,网站图片,
Website Item Groups,网站物料组,
Website Manager,网站管理员,
Website Settings,网站设置,
Website Specifications,网站规格,
Website Warehouse,网站仓库,
Weightage,权重,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,您可以在此字段中使用任何有效的Bootstrap 4标记。它将显示在您的项目页面上。,
