About,О системе,
Accept Payment,Подтвердить платеж,
After payment completion redirect user to selected page.,После завершения оплаты перенаправить пользователя на выбранную страницу.,
All,Все,
Allow items not in stock to be added to cart,"Разрешить добавление в корзину товаров, которых нет в наличии",
Amount,Сумма,
Amount Based On Field,Сумма на основании поля,
Amount Field,Поле суммы,
Attributes,Атрибуты,
Brand,Бренд,
Button Help,Кнопка помощь,
Button Label,Кнопка метка,
Category Name,Название категории,
Checkout Settings,Checkout Настройки,
Comment,Комментарий,
Compact Item Print,Компактный товара печати,
Company,Организация,
Content,Содержимое,
Copy From Item Group,Скопируйте из продуктовой группы,
Currency,Валюта,
Customer,Клиент,
Default Customer Group,По умолчанию Группа клиентов,
Description,Описание,
Display Settings,Настройки отображения,
Documentation,Документация,
Enable Attribute Filters,Включить фильтры атрибутов,
Enable Checkout,Включить Checkout,
Enable Shopping Cart,Включить Корзина,
HTML / Banner that will show on the top of product list.,HTML / Баннер который будет отображаться в верхней части списка продуктов.,
Has Variants,Имеет варианты,
Hide Variants,Скрыть варианты,
Homepage Featured Product,Рекомендуемые продукты на главной страницу,
Image,Изображение,
Image Description,Описание изображения,
Image View,Просмотр изображения,
Invoices,Счета,
Is Active,Активен,
Is Billing Contact,Контакт для выставления счетов,
Is Your Company Address,Является адресом вашей компании,
Item,Продукт,
Item Code,Код продукта,
Item Description,Описание продукта,
Item Details,Детальная информация о продукте,
Item Fields,Поля продуктов,
Item Group,Продуктовая группа,
Item Image (if not slideshow),Изображение продукта (не для слайд-шоу),
Item Name,Название продукта,
Items,Продукты,
Keyboard Shortcuts,Горячие клавиши,
Label,Метка,
List this Item in multiple groups on the website.,Укажите этот продукт в нескольких группах на сайте,
More Information,Больше информации,
My Account,Мой аккаунт,
My Profile,Мой профиль,
My Settings,Мои настройки,
Naming Series,Идентификация по имени,
Orders,Заказы,
Payment Gateway,Платежный шлюз,
Payment Gateway Account,Аккаунт платежного шлюза,
Payment Success Url,URL успешного платежа,
Payments,Оплата,
Price List,Прайс-лист,
Prices will not be shown if Price List is not set,"Цены не будут показаны, если прайс-лист не установлен",
Print UOM after Quantity,Печать единиц измерения после количества,
Print taxes with zero amount,Печать налогов с нулевой суммой,
Products,Продукты,
Products per Page,Продукты на страницу,
Published,Опубликовано,
Published on,Опубликован в,
Quotation Series,Идентификаторы Предложений,
Rating,Рейтинг,
Reload,Обновить страницу,
Report an Issue,Сообщить об ошибке,
Reviews,Отзывы,
Route,Маршрут,
Sales Manager,Менеджер продаж,
Save Quotations as Draft,Сохранить предложения как черновик,
Session Defaults,Сеансы по умолчанию,
Set Meta Tags,Установить метатеги,
Shopping Cart,Корзина,
Show Apply Coupon Code,Показать примененные коды купона,
Show Contact Us Button,Кнопка «Связаться с нами»,
Show Price,Показать цену,
Show Public Attachments,Показать общедоступные приложения,
Show Stock Availability,Показать наличие на складе,
Show Stock Quantity,Показывать количество запаса,
Show a slideshow at the top of the page,Показывать слайд-шоу в верхней части страницы,
Show in Website,Показать на веб-сайте,
Show this slideshow at the top of the page,Показать этот слайд-шоу в верхней части страницы,
Slideshow,Слайд-шоу,
Sort Order,Порядок сортировки,
Stock Manager,Менеджер склада,
Stock UOM,Единица измерения запасов,
Stock User,Пользователь склада,
System Manager,Менеджер системы,
Tax Category,Налоговая категория,
Thumbnail,Миниатюра,
Title,Заголовок,
Toggle Full Width,Переключить ширину,
Toggle Theme,Переключить тему,
User,Пользователь,
User Forum,Форум пользователей,
Variant Of,Вариант,
View,Посмотреть,
View Website,Посмотреть сайт,
Warehouse,Склад,
Website Content,Содержание сайта,
Website Description,Описание,
Website Image,Изображение сайта,
Website Item Groups,Продуктовые группы на сайте,
Website Manager,Менеджер сайта,
Website Settings,Настройки сайта,
Website Specifications,Характеристики веб-сайта,
Website Warehouse,Сайт склад,
Weightage,Добавка,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,В этом поле вы можете использовать любую допустимую разметку Bootstrap 4. Это будет показано на вашей странице товара.,
