Accept Payment,পেমেন্ট গ্রহণ করুন,
After payment completion redirect user to selected page.,পেমেন্ট সম্পন্ন করার পর নির্বাচিত পৃষ্ঠাতে ব্যবহারকারী পুনর্নির্দেশ.,
All,সব,
Allow items not in stock to be added to cart,স্টকে থাকা আইটেমগুলিকে কার্টে যুক্ত করার অনুমতি দিন,
Amount,পরিমাণ,
Amount Based On Field,পরিমাণ ক্ষেত্রের উপর ভিত্তি করে,
Amount Field,পরিমাণ ফিল্ড,
Attributes,আরোপ করা,
Brand,ব্র্যান্ড,
Button Help,বোতাম সাহায্য,
Button Label,বোতাম ট্যাগ,
Category Name,নামের তালিকা,
Checkout Settings,চেকআউট সেটিং,
Comment,মন্তব্য,
Compact Item Print,কম্প্যাক্ট আইটেম প্রিন্ট,
Company,কোম্পানি,
Content,বিষয়বস্তু,
Copy From Item Group,আইটেম গ্রুপ থেকে কপি,
Currency,মুদ্রা,
Customer,ক্রেতা,
Default Customer Group,ডিফল্ট গ্রাহক গ্রুপ,
Description,বিবরণ,
Display Settings,প্রদর্শন সেটিং,
Enable Attribute Filters,অ্যাট্রিবিউট ফিল্টার সক্ষম করুন,
Enable Checkout,চেকআউট সক্রিয়,
Enable Shopping Cart,শপিং কার্ট সক্রিয়,
HTML / Banner that will show on the top of product list.,পণ্য তালিকার শীর্ষে প্রদর্শন করবে এইচটিএমএল / ব্যানার.,
Has Variants,ধরন আছে,
Hide Variants,রূপগুলি লুকান,
Homepage Featured Product,হোম পেজ বৈশিষ্ট্যযুক্ত পণ্য,
Image,ভাবমূর্তি,
Image Description,ছবির বর্ণনা,
Image View,চিত্র দেখুন,
Invoices,চালান,
Is Active,সক্রিয়,
Is Billing Contact,বিলিং যোগাযোগ,
Is Your Company Address,আপনার কোম্পানির ঠিকানা,
Item,আইটেম,
Item Code,পণ্য সংকেত,
Item Description,পন্নের বর্ণনা,
Item Details,আইটেম বিবরণ,
Item Fields,আইটেম ক্ষেত্র,
Item Group,আইটেমটি গ্রুপ,
Item Image (if not slideshow),আইটেম ইমেজ (ছবি না হলে),
Item Name,আইটেম নাম,
Items,চলছে,
Keyboard Shortcuts,কীবোর্ড শর্টকাটগুলি,
Label,লেবেল,
List this Item in multiple groups on the website.,ওয়েবসাইটে একাধিক গ্রুপ এই আইটেম তালিকা.,
More Information,অধিক তথ্য,
My Account,আমার অ্যাকাউন্ট,
Naming Series,নামকরণ সিরিজ,
Orders,আদেশ,
Payment Gateway,পেমেন্ট গেটওয়ে,
Payment Gateway Account,পেমেন্ট গেটওয়ে অ্যাকাউন্টে,
Payment Success Url,পেমেন্ট সাফল্য ইউআরএল,
Payments,পেমেন্টস্,
Price List,মূল্য তালিকা,
Prices will not be shown if Price List is not set,দাম দেখানো হবে না যদি মূল্য তালিকা নির্ধারণ করা হয় না,
Print UOM after Quantity,পরিমাণের পরে ইউওএম প্রিন্ট করুন,
Print taxes with zero amount,শূন্য পরিমাণ সঙ্গে করের প্রিন্ট করুন,
Products,পণ্য,
Products per Page,পণ্য প্রতি পৃষ্ঠা,
Published,প্রকাশিত,
Published on,প্রকাশিত,
Quotation Series,উদ্ধৃতি সিরিজের,
Rating,নির্ধারণ,
Reload,পুনরায় লোড করুন,
Reviews,পর্যালোচনা,
Route,রুট,
Sales Manager,বিক্রয় ব্যবস্থাপক,
Save Quotations as Draft,খসড়া হিসাবে উদ্ধৃতি সংরক্ষণ করুন,
Session Defaults,সেশন ডিফল্ট,
Set Meta Tags,মেটা ট্যাগ সেট করুন,
Shopping Cart,বাজারের ব্যাগ,
Show Apply Coupon Code,আবেদন কুপন কোড দেখান,
Show Contact Us Button,আমাদের সাথে যোগাযোগ বোতাম প্রদর্শন করুন,
Show Price,মূল্য দেখান,
Show Public Attachments,জন সংযুক্তিসমূহ দেখান,
Show Stock Availability,স্টক প্রাপ্যতা দেখান,
Show Stock Quantity,স্টক পরিমাণ দেখান,
Show a slideshow at the top of the page,পৃষ্ঠার উপরের একটি স্লাইডশো প্রদর্শন,
Show in Website,ওয়েবসাইটে দেখান,
Show this slideshow at the top of the page,পৃষ্ঠার উপরের এই স্লাইডশো প্রদর্শন,
Slideshow,ছবি,
Sort Order,সজ্জাক্রম,
Stock Manager,স্টক ম্যানেজার,
Stock UOM,শেয়ার UOM,
Stock User,স্টক ইউজার,
System Manager,সিস্টেম ম্যানেজার,
Tax Category,ট্যাক্স বিভাগ,
Thumbnail,ছোট,
Title,খেতাব,
User,ব্যবহারকারী,
Variant Of,বৈকল্পিক,
View,দৃশ্য,
View Website,ওয়েবসাইট দেখুন,
Warehouse,গুদাম,
Website Content,ওয়েবসাইট সামগ্রী,
Website Description,ওয়েবসাইট বর্ণনা,
Website Image,ওয়েবসাইট চিত্র,
Website Item Groups,ওয়েবসাইট আইটেম গ্রুপ,
Website Manager,ওয়েবসাইট ম্যানেজার,
Website Settings,ওয়েবসাইট সেটিংস,
Website Specifications,ওয়েবসাইট উল্লেখ,
Website Warehouse,ওয়েবসাইট ওয়্যারহাউস,
Weightage,গুরুত্ব,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,আপনি এই ক্ষেত্রে কোনও বৈধ বুটস্ট্র্যাপ 4 মার্কআপ ব্যবহার করতে পারেন। এটি আপনার আইটেম পৃষ্ঠাতে প্রদর্শিত হবে।,
