After payment completion redirect user to selected page.,اعاده توجيه المستخدم الى الصفحات المحدده بعد اكتمال عمليه الدفع,
All,الكل,
Allow items not in stock to be added to cart,السماح بإضافة العناصر غير الموجودة في المخزن إلى السلة,
Amount,كمية,
Attributes,سمات,
Brand,العلامة التجارية,
Category Name,اسم التصنيف,
Checkout Settings,إعدادات الدفع,
Comment,تعليق,
Compact Item Print,مدمجة البند طباعة,
Company,شركة,
Content,محتوى,
Copy From Item Group,نسخة من المجموعة السلعة,
Currency,العملة,
Customer,العميل,
Default Customer Group,المجموعة الافتراضية العملاء,
Description,وصف,
Display Settings,عرض الإعدادات,
Enable Attribute Filters,تمكين عوامل تصفية السمات,
Enable Checkout,تمكين الخروج,
Enable Shopping Cart,تمكين سلة التسوق,
HTML / Banner that will show on the top of product list.,HTML / بانر التي سوف تظهر في الجزء العلوي من قائمة المنتجات.,
Has Variants,يحتوي على متغيرات,
Hide Variants,إخفاء المتغيرات,
Homepage Featured Product,الصفحة الرئيسية المنتج المميز,
Image,صورة,
Image Description,وصف الصورة,
Image View,عرض الصورة,
Invoices,الفواتير,
Is Active,نشط,
Item,السلعة,
Item Code,رمز السلعة,
Item Description,وصف الصنف,
Item Details,بيانات الصنف,
Item Fields,حقول البند,
Item Group,مجموعة الصنف,
Item Image (if not slideshow),صورة البند (إن لم يكن عرض شرائح),
Item Name,اسم السلعة,
Items,الاصناف,
Keyboard Shortcuts,اختصارات لوحة المفاتيح,
Label,ملصق,
List this Item in multiple groups on the website.,قائمة هذا الصنف في مجموعات متعددة على شبكة الانترنت.,
More Information,المزيد من المعلومات,
My Account,حسابي,
Naming Series,سلسلة التسمية,
Orders,أوامر,
Payment Gateway,بوابة الدفع,
Payment Gateway Account,دفع حساب البوابة,
Payment Success Url,رابط نجاح الدفع,
Payments,المدفوعات,
Price List,قائمة الأسعار,
Prices will not be shown if Price List is not set,لن تظهر الأسعار إذا لم يتم تعيين قائمة الأسعار,
Print UOM after Quantity,اطبع UOM بعد الكمية,
Print taxes with zero amount,طباعة الضرائب مع مبلغ صفر,
Products,المنتجات,
Products per Page,المنتجات لكل صفحة,
Published,نشرت,
Published on,نشرت في,
Quotation Series,سلسلة تسعيرات,
Rating,تقييم,
Reload,تحديث,
Reviews,التعليقات,
Route,مسار,
Sales Manager,مدير المبيعات,
Save Quotations as Draft,احفظ الاقتباسات كمسودة,
Session Defaults,الجلسة الافتراضية,
Set Meta Tags,تعيين العلامات الفوقية,
Shopping Cart,سلة التسوق,
Show Apply Coupon Code,إظهار تطبيق رمز القسيمة,
Show Contact Us Button,عرض الاتصال بنا زر,
Show Price,عرض السعر,
Show Public Attachments,عرض المرفقات العامة,
Show Stock Availability,عرض توافر المخزون,
Show Stock Quantity,عرض كمية المخزون,
Show a slideshow at the top of the page,تظهر الشرائح في أعلى الصفحة,
Show in Website,عرض في الموقع,
Show this slideshow at the top of the page,تظهر هذه الشرائح في أعلى الصفحة,
Slideshow,عرض الشرائح,
Sort Order,ترتيب,
Stock Manager,مدير المخزن,
Stock UOM,وحدة قياس السهم,
Stock User,عضو المخزن,
System Manager,مدير النظام,
Tax Category,الفئة الضريبية,
Thumbnail,المصغرات,
Title,اللقب,
User,المستعمل,
Variant Of,البديل من,
View,رأي,
View Website,مشاهدة الموقع,
Warehouse,المستودعات,
Website Content,محتوى الموقع,
Website Description,وصف الموقع,
Website Image,صورة الموقع,
Website Item Groups,مجموعات الأصناف للموقع,
Website Manager,مدير الموقع,
Website Settings,إعدادات الموقع,
Website Specifications,موقع المواصفات,
Website Warehouse,مستودع الموقع,
Weightage,الوزن,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,يمكنك استخدام أي ترميز Bootstrap 4 صالح في هذا الحقل. سيتم عرضه على صفحة البند الخاص بك.,
