About,A Propos,
Add-ons,Extensions,
After payment completion redirect user to selected page.,"Le paiement terminé, rediriger l'utilisateur vers la page sélectionnée.",
All,Tout,
Allow items not in stock to be added to cart,Autoriser les articles non en stock à être ajoutés au panier,
Amount,Montant,
Attributes,Attributs,
Brand,Marque,
Category Name,Nom de la Catégorie,
Checkout Settings,Paramètres de Caisse,
Comment,Commentaire,
Compact Item Print,Impression de l'Article Compacté,
Company,Société,
Content,Contenu,
Copy From Item Group,Copier Depuis un Groupe d'Articles,
Currency,Devise,
Customer,Client,
Default Customer Group,Groupe de Clients par Défaut,
Description,Description,
Display Settings,Paramètres d'affichage,
Enable Attribute Filters,Activer les filtres d'attributs,
Enable Checkout,Activer Caisse,
Enable Recommendations,Activer les recommendations,
Enable Reviews and Ratings,Activer les avis et notes,
Enable Shopping Cart,Activer Panier,
Enable Wishlist,Activer la liste de souhaits,
HTML / Banner that will show on the top of product list.,HTML / bannière qui apparaîtra sur le haut de la liste des produits.,
Has Variants,A Variantes,
Hide Variants,Masquer les variantes,
Homepage Featured Product,Produit Présenté sur la Page d'Accueil,
Image,Image,
Image Description,Description de l'image,
Image View,Voir l'Image,
Invoices,Factures,
Is Active,Est Active,
Item,Article,
Item Code,Code de l'Article,
Item Description,Description de l'Article,
Item Details,Détails d'article,
Item Fields,Champs de l'article,
Item Group,Groupe d'Article,
Item Image (if not slideshow),Image de l'Article (si ce n'est diaporama),
Item Name,Nom de l'article,
Item Search Settings,Paramétrage de la recherche d'article,
Items,Articles,
Keyboard Shortcuts,Raccourcis clavier,
Label,Étiquette,
List this Item in multiple groups on the website.,Liste cet article dans plusieurs groupes sur le site.,
More Information,Informations Complémentaires,
My Account,Mon Compte,
My Profile,Mon profil,
My Settings,Mes paramètres,
Naming Series,Masque de numérotation,
Orders,Commandes,
Payment Gateway,Passerelle de Paiement,
Payment Gateway Account,Compte Passerelle de Paiement,
Payment Success Url,URL pour Paiement Effectué avec Succès,
Payments,Paiements,
Price List,Liste de prix,
Prices will not be shown if Price List is not set,Les Prix ne seront pas affichés si la Liste de Prix n'est pas définie,
Print UOM after Quantity,Imprimer UdM après la quantité,
Print taxes with zero amount,Impression de taxes avec un montant nul,
Products,Produits,
Products per Page,Produits par page,
Published,Publié,
Published on,Publié le,
Quotation Series,Séries de Devis,
Rating,Évaluation,
Reload,Recharger,
Reviews,Avis,
Route,Route,
Sales Manager,Responsable des Ventes,
Save Quotations as Draft,Enregistrer les devis comme brouillon,
Session Defaults,Session par défaut,
Set Meta Tags,Définir les balises méta,
Shopping Cart,Panier,
Show Apply Coupon Code,Afficher appliquer le code de coupon,
Show Contact Us Button,Afficher le bouton Contactez-nous,
Show Price,Afficher le prix,
Show Price in Quotation,Afficher les prix sur les devis,
Show Public Attachments,Afficher les Pièces Jointes Publiques,
Show Stock Availability,Afficher la disponibilité du stock,
Show Stock Quantity,Afficher la quantité en stock,
Show a slideshow at the top of the page,Afficher un diaporama en haut de la page,
Show in Website,Afficher sur le site Web,
Show this slideshow at the top of the page,Afficher ce diaporama en haut de la page,
Slideshow,Diaporama,
Sort Order,Ordre de Tri,
Stock Manager,Responsable des Stocks,
Stock UOM,UdM du Stock,
Stock User,Chargé des Stocks,
System Manager,Responsable Système,
Tax Category,Catégorie de taxe,
Thumbnail,Vignette,
Title,Titre,
Toggle Full Width,Changer l&#39;affichage en pleine largeur,
Toggle Theme,Basculer le thème,
User,Utilisateur,
Variant Of,Variante de,
View,Vue,
View Website,Voir Le Site Web,
Warehouse,Entrepôt,
Website Content,Contenu du site Web,
Website Description,Description du Site Web,
Website Image,Image du site,
Website Item Groups,Groupes d'Articles du Site Web,
Website Manager,Responsable du Site Web,
Website Settings,Paramètres du Site web,
Website Specifications,Spécifications du Site Web,
Website Warehouse,Entrepôt du Site Seb,
Weightage,Poids,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Vous pouvez utiliser n'importe quelle balise Bootstrap 4 valide dans ce champ. Il sera affiché sur votre page d'article.,
All Products,Shop,
