Accept Payment,支払承認,
After payment completion redirect user to selected page.,支払完了後、選択したページにリダイレクトします,
All,すべて,
Allow items not in stock to be added to cart,在庫のない商品をカートに追加できるようにする,
Amount,額,
Amount Based On Field,金額フィールドに基づいて,
Amount Field,金額フィールド,
Attributes,属性,
Brand,ブランド,
Button Help,ボタンヘルプ,
Button Label,ボタンラベル,
Category Name,カテゴリ名,
Checkout Settings,チェックアウト設定,
Comment,コメント,
Compact Item Print,コンパクトな項目を印刷,
Company,会社,
Content,内容,
Copy From Item Group,項目グループからコピーする,
Currency,通貨,
Customer,顧客,
Default Customer Group,デフォルトの顧客グループ,
Description,説明,
Display Settings,ディスプレイの設定,
Enable Attribute Filters,属性フィルタを有効にする,
Enable Checkout,チェックアウトを有効にする,
Enable Shopping Cart,ショッピングカートを有効にする,
HTML / Banner that will show on the top of product list.,製品リストの一番上に表示されるHTML／バナー,
Has Variants,バリエーションあり,
Hide Variants,バリアントを隠す,
Homepage Featured Product,ホームページ人気商品,
Image,画像,
Image Description,画像の説明,
Image View,画像を見る,
Invoices,請求,
Is Active,アクティブ,
Is Billing Contact,請求先です,
Is Your Company Address,あなたの会社の住所,
Item,アイテム,
Item Code,アイテムコード,
Item Description,アイテム説明,
Item Details,アイテム詳細,
Item Fields,項目フィールド,
Item Group,アイテムグループ,
Item Image (if not slideshow),アイテム画像（スライドショーされていない場合）,
Item Name,項目名,
Items,アイテム,
Keyboard Shortcuts,キーボードショートカット,
Label,ラベル,
List this Item in multiple groups on the website.,ウェブサイト上の複数のグループでこのアイテムを一覧表示します。,
More Information,詳細,
My Account,自分のアカウント,
Naming Series,シリーズ名を付ける,
Orders,注文,
Payment Gateway,ペイメントゲートウェイ,
Payment Gateway Account,ペイメントゲートウェイアカウント,
Payment Success Url,支払成功URL,
Payments,支払,
Price List,価格表,
Prices will not be shown if Price List is not set,価格表が設定されていない場合の価格は表示されません,
Print UOM after Quantity,数量の後に単位を印刷する,
Print taxes with zero amount,金額ゼロの税金を印刷する,
Products,商品,
Products per Page,ページあたりの製品,
Published,公開済,
Published on,に公開,
Quotation Series,見積シリーズ,
Rating,評価,
Reload,リロード,
Reviews,レビュー,
Route,ルート,
Sales Manager,営業部長,
Save Quotations as Draft,見積もりをドラフトとして保存,
Session Defaults,セッションのデフォルト,
Set Meta Tags,メタタグを設定する,
Shopping Cart,カート,
Show Apply Coupon Code,クーポンコードの適用を表示,
Show Contact Us Button,連絡先を表示ボタン,
Show Price,価格を表示,
Show Public Attachments,公開された添付を表示,
Show Stock Availability,在庫を表示する,
Show Stock Quantity,在庫数を表示する,
Show a slideshow at the top of the page,ページの上部にスライドショーを表示,
Show in Website,ウェブサイトに表示,
Show this slideshow at the top of the page,ページの上部にこのスライドショーを表示,
Slideshow,スライドショー,
Sort Order,並び順,
Stock Manager,在庫マネージャー,
Stock UOM,在庫単位,
Stock User,在庫ユーザー,
System Manager,システム管理者,
Tax Category,課税カテゴリー,
Thumbnail,サムネイル,
Title,タイトル,
User,ユーザー,
Variant Of,のバリアント,
View,表示,
View Website,ウェブサイトを見る,
Warehouse,倉庫,
Website Content,ウェブサイトのコンテンツ,
Website Description,ウェブサイトの説明,
Website Image,ウェブサイトの画像,
Website Item Groups,ウェブサイトのアイテムグループ,
Website Manager,Webサイトマネージャー,
Website Settings,Webサイト設定,
Website Specifications,ウェブサイトの仕様,
Website Warehouse,ウェブサイトの倉庫,
Weightage,重み付け,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,このフィールドには任意の有効なBootstrap 4マークアップを使用できます。それはあなたの商品ページに表示されます。,
