Accept Payment,приймати Оплата,
After payment completion redirect user to selected page.,Після завершення оплати перенаправити користувача на обрану сторінку.,
All,ВСІ,
Allow items not in stock to be added to cart,"Дозволити додавати до кошика предмети, які не є в наявності",
Amount,Сума,
Amount Based On Field,Сума На підставі поле,
Amount Field,сума поле,
Attributes,Атрибути,
Brand,Бренд,
Button Help,кнопка Допомога,
Button Label,кнопка Етикетка,
Category Name,Категорія Ім&#39;я,
Checkout Settings,Checkout Налаштування,
Comment,Прокоментуйте,
Compact Item Print,Компактний товару друку,
Company,Компанія,
Content,Зміст,
Copy From Item Group,Копіювати з групи товарів,
Currency,Валюта,
Customer,Клієнт,
Default Customer Group,Група клієнтів за замовчуванням,
Description,Опис,
Display Settings,Налаштування дисплею,
Enable Attribute Filters,Увімкнути фільтри атрибутів,
Enable Checkout,включити Checkout,
Enable Shopping Cart,Включити Кошик,
HTML / Banner that will show on the top of product list.,"HTML / банер, який буде відображатися у верхній частині списку продукції.",
Has Variants,Має Варіанти,
Hide Variants,Сховати варіанти,
Homepage Featured Product,Головна Рекомендовані продукт,
Image,Зображення,
Image Description,Опис зображення,
Image View,Перегляд зображення,
Invoices,Рахунки-фактури,
Is Active,Активний,
Is Billing Contact,Це контактний особа для оплати,
Is Your Company Address,Є адресою Вашої компанії,
Item,Номенклатура,
Item Code,Код товару,
Item Description,Опис товару,
Item Details,Деталі деталі,
Item Fields,Поля предмета,
Item Group,Група,
Item Image (if not slideshow),Пункт зображення (якщо не слайд-шоу),
Item Name,Назва виробу,
Items,Номенклатура,
Keyboard Shortcuts,Гарячі клавіши,
Label,Етикетка,
List this Item in multiple groups on the website.,Включити цей товар у декілька груп на веб сайті.,
More Information,Більше інформації,
My Account,Моя обліковка,
Naming Series,Іменування серії,
Orders,Замовлення,
Payment Gateway,Платіжний шлюз,
Payment Gateway Account,Обліковий запис платіжного шлюзу,
Payment Success Url,Успіх Оплата URL,
Payments,Платежі,
Price List,Прайс-лист,
Prices will not be shown if Price List is not set,"Ціни не будуть показані, якщо прайс-лист не встановлено",
Print UOM after Quantity,Друк UOM після кількості,
Print taxes with zero amount,Надрукувати податки з нульовою сумою,
Products,Продукція,
Products per Page,Продукція на сторінку,
Published,Опублікований,
Published on,Опубліковано,
Quotation Series,Серії пропозицій,
Rating,рейтинг,
Reload,Оновити,
Reviews,Відгуки,
Route,Маршрут,
Sales Manager,Менеджер з продажу,
Save Quotations as Draft,Зберегти котирування як чернетку,
Session Defaults,За замовчуванням сесії,
Set Meta Tags,Встановити мета-теги,
Shopping Cart,Магазинний кошик,
Show Apply Coupon Code,Показати Застосувати код купона,
Show Contact Us Button,Показати кнопку &quot;Зв&#39;яжіться з нами&quot;,
Show Price,Показати ціну,
Show Public Attachments,Показати Публічні вкладення,
Show Stock Availability,Показати доступність на складі,
Show Stock Quantity,Показувати кількість запасів,
Show a slideshow at the top of the page,Показати слайд-шоу у верхній частині сторінки,
Show in Website,Показати на веб-сайті,
Show this slideshow at the top of the page,Показати це слайд-шоу на верху сторінки,
Slideshow,Слайд-шоу,
Sort Order,Порядок сортування,
Stock Manager,Товарознавець,
Stock UOM,Одиниця виміру запасів,
Stock User,Складській користувач,
System Manager,Менеджер системи,
Tax Category,Податкова категорія,
Thumbnail,Мініатюра,
Title,Назва,
User,Користувач,
Variant Of,Варіант,
View,Вид,
View Website,Подивитися веб-сайт,
Warehouse,Склад,
Website Content,Вміст веб-сайту,
Website Description,Опис веб-сайту,
Website Image,Зображення веб-сайту,
Website Item Groups,Групи об’єктів веб-сайту,
Website Manager,Менеджер веб-сайту,
Website Settings,Налаштування веб-сайту,
Website Specifications,Характеристики веб-сайту,
Website Warehouse,Склад веб-сайту,
Weightage,Weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Ви можете використовувати будь-яку дійсну розмітку Bootstrap 4 у цьому полі. Це буде показано на Вашій сторінці предметів.,
