Accept Payment,קבל תשלום,
After payment completion redirect user to selected page.,לאחר השלמת התשלום להפנות המשתמש לדף הנבחר.,
All,כל,
Allow items not in stock to be added to cart,אפשר להוסיף פריטים שאינם במלאי לעגלה,
Amount,הסכום,
Amount Based On Field,כמות המבוססת על שדה,
Amount Field,שדה סכום,
Attributes,תכונות,
Brand,מותג,
Button Help,עזרה בכפתור,
Button Label,תווית כפתור,
Category Name,שם קטגוריה,
Checkout Settings,הגדרות Checkout,
Comment,תגובה,
Compact Item Print,הדפס פריט קומפקט,
Company,חברה,
Content,תוכן,
Copy From Item Group,העתק מ קבוצת פריט,
Currency,מטבע,
Customer,לקוחות,
Default Customer Group,קבוצת לקוחות המוגדרת כברירת מחדל,
Description,תיאור,
Display Settings,הגדרות תצוגה,
Enable Attribute Filters,אפשר מסנני תכונות,
Enable Checkout,אפשר Checkout,
Enable Shopping Cart,אפשר סל קניות,
HTML / Banner that will show on the top of product list.,HTML / אנר זה ייראה על החלק העליון של רשימת מוצרים.,
Has Variants,יש גרסאות,
Hide Variants,הסתר גרסאות,
Homepage Featured Product,מוצרי דף בית מומלצים,
Image,תמונה,
Image Description,תיאור תמונה,
Image View,צפה בתמונה,
Invoices,חשבוניות,
Is Active,האם Active,
Is Billing Contact,האם איש קשר לחיוב,
Is Your Company Address,האם כתובת החברה שלך,
Item,פריט,
Item Code,קוד פריט,
Item Description,תיאור פריט,
Item Details,פרטי פריט,
Item Fields,שדות פריט,
Item Group,קבוצת פריט,
Item Image (if not slideshow),תמונת פריט (אם לא מצגת),
Item Name,שם הפריט,
Items,פריטים,
Keyboard Shortcuts,קיצורי דרך במקלדת,
Label,תווית,
List this Item in multiple groups on the website.,רשימת פריט זה במספר קבוצות באתר.,
More Information,מידע נוסף,
My Account,החשבון שלי,
Naming Series,סדרת שמות,
Orders,הזמנות,
Payment Gateway,תשלום Gateway,
Payment Gateway Account,חשבון תשלום Gateway,
Payment Success Url,כתובת הצלחה תשלום,
Payments,תשלומים,
Price List,מחיר מחירון,
Prices will not be shown if Price List is not set,המחירים לא יוצגו אם מחירון לא מוגדר,
Print UOM after Quantity,הדפס UOM לאחר כמות,
Print taxes with zero amount,הדפסת מיסים עם סכום אפס,
Products,מוצרים,
Products per Page,מוצרים לעמוד,
Published,פורסם,
Published on,פורסם ב,
Quotation Series,סדרת ציטוט,
Rating,דֵרוּג,
Reload,רענן,
Reviews,ביקורות,
Route,מַסלוּל,
Sales Manager,מנהל מכירות,
Save Quotations as Draft,שמור הצעות מחיר כטיוטה,
Session Defaults,ברירות מחדל של מושב,
Set Meta Tags,הגדר מטא תגים,
Shopping Cart,סל קניות,
Show Apply Coupon Code,הצג החל קוד קופון,
Show Contact Us Button,הצג לחצן צור קשר,
Show Price,הצג מחיר,
Show Public Attachments,הראה קבצים מצורפים ציבוריים,
Show Stock Availability,הראה זמינות מלאי,
Show Stock Quantity,הראה כמות מלאי,
Show a slideshow at the top of the page,הצג מצגת בחלק העליון של הדף,
Show in Website,הצג באתר,
Show this slideshow at the top of the page,הצג מצגת זו בחלק העליון של הדף,
Slideshow,מצגת,
Sort Order,סדר מיון,
Stock Manager,ניהול מלאי,
Stock UOM,המניה של אוני 'מישגן,
Stock User,משתמש המניה,
System Manager,מנהל מערכת,
Tax Category,קטגוריית מס,
Thumbnail,תמונה ממוזערת,
Title,כותרת,
User,מִשׁתַמֵשׁ,
Variant Of,משתנה של,
View,נוֹף,
View Website,אתר צפה ב,
Warehouse,מחסן,
Website Content,תוכן אתר,
Website Description,תיאור אתר,
Website Image,תמונת אתר,
Website Item Groups,קבוצות פריט באתר,
Website Manager,מנהל אתר,
Website Settings,הגדרות אתר,
Website Specifications,מפרט אתר,
Website Warehouse,מחסן אתר,
Weightage,Weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,אתה יכול להשתמש בכל סימון חוקי של Bootstrap 4 בשדה זה. זה יוצג בדף הפריט שלך.,
