Accept Payment,Přijímáme platby,
After payment completion redirect user to selected page.,Po dokončení platby přesměrovat uživatele na vybrané stránky.,
All,Všechno,
Allow items not in stock to be added to cart,"Povolit přidání zboží, které není na skladě, do košíku",
Amount,Částka,
Amount Based On Field,Částka z terénního,
Amount Field,výše Field,
Attributes,Atributy,
Brand,Značka,
Button Help,tlačítko Nápověda,
Button Label,tlačítko Label,
Category Name,Název kategorie,
Checkout Settings,Pokladna Nastavení,
Comment,Komentář,
Compact Item Print,Kompaktní Položka Print,
Company,Společnost,
Content,Obsah,
Copy From Item Group,Kopírovat z bodu Group,
Currency,Měna,
Customer,Zákazník,
Default Customer Group,Výchozí Customer Group,
Description,Popis,
Display Settings,Nastavení zobrazení,
Enable Attribute Filters,Povolit filtry atributů,
Enable Checkout,Aktivovat Checkout,
Enable Shopping Cart,Povolit Nákupní košík,
HTML / Banner that will show on the top of product list.,"HTML / Banner, který se zobrazí nahoře v produktovém listu.",
Has Variants,Má varianty,
Hide Variants,Skrýt varianty,
Homepage Featured Product,Úvodní Doporučené zboží,
Image,Obrázek,
Image Description,Popis obrázku,
Image View,Image View,
Invoices,Faktury,
Is Active,Je Aktivní,
Is Billing Contact,Je fakturační kontakt,
Is Your Company Address,Je vaše firma adresa,
Item,Položka,
Item Code,Kód položky,
Item Description,Položka Popis,
Item Details,Položka Podrobnosti,
Item Fields,Pole položek,
Item Group,Skupina položek,
Item Image (if not slideshow),Item Image (ne-li slideshow),
Item Name,Název položky,
Items,Položky,
Keyboard Shortcuts,Klávesové zkratky,
Label,Popisek,
List this Item in multiple groups on the website.,Seznam tuto položku ve více skupinách na internetových stránkách.,
More Information,Víc informací,
My Account,Můj Účet,
Naming Series,Číselné řady,
Orders,Objednávky,
Payment Gateway,Platební brána,
Payment Gateway Account,Platební brána účet,
Payment Success Url,Platba Úspěch URL,
Payments,Platby,
Price List,Ceník,
Prices will not be shown if Price List is not set,"Ceny nebude zobrazeno, pokud Ceník není nastaven",
Print UOM after Quantity,Tisk MJ po množství,
Print taxes with zero amount,Vytiskněte daně s nulovou částkou,
Products,Výrobky,
Products per Page,Produkty na stránku,
Published,Publikováno,
Published on,Publikováno dne,
Quotation Series,Číselná řada nabídek,
Rating,Rating,
Reload,Znovu načíst,
Reviews,Recenze,
Route,Trasa,
Sales Manager,Manažer prodeje,
Save Quotations as Draft,Uložit nabídky jako koncept,
Session Defaults,Výchozí nastavení relace,
Set Meta Tags,Nastavte značky meta,
Shopping Cart,Nákupní vozík,
Show Apply Coupon Code,Zobrazit Použít kód kupónu,
Show Contact Us Button,Tlačítko Zobrazit kontakt,
Show Price,Zobrazit cenu,
Show Public Attachments,Zobrazit veřejné přílohy,
Show Stock Availability,Zobrazit dostupnost skladem,
Show Stock Quantity,Zobrazit množství zásob,
Show a slideshow at the top of the page,Ukazují prezentaci v horní části stránky,
Show in Website,Zobrazit na webu,
Show this slideshow at the top of the page,Zobrazit tuto prezentaci v horní části stránky,
Slideshow,Promítání obrázků,
Sort Order,Pořadí řazení,
Stock Manager,Reklamní manažer,
Stock UOM,Reklamní UOM,
Stock User,Sklad Uživatel,
System Manager,Správce systému,
Tax Category,Daňová kategorie,
Thumbnail,Thumbnail,
Title,Titulek,
User,Uživatel,
Variant Of,Varianta,
View,Pohled,
View Website,K webové stránce,
Warehouse,Sklad,
Website Content,Obsah webových stránek,
Website Description,Popis webu,
Website Image,Obrázek webové stránky,
Website Item Groups,Webové stránky skupiny položek,
Website Manager,Správce webu,
Website Settings,Nastavení www stránky,
Website Specifications,Webových stránek Specifikace,
Website Warehouse,Sklad pro web,
Weightage,Weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,V tomto poli můžete použít libovolnou platnou značku Bootstrap 4. Zobrazí se na vaší stránce s položkami.,
