About,O,
After payment completion redirect user to selected page.,Nakon završetka uplate preusmjeriti korisnika na odabrani stranicu.,
All,Sve,
Allow items not in stock to be added to cart,Dopustite da se dodaju u košaricu artikli koji nisu na zalihama,
Amount,Iznos,
Apps,Aplikacije,
Attributes,Atributi,
Brand,Brend,
Category Name,Naziv kategorije,
Checkout Settings,Plaćanje Postavke,
Comment,Komentar,
Compact Item Print,Compact Stavka Print,
Company,Preduzeće,
Content,Sadržaj,
Copy From Item Group,Primjerak iz točke Group,
Currency,Valuta,
Customer,Kupci,
Default Customer Group,Zadana grupa korisnika,
Description,Opis,
Display Settings,Podešavanja izgleda,
Enable Attribute Filters,Omogući filtre atributa,
Enable Checkout,Enable Checkout,
Enable Shopping Cart,Enable Košarica,
Frappe Support,Frappe podrška,
HTML / Banner that will show on the top of product list.,HTML / baner koji će se prikazivati na vrhu liste proizvoda.,
Has Variants,Ima Varijante,
Hide Variants,Sakrij varijante,
Homepage Featured Product,Homepage Istaknuti proizvoda,
Image,Slika,
Image Description,Opis slike,
Image View,Prikaz slike,
Invoices,Fakture,
Is Active,Je aktivan,
Item,Artikl,
Item Code,Šifra artikla,
Item Description,Opis artikla,
Item Details,Detalji artikla,
Item Fields,Polja predmeta,
Item Group,Grupa artikla,
Item Image (if not slideshow),Slika proizvoda (ako nije slide prikaz),
Item Name,Naziv predmeta,
Items,Artikli,
Keyboard Shortcuts,Prečice na tastaturi,
Label,Oznaka,
List this Item in multiple groups on the website.,Popis ovaj predmet u više grupa na web stranici.,
Log out,Odjava,
More Information,Više informacija,
My Account,Moj račun,
My Profile,Moj profil,
My Settings,Moje postavke,
Naming Series,Imenovanje serije,
Orders,Narudžbe,
Payment Gateway,Payment Gateway,
Payment Gateway Account,Payment Gateway računa,
Payment Success Url,Plaćanje Uspjeh URL,
Payments,Plaćanja,
Price List,Cjenik,
Prices will not be shown if Price List is not set,Cijene neće biti prikazan ako nije postavljena Cjenik,
Print UOM after Quantity,Ispis UOM nakon količine,
Print taxes with zero amount,Odštampajte poreze sa nultim iznosom,
Products,Proizvodi,
Products per Page,Proizvodi po stranici,
Published,Objavljen,
Published on,Objavljeno dana,
Quotation Series,Citat serije,
Rating,Ocjena,
Reload,Ponovo učitaj,
Reviews,Recenzije,
Route,ruta,
Sales Manager,Sales Manager,
Save Quotations as Draft,Sačuvajte ponude kao skice,
Session Defaults,Sesije zadano,
Set Meta Tags,Postavljanje meta tagova,
Shopping Cart,Korpa,
Show Apply Coupon Code,Prikaži Primjeni kod kupona,
Show Contact Us Button,Prikaži gumb Kontaktirajte nas,
Show Price,Prikaži cijene,
Show Public Attachments,Pokaži Javna Prilozi,
Show Stock Availability,Show Stock Availability,
Show Stock Quantity,Show Stock Quantity,
Show a slideshow at the top of the page,Prikaži slideshow na vrhu stranice,
Show in Website,Prikaži na web lokaciji,
Show this slideshow at the top of the page,Prikaži ovaj slideshow na vrhu stranice,
Slideshow,Slideshow,
Sort Order,Redoslijed sortiranja,
Stock Manager,Stock Manager,
Stock UOM,Kataloški UOM,
Stock User,Stock korisnika,
System Manager,System Manager,
Tax Category,Porezna kategorija,
Thumbnail,Thumbnail,
Title,Naslov,
Toggle Full Width,Prebaci punu širinu,
Toggle Theme,Prebaci temu,
User,User,
Variant Of,Variant Of,
View,Pogled,
View Website,Pogledaj web stranicu,
Warehouse,Skladište,
Website Content,Sadržaj web stranice,
Website Description,Web stranica Opis,
Website Image,Slika web stranice,
Website Item Groups,Website Stavka Grupe,
Website Manager,Web Manager,
Website Settings,Website Postavke,
Website Specifications,Web Specifikacije,
Website Warehouse,Web stranica galerije,
Weightage,Weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,U ovom polju možete koristiti bilo koji važeći oznaku Bootstrap 4. To će biti prikazano na vašoj stranici predmeta.,
