Accept Payment,ยอมรับการชำระเงิน,
After payment completion redirect user to selected page.,หลังจากเสร็จสิ้นการชำระเงินเปลี่ยนเส้นทางผู้ใช้ไปยังหน้าเลือก,
All,ทั้งหมด,
Allow items not in stock to be added to cart,อนุญาตให้เพิ่มสินค้าที่ไม่มีในสต็อค,
Amount,จำนวน,
Amount Based On Field,จำนวนเงินจากบนสนาม,
Amount Field,ฟิลด์จำนวนเงิน,
Attributes,คุณลักษณะ,
Brand,ยี่ห้อ,
Button Help,ปุ่มช่วยเหลือ,
Button Label,ปุ่มฉลาก,
Category Name,ชื่อหมวดหมู่,
Checkout Settings,การตั้งค่าเช็คเอาต์,
Comment,คิดเห็น,
Compact Item Print,ขนาดกะทัดรัดรายการพิมพ์,
Company,บริษัท,
Content,เนื้อหา,
Copy From Item Group,คัดลอกจากกลุ่มสินค้า,
Currency,เงินตรา,
Customer,ลูกค้า,
Default Customer Group,กลุ่มลูกค้าเริ่มต้น,
Description,คำอธิบาย,
Display Settings,แสดงการตั้งค่า,
Enable Attribute Filters,เปิดใช้งานตัวกรองคุณสมบัติ,
Enable Checkout,เปิดใช้งานการชำระเงิน,
Enable Shopping Cart,เปิดการใช้งานรถเข็น,
HTML / Banner that will show on the top of product list.,HTML / แบนเนอร์ที่จะแสดงอยู่ด้านบนของรายการสินค้า,
Has Variants,มีหลากหลายรูปแบบ,
Hide Variants,ซ่อนสายพันธุ์,
Homepage Featured Product,โฮมเพจสินค้าแนะนำ,
Image,รูปภาพ,
Image Description,คำอธิบายภาพ,
Image View,ดูภาพ,
Invoices,ใบแจ้งหนี้,
Is Active,มีการใช้งาน,
Is Billing Contact,เป็นผู้ติดต่อเรียกเก็บเงิน,
Is Your Company Address,คือที่อยู่ บริษัท ของคุณ,
Item,สินค้า,
Item Code,รหัสสินค้า,
Item Description,รายละเอียดสินค้า,
Item Details,รายละเอียดสินค้า,
Item Fields,รายการฟิลด์,
Item Group,กลุ่มสินค้า,
Item Image (if not slideshow),รูปภาพสินค้า (ถ้าไม่สไลด์โชว์),
Item Name,ชื่อรายการ,
Items,รายการ,
Keyboard Shortcuts,แป้นพิมพ์ลัด,
Label,ฉลาก,
List this Item in multiple groups on the website.,รายการนี้ในหลายกลุ่มในเว็บไซต์,
More Information,ข้อมูลมากกว่านี้,
My Account,บัญชีของฉัน,
Naming Series,การตั้งชื่อซีรีส์,
Orders,คำสั่งซื้อ,
Payment Gateway,ช่องทางการชำระเงิน,
Payment Gateway Account,บัญชี Gateway การชำระเงิน,
Payment Success Url,URL ที่ประสบความสำเร็จการชำระเงิน,
Payments,วิธีการชำระเงิน,
Price List,บัญชีแจ้งราคาสินค้า,
Prices will not be shown if Price List is not set,ราคาจะไม่แสดงถ้าราคาไม่ได้ตั้งค่า,
Print UOM after Quantity,พิมพ์ UOM หลังจำนวน,
Print taxes with zero amount,พิมพ์ภาษีที่มีจำนวนเป็นศูนย์,
Products,ผลิตภัณฑ์,
Products per Page,ผลิตภัณฑ์ต่อหน้า,
Published,เผยแพร่,
Published on,เผยแพร่เมื่อ,
Quotation Series,ชุดใบเสนอราคา,
Rating,อันดับ,
Reload,โหลด,
Reviews,ความคิดเห็น,
Route,เส้นทาง,
Sales Manager,ผู้จัดการฝ่ายขาย,
Save Quotations as Draft,บันทึกใบเสนอราคาเป็นแบบร่าง,
Session Defaults,ค่าเริ่มต้นของเซสชัน,
Set Meta Tags,ตั้ง Meta Tags,
Shopping Cart,รถเข็นช้อปปิ้ง,
Show Apply Coupon Code,แสดงใช้รหัสคูปอง,
Show Contact Us Button,แสดงปุ่มติดต่อเรา,
Show Price,แสดงราคา,
Show Public Attachments,แสดงเอกสารแนบสาธารณะ,
Show Stock Availability,แสดงสต็อคที่ใช้ได้,
Show Stock Quantity,แสดงจำนวนสต็อค,
Show a slideshow at the top of the page,สไลด์โชว์ที่ด้านบนของหน้า,
Show in Website,แสดงในเว็บไซต์,
Show this slideshow at the top of the page,แสดงภาพสไลด์นี้ที่ด้านบนของหน้า,
Slideshow,สไลด์โชว์,
Sort Order,เรียง,
Stock Manager,ผู้จัดการ,
Stock UOM,UOM สต็อก,
Stock User,หุ้นผู้ใช้,
System Manager,จัดการระบบ,
Tax Category,ประเภทภาษี,
Thumbnail,รูปขนาดย่อ,
Title,ชื่อเรื่อง,
User,ผู้ใช้งาน,
Variant Of,ตัวแปรของ,
View,ดู,
View Website,ดูเว็บไซต์,
Warehouse,คลังสินค้า,
Website Content,เนื้อหาเว็บไซต์,
Website Description,คำอธิบายเว็บไซต์,
Website Image,ภาพเว็บไซต์,
Website Item Groups,กลุ่มรายการเว็บไซต์,
Website Manager,เว็บไซต์ผู้จัดการ,
Website Settings,การตั้งค่าเว็บไซต์,
Website Specifications,ข้อมูลจำเพาะเว็บไซต์,
Website Warehouse,คลังสินค้าเว็บไซต์,
Weightage,weightage,
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,คุณสามารถใช้มาร์กอัป Bootstrap 4 ที่ถูกต้องในฟิลด์นี้ มันจะปรากฏในหน้ารายการของคุณ,
